int32 0,int32 1,string2 2,string2 3,string2 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int32 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int32 24,float 25,float 26,float 27,float 28,float 29,int32 30,int32 31,float 32,float 33,float 34,float 35,int32 36,float 37,int32 38,float 39,int32 40,int32 41,string2 42,int32 43,string2 44,int32 45,int32 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int32 56,int32 57,int32 58,int32 59,float 60,string2 61,string2 62,string2 63
30007001,1,"s010_156_boss","","","chr385",0,0,"","","bn01","",0,0,"F01",0,0,-1.52,0,2.285,0,0,0,8,0,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007002,2,"s010_156_omega","","","chr088",0,0,"","","bn01","",0,0,"F01",0,0,-4.345,0,7.999,-179.756,0,0,1.8,0,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007003,2,"s010_156_duke","","","chr126",0,0,"","","bn01","",0,0,"F01",0,0,3.582,1.602,8.594,-27.63,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007004,2,"s010_156_magna","","","chr382",0,0,"","","bn01","",0,0,"F01",0,0,-9.492,3.532,6.116,109.504,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007005,2,"s010_156_dynas","","","chr738",0,0,"","","bn01","",0,0,"F01",0,0,2.584,6.978,2.649,-19.015,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007006,2,"s010_156_load","","","chr703",0,0,"","","bn01","",0,0,"F01",0,0,1.535,-0.81,13.366,191.446,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007007,2,"s010_156_ulforce","","","chr417",0,0,"","","bn01","",0,0,"F01",0,0,-11.509,10.552,-0.494,-303.369,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007008,2,"s010_156_craniam","","","chr734",0,0,"","","bn01","",0,0,"F01",0,0,-10.978,13.837,-2.845,29.872,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007009,2,"s010_156_sleip","","","chr086",0,0,"","","bn01","",0,0,"F01",0,0,4.754,9.394,1.141,-400.528,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007010,2,"s010_156_duft","","","chr739",0,0,"","","bn01","",0,0,"F01",0,0,4.125,6.233,5.025,-48.813,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007011,2,"s010_156_exa","","","chr215",0,0,"","","bn01","",0,0,"F01",0,0,-11.542,0.032,0.06,403.11,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007012,2,"s010_156_ganku","","","chr688",0,0,"","","bn01","",0,0,"F01",0,0,-1.561,0.097,10.094,549.09,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007013,2,"s010_156_zies","","","chr749",0,0,"","","bn01","",0,0,"F01",0,0,-8.292,-0.128,9.753,-207.97,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007014,2,"s010_156_arufa","","","chr416",0,0,"","","bn01","",0,0,"F01",0,0,0.8,0,7.28,-149.283,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
30007016,1,"s010_156_hiroko","","","npc053aa010101",0,0,"","","e006","",0,0,"F01",0,0,-0.704,0,15.453,-172.916,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"e006",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
