int32 0,int32 1,string2 2,string2 3,string2 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int32 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int32 24,float 25,float 26,float 27,float 28,float 29,int32 30,int32 31,float 32,float 33,float 34,float 35,int32 36,float 37,int32 38,float 39,int32 40,int32 41,string2 42,int32 43,string2 44,int32 45,int32 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int32 56,int32 57,int32 58,int32 59,float 60,string2 61,string2 62,string2 63
20415001,1,"dot_npc","1","","chr077",1,0,"","","bd01","",0,0,"F01",0,0,-0.9,31.1,40.2,0,0,0,1,1,2,160,120,1.2,1.2,1,2,0,-0.7,0.2,5,-1,0,10,0,0,1,"bd01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415507,55,"s910_169_001","","","chr100",0,0,"","","bn01","",0,0,"F01",0,0,14.967,20,-14.371,-40,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415508,56,"s910_169_002","","","npc053aa010101",0,0,"","","fd01_01","",0,0,"F01",0,0,18.151,19.999,-14.108,-55.697,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"fd01_01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415509,50,"s110_105_001","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,-0.887,18,-3.44,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415510,50,"s110_105_002","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,-0.887,17.999,4.39,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415511,50,"s110_105_003","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,-0.937,17.999,0.59,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415512,51,"s110_105_004","","","chr680",0,0,"","","bn01","",0,0,"F01",0,0,14.504,20,0.892,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415513,52,"s110_105_005","","","chr086",0,0,"","","bn01","",0,0,"F01",0,0,5.679,17.999,-3.491,40,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415514,52,"s110_105_006","","","chr703",0,0,"","","bn01","",0,0,"F01",0,0,5.843,18,5.942,120,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415515,50,"s110_105_007","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,2.535,17.999,0.637,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415516,50,"s110_105_008","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,2.551,17.999,-3.45,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415517,50,"s110_105_009","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,2.46,18,4.212,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415518,50,"s110_105_010","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,5.853,17.999,0.65,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415519,50,"s110_105_011","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,5.624,17.999,-3.393,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415520,50,"s110_105_012","","","chr718",0,0,"","","bn01","",0,0,"F01",0,0,5.65,18,4.262,-90,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
20415521,56,"s910_169_003","","","npc105aa010101",0,0,"","","fd01_02","",0,0,"F01",0,0,13.987,19.999,-17.425,8.763,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,0,-1,0,0,1,"fd01_02",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
