int 0,int 1,string2 2,string2 3,string2 4,string2 5,int 6,int 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int 24,float 25,float 26,float 27,float 28,float 29,int 30,int 31,float 32,float 33,float 34,float 35,int 36,float 37,int 38,float 39,int 40,int 41,string2 42,int 43,string2 44,int 45,int 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int 56,int 57,int 58,int 59,float 60,string2 61,string2 62,string2 63
101001,2,"npc_3010","10101","","npc101ea010101",0,0,"","","fn02_01","",0,0,"F01",0,0,-14.496,0.3,-12.77,319.268,0,0,1,1,0,160,360,1,1,0,2,0,0,0.1,-1,-1,0,-1,0,2,0,"fn02_01",10,"F01",0,1,1,0,0,0,0,0,0,0,"",1,0,-1,0,-1,"","",""
101002,2,"npc_3011","10102","","npc102bb010102",0,0,"","","e013","",0,0,"",0,0,-4.275,0.309,-10.922,-82.581,0,0,1,1,2.5,160,360,1,1,1,0,0,0,0,-1,-1,0,-1,-1,2,0,"e013",10,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101003,2,"npc_3012","10103","","npc105af010102",0,0,"","","e012","",0,0,"",0,0,-24.475,0.064,-31.174,-61.561,0,0,1,1,2.5,160,360,1,1,1,2,0,0,0.1,-1,-1,-1,-1,-1,2,0,"e012",10,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101004,2,"npc_3013","10104","","npc101ea010304",0,0,"","","e030","",0,0,"",0,0,-6.619,0.299,4.199,392.322,0,0,1,1,2.5,160,360,1,1,1,2,-0.1,0,0,-1,-1,2,-1,0,2,0,"e030",10,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101005,1,"npc_0005","0","","npc105ea010102",0,0,"","","e507","",0,0,"",0,0,-15.546,0.299,24.938,220,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,5,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101006,1,"npc_0006","0","","npc105eb010105",0,0,"","","e507","",0,0,"",0,0,-41.732,0.305,-13.906,60,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,5,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101007,1,"npc_0007","0","","npc105ec010104",0,0,"","","e507","",0,0,"",0,0,-38.359,0.303,-30.339,60,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,5,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101008,1,"npc_0008","0","","npc105ef010107",0,0,"","","e507","",0,0,"",0,0,15.967,0.31,-8.006,280,0,0,1,1,2.5,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,5,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101009,1,"npc_0009","0","","npc105ef010107",0,0,"","","e507","",0,0,"",0,0,10.301,0.299,-29.55,280,0,0,1,1,2.5,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,5,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101010,1,"npc_0010","0","","npc105ef010107",0,0,"","","e507","",0,0,"",0,0,-0.802,0.335,11.219,190,0,0,1,1,2.5,160,360,1,1,0,2,0,0,0,-1,-1,0,-1,5,2,0,"e507",0,"",0,1,0,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101031,2,"npc_3014","10101","","npc102aa020103",0,0,"","","e012","",0,0,"F01",0,0,-15.824,0.3,-12.965,424.961,0,0,1,1,2.5,160,360,1,1,1,2,0,-0.5,0.7,-1,-1,0,-1,0,2,0,"e012",10,"F01",0,1,1,0,0,0,0,0,0,0,"",1,0,-1,0,-1,"","",""
101032,2,"npc_3015","10103","","npc105be030104",0,0,"","","e007","",0,0,"",0,0,-0.749,0.299,7.001,348.968,0,0,1,1,2.5,160,360,1,1,1,0,0,0,0,-1,-1,-1,-1,0,0,0,"e007",10,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101033,2,"npc_3016","10105","","npc101cd010104",0,0,"","","e012","",0,0,"",0,0,-0.781,0.309,-11.587,-180.633,0,0,1,1,2.5,120,360,1,1,1,0,0,0,0,20,-1,0,-1,0,0,0,"e012",10,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101036,5,"npc_0031","31","","npc053aa010101",0,0,"","","fn01_01","",0,0,"F01",0,0,0.674,0.68,-3.125,201.443,0,0,1,1,2.5,160,360,1,1,1,0,0,0,0,-1,2,3,2,3,2,0,"fn01_01",10,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
101506,6,"npc_0032","","","npc101eb010304",0,0,"","","e013","",0,0,"",0,0,5.04,0.309,-11.805,-140.345,0,0,1,1,2.5,360,360,1,1,1,0,0,0,0,-1,-1,-1,-1,0,2,0,"e013",10,"",0,1,1,0,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
