int32 0,int32 1,string2 2,string2 3,string2 4,string2 5,int32 6,int32 7,string2 8,string2 9,string2 10,string2 11,float 12,float 13,string2 14,int32 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,int32 24,float 25,float 26,float 27,float 28,float 29,int32 30,int32 31,float 32,float 33,float 34,float 35,int32 36,float 37,int32 38,float 39,int32 40,int32 41,string2 42,int32 43,string2 44,int32 45,int32 46,bool 47,bool 48,float 49,float 50,float 51,float 52,float 53,float 54,string3 55,int32 56,int32 57,int32 58,int32 59,float 60,string2 61,string2 62,string2 63
401001,1,"npc_0005","305","","npc110aa010101",0,0,"","","fn01_02","",0,0,"F01",0,0,-2.247,-0.02,6.245,90,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,-1,-1,-1,0,2,0,"fn01_02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401002,999,"npc_0031","501","","npc105aa010105",0,0,"","","e008","",0,0,"",0,0,-2.387,-0.02,-3.433,-90,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,2,0,"e008",0,"",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401003,4,"npc_0002","0","","npc109bb010202",0,0,"","","fn01_04","",0,0,"F01",0,0,-2.78,0,-11.569,-10.438,0,0,1,1,2,160,360,1,1,0,2,0,0,0,-1,2,-1,-1,0,2,0,"fn01_04",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401004,4,"npc_0003","0","","npc110aa010101",0,0,"","","fn01_05","",0,0,"F01",0,0,2.48,0,-17.281,-33.224,0,0,1,1,2,160,360,1,1,0,2,0,0,0,-1,-1,-1,-1,0,2,0,"fn01_05",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401005,4,"npc_0010","300","","mob018",0,0,"","","fn03","",0,0,"F01",0,0,2.962,0.727,16.678,-115.722,-3.71,0,1,1,2,160,360,1,1,2,2,0,0,0,-1,2,-1,-1,0,2,0,"fn03",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401006,8,"npc_0040","460","","npc109aa010101",0,0,"","","e500","",0,0,"",0,0,0.275,0.1,-29.553,-169.904,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,2,-1,-1,0,2,0,"e500",0,"",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401007,11,"shop_0002","451","","npc107aa020201",0,0,"","","e012","",0,0,"F01",0,0,2.886,-0.02,-6.1,270,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,-1,2,0,"e012",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401008,12,"shop_0002_01","451","","npc107aa020201",0,0,"","","e012","",0,0,"F01",0,0,2.146,-0.02,-6.815,304.691,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,2,0,"e012",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401011,-1,"shop_0003","465","","npc106fa010101",0,0,"","","fn01_02","",0,0,"F01",0,0,2.5,-0.02,-8.652,270,0,0,1,1,2,160,360,1,1,26,2,0,0,0,-1,2,-1,-1,-1,2,0,"fn01_02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401012,5,"shop_0001","301","","npc105ff010106",0,0,"","","fn01_10","",0,0,"F01",0,0,-2.847,-0.02,-7.358,110.39,0,0,1,1,2,160,360,1,1,30,2,0,0,0,-1,2,-1,-1,-1,2,0,"fn01_10",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401013,9,"npc_0502","502","","npc003aa010101",0,0,"","","e012","",0,0,"F01",0,0,0.699,-0.02,-5.018,94.432,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,-1,-1,-1,0,0,0,"e012",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401014,13,"shop_01","503","","npc105ff010106",0,0,"","","e013","",0,0,"F01",0,0,-3.097,-0.02,-7.452,76.671,0,0,1,1,2,160,360,1,1,30,2,0,0,0,-1,2,-1,-1,-1,2,0,"e013",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401015,13,"npc_504","504","","chr411",0,0,"","","bn01","",0,0,"F01",0,0,1.916,-0.02,1.377,120.603,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,0,0,"bn01",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401016,13,"npc_505","505","","chr607",0,0,"","","fe02","",0,0,"F01",0,0,-2.516,-0.02,-5.639,128.944,0,0,1,1,2,160,360,1,1,1,2,0,-0.3,0,-1,2,-1,2,5,2,0,"fe02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401017,13,"npc_506","506","","chr020",0,0,"","","fe02","",0,0,"F01",0,0,-5.737,0.859,-22.681,89.234,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,2,0,"fe02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401018,13,"npc_507","507","","chr061",0,0,"","","fe02","",0,0,"F01",0,0,2.684,-0.02,-11.502,210.14,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,2,0,"fe02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401019,13,"npc_508","508","","chr412",0,0,"","","fe02","",0,0,"F01",0,0,-2.226,-0.02,4.865,226.755,0,0,1,1,2,160,360,2,2,1,2,0,0.2,0,-1,-1,-1,-1,0,2,0,"fe02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401020,13,"npc_509","509","","npc101cd010204",0,0,"","","e013","",0,0,"F01",0,0,-1.492,-0.02,4.481,245.04,0,0,1,1,0,160,360,1,1,0,2,0,0,0,-1,2,-1,-1,0,2,0,"e013",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401021,13,"npc_510","510","","chr219",0,0,"","","fq01","",0,0,"F01",0,0,4.809,-0.02,-25.828,104.854,0,0,1,1,2,160,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,2,0,"fq01",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401022,13,"npc_511","511","","chr728",0,0,"","","fe02","",0,0,"F01",0,0,-2.978,0.329,-12.534,228.303,0,0,1,1,2,60,360,1,1,1,2,0,0,0,-1,2,-1,-1,0,2,0,"fe02",0,"F01",0,1,true,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401023,80,"m440_nanimon01","","","chr375",0,0,"t04_nani_escape","","bn01","",0,0,"F01",0,0,0.15,-0.02,-1.855,180,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,-1,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
401024,81,"m440_nanimon02","","","chr375",0,0,"t04_nani_escape","","bn01","",0,0,"F01",0,0,0.15,-0.02,-1.855,180,0,0,1,1,2,160,360,1,1,0,0,0,0,0,-1,-1,-1,-1,0,0,1,"bn01",0,"F01",0,1,false,false,0,0,0,0,0,0,"",0,0,-1,0,-1,"","",""
