string2 0,string2 1,float 2,float 3,string2 4,float 5,string2 6,float 7,float 8,int 9,int 10,float 11,string2 12,float 13,float 14,float 15,float 16,float 17
"d1102grate00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d0202dust00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d0202dust01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d05breakbox02_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"f00drum03_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"f00drum01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"f00drum02_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"f00drum00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d10breakdebris01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d02breakbarrel00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"d05breakbox00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"d02breakscrap00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d0502breakdoor00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d05breakbox01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"f00iconobj00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"f00iconobj00_0_2","",0,0,"",0,"ef_b_hit_110_water",0,1,0,202004,0,"",0,0,15,0,15
"f00iconobj00_0_3","",0,0,"",0,"ef_b_hit_100_fire",0,1,0,202005,0,"",0,0,15,0,15
"f00iconobj00_0_4","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"f00iconobj00_0_5","",0,0,"",0,"",0,1,0,-1,0,"",0,0,15,0,15
"h02refrigerator00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"f00box00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"f00box00_0_2","",0,0,"",0,"ef_b_hit_110_water",0,1,0,202003,0,"",0,0,15,0,15
"f00box01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"d02container03_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"chr379_0_1","bn02",0,5,"bn02",0,"",0,1,0,202003,0,"",0,-1,15,0,15
"d11drum03_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d03thorncoral00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d03thorncoral01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d03thorncoral00_0_2","",0,0,"",0,"ef_b_hit_110_water",0,1,0,202001,0,"",0,0,15,0,15
"d03thorncoral01_0_2","",0,0,"",0,"ef_b_hit_110_water",0,1,0,202001,0,"",0,0,15,0,15
"d04breakrock00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d04breakrock01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d04breaktree00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"chr948_0_1","bd01",0,5,"",0,"",0,1,0,-1,0,"",0,-1,15,0,15
"d1402breakdebris00_0_1","e001",0,5,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d1402breakdebris01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d14breakwall00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d14breakdebris00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d14breakdebris01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d04chr393_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"d04ridebreak00_0_1","",0,0,"",0,"ef_b_hit_100_fire",0,1,0,202004,0,"",0,0,15,0,15
"d04beehive00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"d04beehive01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202003,0,"",0,0,15,0,15
"d1201breakwall00_0_1","e001",0,5,"e002",0,"",0,1,0,202001,0,"",0,15,15,0,15
"d0609trap00_0_1","e001",0,5,"e002",0,"",0,1,0,202002,0,"",0,-1,0,35,15
"d13cardboard00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d01fireroad00_0_1","e001",0,0,"",0,"",0,1,0,202001,0,"",0,-1,0,35,15
"d01fireroad01_0_1","e001",0,0,"",0,"",0,1,0,202001,0,"",0,-1,0,35,15
"d0107icepiller00_0_1","e001",0,0,"",0,"ef_b_hit_100_fire",0,1,0,202005,0,"",0,0,15,35,15
"d01icebrock00_0_1","",0,0,"",0,"ef_b_hit_100_fire",0,1,0,202005,0,"",0,0,15,35,15
"chr457_0_1","bd01",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,35,15
"chr631_0_1","bd01",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,35,15
"d0604broken00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,0,15,0,15
"d09nuts00_0_1","e001",0,0,"",0,"",0,1,0,202003,0,"",0,-1,15,0,15
"d09nuts01_0_1","e001",0,0,"",0,"",0,1,0,202003,0,"",0,-1,15,0,15
"d09nuts02_0_1","e001",0,0,"",0,"",0,1,0,202003,0,"",0,-1,15,0,15
"d09nuts03_0_1","e001",0,0,"",0,"",0,1,0,202003,0,"",0,-1,15,0,15
"d03cliffblock00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d03cliffblock01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d03cliffblock02_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d1304duct00_0_1","e001",0,0,"e002",0,"ef_f_com_300_sm",0,1,0,202002,0,"",0,-1,15,0,15
"d03breakrock00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d03breakrock01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d0703rubble00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d0703monument00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d01faobj00_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d01faobj01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"d06searcheye01_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,202001,0,"",0,0,15,0,15
"chr311_0_1","",0,0,"",0,"ef_f_com_300_sm",0,1,0,-1,0,"",0,-1,15,0,15
"d02container00_0_1","",0,0,"",0,"ef_b_hit_150_steel",0,1,0,202002,0,"",0,0,15,0,15
