int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
1050101,"rumor_0001","chr595",0,0,"","","bn02","",0,0,1,1,1,30.758,-36.185,68.617,439.024,0,0,1,1,0,14,0.1,-1,"","",""
1050102,"rumor_0002","chr595",0,0,"","","fn02_01","",0,0,2,2,2,27.394,-36.185,69.762,218.775,0,0,1,1,0,12,0.1,-1,"","",""
1050103,"rumor_0003","chr242",0,0,"","","bn02","",0,0,3,3,3,67.264,-46.054,14.067,-20.03,0,0,1,1,0,11.5,0.2,-1,"","",""
1050104,"rumor_0004","chr242",0,0,"","","fe02","",0,0,4,4,4,67.153,-46.055,13.82,61.204,0,0,1,1,0,6,0.5,-1,"","",""
1050105,"rumor_0005","chr059",0,0,"","","bn02","",0,0,1,5,5,1.52,-36.239,64.025,277.021,0,0,1,1,0,13,0,-1,"","",""
1050106,"rumor_0006","chr059",0,0,"","","bv01","",0,0,2,6,6,3.123,-36.239,62.77,254.671,0,0,1,1,0,13,0,-1,"","",""
1050107,"rumor_0007","chr413",0,0,"","","fe02","",0,0,1,7,7,54.831,-46.067,41.445,107.803,0,0,1,1,0,18,1,-1,"","",""
1050108,"rumor_0008","chr413",0,0,"","","fq01","",0,0,2,8,8,53.756,-46.067,40.277,122.721,0,0,1,1,0,18,0.5,-1,"","",""
1050109,"rumor_0009","chr759",0,0,"","","bn02","",0,0,1,9,9,-76.932,0.025,6.405,-147.345,0,0,1,1,0,18,0,-1,"","",""
1050110,"rumor_0010","chr242",0,0,"","","fq02","",0,0,3,10,10,64.355,-46.054,17.245,122.485,0,0,1,1,0,11.5,0.2,-1,"","",""
1050111,"rumor_0011","chr242",0,0,"","","fe04","",0,0,4,11,11,64.481,-46.054,17.333,94.605,0,0,1,1,0,8,0.5,-1,"","",""
1050112,"rumor_0012","chr241",0,0,"","","bn01","",0,0,3,12,12,64.781,-46.054,14.141,44.737,0,0,1,1,0,13,0.5,-1,"","",""
1050113,"rumor_0013","chr241",0,0,"","","fe02","",0,0,4,13,13,64.777,-46.054,14.143,70.431,0,0,1,1,0,8.5,1.2,-1,"","",""
1050114,"rumor_0014","chr398",0,0,"","","fq02","",0,0,5,14,14,62.7,-46.056,13.959,188.377,0,0,1,1,0,8,0.2,-1,"","",""
1050115,"rumor_0015","chr760",0,0,"","","bn01","",0,0,6,15,15,-65.358,-10.385,53.115,-60,0,0,1,1,32,32,0,-1,"","",""
