int 0,string3 1,string3 2,int 3,int 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int 11,int 12,int 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
10101,"","mob001010101",0,0,"","","fn02","",0,0,3,1,1,-5.94,0.3,3.621,-6.917,0,0,1,1,6,6,0,-1,"","",""
10102,"","mob013010101",0,0,"","","fn02","",0,0,3,2,2,-6.697,0.3,-30.855,-178.335,0,0,1,1,6,6,0,-1,"","",""
10103,"","mob015010101",0,0,"","","fn02","",0,0,3,3,3,13.311,0.3,-30.471,-175.116,0,0,1,1,6,6,0,-1,"","",""
10104,"","mob015010101",0,0,"","","fn07","",0,0,3,4,4,-33.764,0.13,-31.115,-371.74,0,0,1,1,6,20,0,-1,"","",""
10105,"","mob001010101",0,0,"","","fn03","",0,0,3,5,5,-18.219,0.3,-5.621,-263.754,0,0,1,1,6,6,0,-1,"","",""
10106,"","mob003010101",0,0,"","","fn02","",0,0,3,6,6,10.91,0.306,-5.571,121.84,0,0,1,1,6,6,0,-1,"","",""
10107,"","mob193",0,0,"","","fn02","",0,0,2,7,7,1.837,0.3,8.132,327.858,0,0,1,1,6,6,0,-1,"","",""
10108,"","mob054",0,0,"","","fn08","",0,0,2,8,8,-8.288,0.295,7.594,431.009,0,0,1,1,6,6,0,-1,"","",""
10109,"","mob061",0,0,"","","fn15","",0,0,2,9,9,-29.861,0.002,-28.048,265.006,0,0,1,1,23,23,0.2,-1,"","",""
10110,"","mob083",0,0,"","","fn02","",0,0,99,10,10,-4.527,0.31,-6.11,239.311,0,0,1,1,8,8,0,-1,"","",""
10111,"","mob024",0,0,"","","fn02","",0,0,99,11,11,-11.062,0.304,-9.756,240.92,0,0,1,1,10,10,0,-1,"","",""
10112,"","mob003",0,0,"","","fn02","",0,0,99,12,12,-25.467,0.002,-26.801,265.529,0,0,1,1,10,10,0,-1,"","",""
