int32 0,string3 1,string3 2,int32 3,int32 4,string3 5,string3 6,string3 7,string2 8,float 9,float 10,int32 11,int32 12,int32 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,int32 21,float 22,float 23,float 24,float 25,string2 26,string2 27,string2 28
10301,"","mob014010101",0,0,"","","fn54","",0,0,3,1,1,9.362,0.061,-41.902,119.281,0,0,1,1,6,6,0,-1,"","",""
10302,"","mob091020101",0,0,"","","fn21","",0,0,3,2,2,5.865,0.05,-15.218,57.574,0,0,1,1,6,6,0,-1,"","",""
10303,"","mob015010101",0,0,"","","fn10","",0,0,3,3,3,-7.543,0.059,-10.049,61.89,0,0,1,1,6,6,0,-1,"","",""
10304,"","mob017",0,0,"","","fn03","",0,0,3,4,4,-10.824,0.099,-63.367,6.866,0,0,1,1,6,6,0,-1,"","",""
10305,"","mob003",0,0,"","","fn10","",0,0,4,5,5,-3.54,0,3.031,179.867,0,0,1,1,6,6,0,-1,"","",""
10306,"","mob038",0,0,"","","fn52","",0,0,4,6,6,2.033,0,3.789,230,0,0,1,1,6,6,0,-1,"","",""
10307,"","mob035",0,0,"","","fn70","",0,0,4,7,7,-0.795,-0.001,-11.815,188.326,0,0,1,1,6,6,0,-1,"","",""
10308,"","mob025",0,0,"","","fn02","",0,0,4,8,8,-1.027,0,-6.012,180,0,0,1,1,6,4,0,-1,"","",""
10309,"","mob041",0,0,"","","fn11","",0,0,4,9,9,3.547,0,-23.744,217.443,0,0,1,1,6,6,0,-1,"","",""
10310,"","mob031",0,0,"","","fn70","",0,0,4,10,10,-0.586,0,-30.967,213.694,0,0,1,1,6,6,0,-1,"","",""
