int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
105020011,1,5,"",-1,-1,5,"r_d0502_0010_0010",,
105020021,2,5,"",-1,-1,5,"r_d0502_0010_0020",,
105020041,4,5,"",-1,-1,5,"r_d0502_0010_0040",,
105020051,5,5,"",-1,-1,5,"r_d0502_0010_0050",,
105020061,6,5,"",-1,-1,5,"r_d0502_0010_0060",,
105020071,7,5,"",-1,-1,5,"r_d0502_0010_0070",,
105020081,8,5,"",-1,-1,5,"r_d0502_0010_0080",,
105020091,9,5,"",-1,-1,5,"r_d0502_0010_0090",,
105020101,10,5,"",-1,-1,5,"r_d0502_0010_0100",,
105020111,-1,1,"mob_0269",10,10,5,"r_d0502_0010_0110",,
105020121,-1,1,"mob_0200",13,13,5,"r_d0502_0010_0120",,
105020131,-1,1,"mob_0240",15,15,5,"r_d0502_0010_0130",,
105020141,-1,1,"mob_0216",20,20,5,"r_d0502_0010_0140",,
105020151,-1,1,"mob_0239",15,15,5,"r_d0502_0010_0160",,
105020161,-1,1,"mob_0236",15,15,5,"r_d0502_0010_0170",,
105020171,-1,1,"mob_0231",15,15,5,"r_d0502_0010_0180",,
105020181,-1,1,"rumor_001",20,20,5,"r_d0502_0020_0010",,
105020191,-1,1,"rumor_002",10,10,5,"r_d0502_0020_0020",,
105020201,-1,1,"rumor_003",13,13,5,"r_d0502_0020_0030",,
105020211,-1,1,"rumor_004",15,15,5,"r_d0502_0020_0040",,
105020221,-1,1,"rumor_005",20,20,5,"r_d0502_0020_0050",,
105020231,-1,1,"rumor_006",15,15,5,"r_d0502_0020_0060",,
105020241,-1,1,"rumor_007",15,15,5,"r_d0502_0020_0070",,
105020251,-1,1,"rumor_008",15,15,5,"r_d0502_0020_0080",,
105020261,-1,1,"rumor_009",20,20,5,"r_d0502_0020_0090",,
105020271,-1,1,"rumor_010",20,20,5,"r_d0502_0020_0100",,
105020281,-1,1,"rumor_011",15,15,5,"r_d0502_0020_0110",,
105020291,-1,1,"rumor_012",15,15,5,"r_d0502_0020_0120",,
105020301,-1,1,"rumor_013",15,15,5,"r_d0502_0020_0130",,
