int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
208120011,-1,3,"enemy_001S",20,20,60,"r_h0812_0010_0010",,
208120021,-1,3,"enemy_002S",20,20,60,"r_h0812_0010_0020",,
208120031,-1,3,"enemy_003M",20,20,60,"r_h0812_0010_0030",,
208120041,-1,3,"enemy_004L",20,20,60,"r_h0812_0010_0040",,
208120051,-1,3,"enemy_005M",20,20,60,"r_h0812_0010_0050",,
208120061,-1,3,"enemy_006M",20,20,60,"r_h0812_0010_0060",,
208120071,-1,3,"enemy_007M",20,20,60,"r_h0812_0010_0070",,
208120081,-1,3,"enemy_008M",20,20,60,"r_h0812_0010_0080",,
208120091,-1,3,"enemy_009L",20,20,60,"r_h0812_0010_0090",,
208120101,-1,3,"enemy_010M",20,20,60,"r_h0812_0010_0100",,
208120111,-1,3,"enemy_011M",20,20,60,"r_h0812_0010_0110",,
208120121,-1,3,"enemy_012L",20,20,60,"r_h0812_0010_0120",,
208120131,-1,3,"enemy_013M",20,20,60,"r_h0812_0010_0130",,
208120141,-1,3,"enemy_014M",20,20,60,"r_h0812_0010_0140",,
