int32 0,int32 1,int32 2,string2 3,float 4,float 5,float 6,string2 7,empty 8,empty 9
1210011,-1,1,"rumor_001",10,10,10,"r_t0121_0010_0010",,
1210021,-1,1,"rumor_002",10,10,10,"r_t0121_0010_0020",,
1210031,-1,1,"rumor_003",10,10,10,"r_t0121_0010_0030",,
1210041,-1,1,"rumor_004",10,10,10,"r_t0121_0010_0040",,
1210051,-1,1,"rumor_005",10,10,10,"r_t0121_0010_0050",,
1210061,-1,1,"rumor_011",10,10,10,"r_t0121_0020_0010",,
1210071,-1,1,"rumor_012",10,10,10,"r_t0121_0020_0020",,
1210081,-1,1,"rumor_013",10,10,10,"r_t0121_0020_0030",,
1210091,-1,1,"rumor_014",10,10,10,"r_t0121_0020_0040",,
1210101,-1,1,"rumor_015",10,10,10,"r_t0121_0020_0050",,
1210111,-1,1,"rumor_021",10,10,10,"r_t0121_0030_0010",,
1210121,-1,1,"rumor_022",10,10,10,"r_t0121_0030_0020",,
1210131,-1,1,"rumor_023",10,10,10,"r_t0121_0030_0030",,
1210141,-1,1,"rumor_024",10,10,10,"r_t0121_0030_0040",,
1210151,-1,1,"rumor_025",10,10,10,"r_t0121_0030_0050",,
1210161,-1,1,"rumor_100",10,10,10,"r_t0121_0040_0010",,
1210171,-1,1,"rumor_101",10,10,10,"r_t0121_0050_0020",,
1210181,-1,1,"rumor_031",10,10,10,"r_t0121_0060_0010",,
1210191,-1,1,"rumor_032",10,10,10,"r_t0121_0060_0020",,
1210201,-1,1,"rumor_033",10,10,10,"r_t0121_0060_0030",,
1210211,-1,1,"rumor_034",10,10,10,"r_t0121_0060_0040",,
1210221,-1,1,"rumor_035",10,10,10,"r_t0121_0060_0050",,
1210231,-1,1,"rumor_036",10,10,10,"r_t0121_0060_0060",,
1210241,-1,1,"rumor_037",10,10,10,"r_t0121_0060_0070",,
