int32 0,string3 1,int32 2,int32 3,int32 4,string2 5,string2 6,int32 7,int32 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,int32 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,string2 26,int32 27
10101,"",14,1,1,"","",21403001,1,1.013,0.309,-10.361,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10102,"",14,1,1,"","",21403001,1,-41.153,0.302,-4.516,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10103,"",14,1,1,"","",21403001,1,12.532,0.3,-30.738,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10104,"",14,1,1,"","",21403001,0,10.184,0.3,0.971,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10105,"",14,1,1,"","",21403001,0,-5.141,0.299,13.745,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10106,"",14,1,1,"","",21403001,0,-26.752,0.002,-19.297,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10107,"",14,1,1,"","",21403001,0,6.251,0.299,29.558,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10201,"",14,1,1,"","",21403001,1,1.669,-0.001,21.952,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10202,"",14,1,1,"","",21403001,0,-4.8,0,7.638,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10203,"",14,1,1,"","",21403001,0,-0.488,-0.001,-6.483,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10204,"",14,1,1,"","",21403001,0,11.526,0.194,-30.436,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10205,"",14,1,1,"","",21403001,0,-21.014,0.267,-29.576,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10206,"",14,1,1,"","",21403001,0,14.318,0.261,-69.909,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10207,"",14,1,1,"","",21403001,1,-44.738,0.269,-69.547,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10301,"",14,1,1,"","",21403001,0,-5.846,0.099,-1.658,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10302,"",14,1,1,"","",21403001,0,23.733,0.052,-11.578,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10303,"",14,1,1,"","",21403001,1,17.674,0,-20.665,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10304,"",14,1,1,"","",21403001,0,-3.185,0.049,-39.415,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10305,"",14,1,1,"","",21403001,0,-24.851,0.099,-50.602,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10306,"",14,1,1,"","",21403001,0,13.042,0.049,-55.046,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10307,"",14,1,1,"","",21403001,1,-47.293,0.099,-60.604,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10401,"",14,1,1,"","",21403001,1,-23.154,-0.001,21.242,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10402,"",14,1,1,"","",21403001,0,-31.386,0,11.828,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10403,"",14,1,1,"","",21403001,1,-41.908,0,-28.148,-266.614,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10404,"",14,1,1,"","",21403001,0,-1.463,0,-7.09,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10405,"",14,1,1,"","",21403001,0,11.997,-0.001,-19.079,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10406,"",14,1,1,"","",21403001,0,0.063,0.47,-13.866,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10407,"",14,1,1,"","",21403001,0,31.166,0,-26.36,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10408,"",14,1,1,"","",21403001,1,39.609,0,-7.543,90.582,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10409,"",14,1,1,"","",21403001,0,7.334,0,7.392,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10410,"",14,1,1,"","",21403001,0,34.066,0,6.712,90.581,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10411,"",14,1,1,"","",21403001,0,-25.015,0,-7.845,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10501,"",14,1,1,"","",21403001,0,13.227,9.2,2.234,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10502,"",14,1,1,"","",21403001,1,6.795,9.199,5.487,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10503,"",14,1,1,"","",21403001,1,6.332,9.2,-36.946,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10504,"",14,1,1,"","",21403001,0,1.884,1.199,5.08,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10505,"",14,1,1,"","",21403001,0,-2.562,1.199,49.676,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10506,"",14,1,1,"","",21403001,1,-1.948,1.199,-47.666,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10701,"",14,1,1,"","",21403001,1,-27.155,0.054,40.748,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10702,"",14,1,1,"","",21403001,1,-34.753,0.054,22.544,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10703,"",14,1,1,"","",21403001,0,-25.579,0.055,-14.728,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10704,"",14,1,1,"","",21403001,0,-9.392,0.054,-18.666,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10705,"",14,1,1,"","",21403001,1,-15.386,0.054,1.922,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10706,"",14,1,1,"","",21403001,1,4.826,-0.001,-5.626,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10801,"",14,1,1,"","",21403001,0,9.763,0.268,-4.229,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10802,"",14,1,1,"","",21403001,0,-46.175,0.27,14.72,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10803,"",14,1,1,"","",21403001,0,-12.978,0.267,7.991,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10804,"",14,1,1,"","",21403001,1,40.995,0.268,32.588,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10805,"",14,1,1,"","",21403001,0,13.92,0.276,53.888,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10806,"",14,1,1,"","",21403001,1,-62.32,0.25,96.727,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10807,"",14,1,1,"","",21403001,0,-29.177,0.255,70.713,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10808,"",14,1,1,"","",21403001,1,-90.999,0.15,40.212,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10901,"",14,1,1,"","",21403001,0,21.726,-0.001,64.75,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10902,"",14,1,1,"","",21403001,1,5.621,0,23.91,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10903,"",14,1,1,"","",21403001,1,24.037,0,7.575,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
