int 0,string3 1,int 2,int 3,int 4,string2 5,string2 6,int 7,int 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,int 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,string2 26,int 27
10101,"",14,1,1,"","",21403001,1,1.013,0.309,-10.361,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10102,"",14,1,1,"","",21403001,1,-41.153,0.302,-4.516,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10103,"",14,1,1,"","",21403001,1,12.532,0.3,-30.738,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10104,"",14,1,1,"","",21403001,0,10.184,0.3,0.971,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10105,"",14,1,1,"","",21403001,0,-5.141,0.299,13.745,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10106,"",14,1,1,"","",21403001,0,-26.752,0.002,-19.297,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10107,"",14,1,1,"","",21403001,0,6.251,0.299,29.558,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10201,"",14,1,1,"","",21403001,1,1.669,-0.001,21.952,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10202,"",14,1,1,"","",21403001,0,-4.8,0,7.638,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10203,"",14,1,1,"","",21403001,0,-0.488,-0.001,-6.483,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10204,"",14,1,1,"","",21403001,0,11.526,0.194,-30.436,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10205,"",14,1,1,"","",21403001,0,-21.014,0.267,-29.576,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10206,"",14,1,1,"","",21403001,0,14.318,0.261,-69.909,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10207,"",14,1,1,"","",21403001,1,-44.738,0.269,-69.547,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10701,"",14,1,1,"","",21403001,1,-27.155,0.054,40.748,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10702,"",14,1,1,"","",21403001,1,-34.753,0.054,22.544,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10703,"",14,1,1,"","",21403001,0,-25.579,0.055,-14.728,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10704,"",14,1,1,"","",21403001,0,-9.392,0.054,-18.666,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10705,"",14,1,1,"","",21403001,1,-15.386,0.054,1.922,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10706,"",14,1,1,"","",21403001,1,4.826,-0.001,-5.626,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
10801,"",14,1,1,"","",21403001,0,9.763,0.268,-4.229,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10802,"",14,1,1,"","",21403001,0,-46.175,0.27,14.72,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10803,"",14,1,1,"","",21403001,0,-12.978,0.267,7.991,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10804,"",14,1,1,"","",21403001,1,40.995,0.268,32.588,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10805,"",14,1,1,"","",21403001,0,13.92,0.276,53.888,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10806,"",14,1,1,"","",21403001,1,-62.32,0.25,96.727,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10807,"",14,1,1,"","",21403001,0,-29.177,0.255,70.713,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
10808,"",14,1,1,"","",21403001,1,-90.999,0.15,40.212,0,0,0,0.2,0,10,-1,0,0,0,0,-1,0,0,"",0
30201,"",14,1,1,"","",21403001,0,7.329,0,24.766,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30202,"",14,1,1,"","",21403001,1,25.305,0.001,37.386,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30203,"",14,1,1,"","",21403001,0,26.709,0,4.75,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30204,"",14,1,1,"","",21403001,1,-0.17,0,-11.691,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30205,"",14,1,1,"","",21403001,1,-16.966,0,3.745,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30206,"",14,1,1,"","",21403001,0,-23.789,0.474,26.284,126.979,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30207,"",14,1,1,"","",21403001,1,26.293,0.473,-14.823,126.976,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
30208,"",14,1,1,"","",21403001,0,-19.693,0.005,-8.249,0,0,0,0.2,0,-1,-1,0,0,0,0,-1,0,0,"",0
1020101,"腐りかけの木材",920,1,-1,"","",20201001,0,-9.776,3.516,-84.361,15.229,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020102,"腐りかけの木材",920,1,-1,"","",20201001,0,-6.415,6.5,-7.599,0.666,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020103,"汚れた土",982,1,-1,"","",20201002,1,10.323,10.535,-18.008,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020104,"腐りかけの木材",920,1,-1,"","",20201001,0,26.588,15.059,-15.026,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020105,"汚れた土",982,1,-1,"","",20201002,0,-4.902,2.981,9.958,90,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020106,"スリープリカバリー",921,1,-1,"","",20201001,1,-10.674,18.013,-29.38,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020107,"スリープリカバリー",920,1,-1,"","",20201001,0,-30.338,2,59.29,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020108,"スリープリカバリー",982,1,-1,"","",20201002,0,-14.785,2.056,46.822,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020109,"スリープリカバリー",920,1,-1,"","",20201001,1,4.251,3,11.229,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020110,"スリープリカバリー",920,1,-1,"","",20201001,0,8.316,3.516,-85.212,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020111,"スリープリカバリー",982,1,-1,"","",20201002,0,4.37,3.5,-33.984,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020201,"汚れた土",982,1,-1,"","",20202001,0,-7.058,6.867,23.47,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020202,"氷水晶の欠片",982,1,-1,"","",20202001,0,41.591,0,19.303,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020203,"氷水晶の欠片",982,1,-1,"","",20202001,1,-27.848,2,6.642,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020204,"ボロボロの石",982,1,-1,"","",20202001,0,24.817,-0.004,8.112,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020205,"古びたオイル",982,1,-1,"","",20202001,1,-24.996,1.979,-13.386,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
1020206,"汚れた土",982,1,-1,"","",20202001,0,-56.965,1.986,-10.142,0,0,0,1,1,10,-1,0,0,0,0,-1,0,0,"",0
