string2 0,empty 1,float 2,float 3,float 4,float 5,float 6,float 7,float 8
"chr012J_head",,0,0,0,0,0,0,1
"chr012J_body2",,0,0,-10,-0.087155744,0,0,0.9961947
"chr088J_head",,0,0,0,0,0,0,1
"chr088J_neck",,0,0,0,0,0,0,1
"chr088J_spine02",,0,0,5,0.043619387,0,0,0.99904823
"chr757J_head",,0,0,0,0,0,0,1
"chr757J_neck",,0,0,0,0,0,0,1
"chr757J_spine02",,0,0,5,0.043619387,0,0,0.99904823
"chr092J_head",,0,0,0,0,0,0,1
"chr092J_spine02",,0,20,0,0,0.17364818,0,0.9848077
"chr043J_head",,0,0,0,0,0,0,1
"chr043J_chest",,0,20,0,0,0.17364818,0,0.9848077
"chr093J_head",,0,0,0,0,0,0,1
"chr093J_chest",,0,10,13,0.11277244,0.08659549,0.00986631,0.98979104
"chr730J_head",,0,0,0,0,0,0,1
"chr730J_chest",,0,10,13,0.11277244,0.08659549,0.00986631,0.98979104
"chr111J_head",,0,0,0,0,0,0,1
"chr111J_thorax",,5,0,-17.5,-0.1519786,0.006635529,0.043111723,0.9874208
"chr577J_head",,0,0,0,0,0,0,1
"chr577J_thorax",,0,0,0,0,0,0,1
"chr577J_center",,0,15,-5,-0.043246217,0.13040195,-0.0056934725,0.9905012
"chr578J_head",,0,0,0,0,0,0,1
"chr578J_thorax",,0,0,0,0,0,0,1
"chr578J_center",,0,15,-5,-0.043246217,0.13040195,-0.0056934725,0.9905012
"chr126J_head",,0,0,0,0,0,0,1
"chr126J_neck",,0,0,0,0,0,0,1
"chr126J_spine03",,2,10,-5,-0.041927155,0.08781789,0.013568346,0.9951613
"chr150J_head",,0,0,0,0,0,0,1
"chr150J_neck",,0,0,0,0,0,0,1
"chr150J_spine03",,2,10,-5,-0.041927155,0.08781789,0.013568346,0.9951613
"chr132J_head",,0,0,0,0,0,0,1
"chr132J_chine_j",,0,0,10,0.087155744,0,0,0.9961947
"chr133J_head",,0,0,0,0,0,0,1
"chr133J_chine_j",,0,0,10,0.087155744,0,0,0.9961947
"chr347J_head",,0,0,0,0,0,0,1
"chr347J_chine_j",,0,0,10,0.087155744,0,0,0.9961947
"chr434J_head",,0,0,0,0,0,0,1
"chr434J_chine_j",,0,0,10,0.087155744,0,0,0.9961947
"chr135J_head",,0,0,0,0,0,0,1
"chr135J_body2",,0,0,-20,-0.17364818,0,0,0.9848077
"chr140J_head",,0,0,0,0,0,0,1
"chr140J_body2",,0,0,-30,-0.25881904,0,0,0.9659258
"chr151J_head",,0,0,0,0,0,0,1
"chr151J_chest",,0,0,-20,-0.17364818,0,0,0.9848077
"chr209J_head",,-90,115,0,-0.59636784,0.59636784,-0.3799282,0.3799282
"chr209J_neck02",,-100,70,15,-0.3668987,0.44743973,-0.574015,0.5793874
"chr209J_neck01",,-95,55,10,-0.28691274,0.36776328,-0.62429595,0.6266465
"chr209J_spine02",,-100,40,15,-0.18092036,0.31192428,-0.6849922,0.6330535
