int 0,int 1,int 2,empty 3,int 4,int 5,int 6,int 7,int 8,int 9,int 10,int 11,int 12,empty 13,int 14,int 15,int 16,int 17,int 18,empty 19,int 20,int 21,int 22,int 23,int 24,empty 25,int 26,int 27,int 28,int 29,int 30,empty 31,int 32,int 33,int 34,int 35,int 36,empty 37,int 38,int 39,int 40,int 41,int 42,empty 43,int 44,int 45,int 46,int 47,int 48,empty 49,int 50,int 51,int 52,int 53,int 54,empty 55,int 56,int 57,int 58,int 59,int 60,empty 61,int 62,int 63,int 64,int 65,int 66,empty 67,int 68,int 69,int 70,int 71
1169100,11691,0,"",-1,0,0,0,0,0,0,0,21693,"",0,0,0,0,21694,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1176100,11761,0,"",-1,0,0,0,0,0,0,0,21761,"",0,0,0,0,21762,"",0,0,0,0,30083,"",0,0,0,0,31022,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1183100,11831,0,"",-1,0,0,0,0,0,0,0,21832,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1183200,11832,0,"",-1,0,0,0,0,0,0,0,21831,"",20,7,0,0,21832,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1183300,11833,0,"",-1,0,0,0,0,0,0,0,21831,"",20,7,0,0,21832,"",10,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1183400,11834,0,"",-1,0,0,0,0,0,0,0,21831,"",0,0,0,0,21832,"",0,0,0,0,30252,"",0,0,0,0,32141,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1184100,11841,0,"",-1,0,0,0,0,0,0,0,21841,"",10,0,0,0,21842,"",0,0,0,0,30152,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1185100,11851,0,"",-1,0,0,0,0,0,0,0,21851,"",10,0,0,0,21852,"",0,0,0,0,30152,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1186100,11861,0,"",-1,0,0,0,0,0,0,0,21861,"",10,0,0,0,21862,"",0,0,0,0,30152,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
1187100,11871,0,"",-1,0,0,0,0,0,0,0,21871,"",10,0,0,0,21872,"",0,0,0,0,30152,"",20,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,0
