int32 0,empty 1,string2 2,string2 3,int32 4
105,,"s01Digicare000","ui_icon_item_030",0
106,,"s01Digicare001","ui_icon_item_081",1
107,,"s01Digicare002","ui_icon_item_034",2
108,,"s01Digicare003","ui_icon_item_035",3
109,,"s01Digicare004","ui_icon_item_037",4
110,,"s01Digicare005","ui_icon_item_038",5
203,,"s01Digicare000","ui_icon_item_030",0
222,,"s01Digicare001","ui_icon_item_081",1
210,,"s01Digicare002","ui_icon_item_034",2
211,,"s01Digicare003","ui_icon_item_035",3
213,,"s01Digicare004","ui_icon_item_037",4
223,,"s01Digicare005","ui_icon_item_038",5
