int32 0,empty 1,int32 2,string2 3,string2 4,int32 5,int32 6,string2 7,float 8,float 9,float 10,float 11,float 12,float 13,int32 14,int32 15,int32 16,int32 17,int32 18
20001,,112,"Garden","",1,1,"s01Fobj01",4,1.5,1.5,5,0,0,1,1,1,-1,0
20002,,115,"Garden","",1,1,"s01Fobj02",4,1.3,1.3,5,0,0,1,1,1,-1,0
20003,,113,"Garden","",1,1,"s01Fobj03",5,0.9,0.9,5,0,0,1,1,1,-1,0
20004,,401,"Monument","",1,1,"s01Fobj04",4,2.7,2.7,5,0,0,1,1,1,-1,0
20005,,202,"Machine","",1,1,"s01Fobj05",4,1,1,5,0,0,1,1,1,-1,0
20006,,201,"Machine","",1,1,"s01Fobj06",4,1.5,1.5,5,0,0,1,1,1,-1,0
20008,,110,"Garden","",1,1,"s01Fobj08",4,2.7,2.7,5,0,0,1,1,1,-1,0
20011,,23,"Nature","",1,1,"s01Fobj11",4,1.5,1.5,5,0,0.175,1,1,1,-1,0
20012,,24,"Nature","",1,1,"s01Fobj12",4,1.5,1.5,5,0,0.165,1,1,1,-1,0
20013,,402,"Monument","",1,1,"s01Fobj13",4,1.5,1.5,5,0,0.135,1,1,1,-1,0
20100,,1,"Nature","",1,1,"s01Fobj100",4,1.5,1.5,5,0,0,1,1,1,-1,0
20101,,2,"Nature","",1,1,"s01Fobj101",4,1.5,1.5,5,0,0,1,1,1,-1,0
20102,,3,"Nature","",1,1,"s01Fobj102",4,1.5,1.5,5,0,0,1,1,1,-1,0
20103,,102,"Garden","",1,1,"s01Fobj103",4,1.5,1.5,5,0,0,1,1,1,-1,0
20104,,101,"Garden","",1,1,"s01Fobj104",4,1.5,1.5,5,0,0,1,1,1,-1,0
20106,,10,"Nature","",1,1,"s01Fobj106",4,1.5,1.5,5,0,0,1,1,1,-1,0
20107,,11,"Nature","",1,1,"s01Fobj107",4,1.5,1.5,5,0,0,1,1,1,-1,0
20108,,12,"Nature","",1,1,"s01Fobj108",4,1.5,1.5,5,0,0,1,1,1,-1,0
20109,,13,"Nature","",1,1,"s01Fobj109",4,1.5,1.5,5,0,0,1,1,1,-1,0
20110,,14,"Nature","",1,1,"s01Fobj110",4,1.5,1.5,5,0,0,1,1,1,-1,0
20111,,15,"Nature","",1,1,"s01Fobj111",4,1.5,1.5,5,0,0,1,1,1,-1,0
20112,,16,"Nature","",1,1,"s01Fobj112",4,1.5,1.5,5,0,0,1,1,1,-1,0
20113,,17,"Nature","",1,1,"s01Fobj113",4,1.5,1.5,5,0,0,1,1,1,-1,0
20114,,4,"Nature","",1,1,"s01Fobj114",4,1.5,1.5,5,0,0,1,1,1,-1,0
20115,,5,"Nature","",1,1,"s01Fobj115",4,1.5,1.5,5,0,0,1,1,1,-1,0
20116,,6,"Nature","",1,1,"s01Fobj116",4,1.5,1.5,5,0,0,1,1,1,-1,0
20300,,21,"Nature","",1,1,"s01Fobj300",4,1.5,1.5,5,0,0,1,1,1,-1,0
20301,,22,"Nature","",1,1,"s01Fobj301",4,1.5,1.5,5,0,0,1,1,1,-1,0
20500,,20,"Nature","",1,1,"s01Fobj500",4,1.5,1.5,5,0,0,1,1,1,-1,0
20502,,7,"Nature","",1,1,"s01Fobj502",4,1.5,1.5,5,0,0,1,1,1,-1,0
20503,,8,"Nature","",1,1,"s01Fobj503",4,1.5,1.5,5,0,0,1,1,1,-1,0
20504,,9,"Nature","",1,1,"s01Fobj504",4,1.5,1.5,5,0,0,1,1,1,-1,0
20505,,116,"Garden","",1,1,"s01Fobj505",4,1.5,1.5,5,0,0,1,1,1,-1,0
20508,,301,"Accessory","",1,1,"s01Fobj508",4,1.5,1.5,5,0,0,1,1,1,-1,0
20510,,302,"Accessory","",1,1,"s01Fobj510",4,1.5,1.5,5,0,0,1,1,1,-1,0
20511,,304,"Accessory","",1,1,"s01Fobj511",4,1.5,1.5,5,0,0,1,1,1,-1,0
20512,,307,"Accessory","",1,1,"s01Fobj512",4,1.5,1.5,5,0,0,1,1,1,-1,0
20516,,306,"Accessory","",1,1,"s01Fobj516",4,1.5,1.5,5,0,0,1,1,1,-1,0
