string2 0,float 1,float 2,float 3
"chr001_29003",-0.3,0,0
"chr001_29004",-0.3,0,0
"chr001_29017",-0.3,0,0
"chr002_29003",0.5,0,0
"chr003_29003",-0.3,0,0
"chr004_29003",-0.3,0,0
"chr005_29003",-0.5,0,0
"chr006_29003",-0.4,0,0
"chr009_29003",0.3,0,0
"chr010_29003",-0.2,0,0
"chr011_29003",0,0,0
"chr012_29003",-0.3,0,0
"chr013_29003",0,0,0
"chr014_29003",0,0,0
"chr015_29003",-0.3,0,0
"chr016_29003",-0.3,0,0
"chr017_29003",-0.2,0,0
"chr019_29003",-0.3,0,0
"chr020_29003",0.3,0,0
"chr021_29003",-0.3,0,0
"chr023_29003",-0.3,0,0
"chr024_29003",0.3,0,0
"chr025_29003",-0.3,0,0
"chr026_29003",-0.2,0,0
"chr027_29003",-0.3,0,0
"chr028_29003",0,0,0
"chr030_29003",-0.3,0,0
"chr031_29003",-0.3,0,0
"chr032_29003",-0.3,0,0
"chr033_29003",-0.6,0,0
"chr034_29003",0.1,0,0
"chr035_29003",-0.7,0,0
"chr036_29003",-0.3,0,0
"chr037_29003",-0.3,0,0
"chr038_29003",-0.3,0,0
"chr039_29003",-0.3,0,0
"chr040_29003",-0.3,0,0
"chr041_29003",0,0,0
"chr042_29003",0.3,0,0
"chr043_29003",0.3,0,0
"chr044_29003",0,0,0
"chr045_29003",-0.3,0,0
"chr046_29003",-0.3,0,0
"chr047_29003",-0.3,0,0
"chr048_29003",-0.3,0,0
"chr049_29003",-0.3,0,0
"chr050_29003",0.3,0,0
"chr051_29003",-0.3,0,0
"chr052_29003",0.2,0,0
"chr053_29003",0.3,0,0
"chr054_29003",-0.3,0,0
"chr055_29003",0.3,0,0
"chr056_29003",0.3,0,0
"chr057_29003",-0.1,0,0
"chr058_29003",0,0,0
"chr059_29003",-0.2,0,0
"chr060_29003",-0.3,0,0
"chr061_29003",0,0,0
"chr068_29003",-0.3,0,0
"chr069_29003",0.3,0,0
"chr070_29003",0.3,0,0
"chr071_29003",-0.3,0,0
"chr072_29003",0,0,0
"chr073_29003",0,0,0
"chr074_29003",0,0,0
"chr075_29003",-0.3,0,0
"chr076_29003",-0.3,0,0
"chr077_29003",0,0,0
"chr078_29003",-0.3,0,0
"chr079_29003",0,0,0
"chr080_29003",-0.3,0,0
"chr081_29003",0.3,0,0
"chr082_29003",-0.5,0,0
"chr083_29003",-0.3,0,0
"chr084_29003",-0.3,0,0
"chr085_29003",0,0,0
"chr086_29003",-0.3,0,0
"chr087_29003",0,0,0
"chr088_29003",-0.3,0,0
"chr090_29003",0.3,0,0
"chr091_29003",-0.3,0,0
"chr092_29003",0.3,0,0
"chr093_29003",0,0,0
"chr094_29003",0,0,0
"chr095_29003",-0.3,0,0
"chr096_29003",0,0,0
"chr097_29003",0.3,0,0
"chr098_29003",-0.3,0,0
"chr100_29003",-0.3,0,0
"chr101_29003",0,0,0
"chr102_29003",-0.3,0,0
"chr103_29003",0.3,0,0
"chr104_29003",-0.3,0,0
"chr105_29003",-0.3,0,0
"chr106_29003",-0.3,0,0
"chr107_29003",-0.3,0,0
"chr111_29003",0,0,0
"chr112_29003",0.3,0,0
"chr113_29003",0.3,0,0
"chr114_29003",0.3,0,0
"chr115_29003",0,0,0
"chr116_29003",-0.3,0,0
"chr117_29003",-0.3,0,0
"chr118_29003",-0.3,0,0
"chr126_29003",-0.3,0,0
"chr127_29003",-0.3,0,0
"chr128_29003",-0.3,0,0
"chr129_29003",-0.3,0,0
"chr130_29003",0.2,0,0
"chr132_29003",-0.5,0,0
"chr133_29003",-0.5,0,0
"chr134_29003",-0.6,0,0
"chr135_29003",-0.5,0,0
"chr136_29003",0.3,0,0
"chr137_29003",-0.3,0,0
"chr138_29003",-0.3,0,0
"chr139_29003",-0.3,0,0
"chr140_29003",-0.3,0,0
"chr141_29003",-0.3,0,0
"chr142_29003",-0.3,0,0
"chr144_29003",-0.5,0,0
"chr145_29003",-0.5,0,0
"chr146_29003",-0.5,0,0
"chr147_29003",-0.3,0,0
"chr148_29003",0.3,0,0
"chr149_29003",-0.5,0,0
"chr150_29003",-0.3,0,0
"chr151_29003",0.3,0,0
"chr162_29003",0.3,0,0
"chr163_29003",-0.3,0,0
"chr168_29003",-0.3,0,0
"chr169_29003",-0.3,0,0
"chr170_29003",-0.3,0,0
"chr171_29003",-0.3,0,0
"chr172_29003",0,0,0
"chr173_29003",0,0,0
"chr174_29003",-0.3,0,0
"chr176_29003",-0.2,0,0
"chr177_29003",-0.2,0,0
"chr178_29003",-0.3,0,0
"chr179_29003",-0.5,0,0
"chr180_29003",0,0,0
"chr181_29003",-0.3,0,0
"chr183a_29003",-0.3,0,0
"chr184a_29003",-0.3,0,0
"chr185a_29003",-0.3,0,0
"chr186a_29003",-0.3,0,0
"chr187a_29003",-0.3,0,0
"chr188a_29003",-0.3,0,0
"chr189_29003",0.2,0,0
"chr190_29003",0.3,0,0
"chr191_29003",-0.3,0,0
"chr192_29003",-0.3,0,0
"chr193_29003",-0.3,0,0
"chr194_29003",-0.3,0,0
"chr195_29003",0,0,0
"chr196_29003",0,0,0
"chr197_29003",0,0,0
"chr198_29003",-0.3,0,0
"chr199_29003",-0.3,0,0
"chr208_29003",0.3,0,0
"chr209_29003",-0.5,0,0
"chr210_29003",-0.3,0,0
"chr211_29003",-0.3,0,0
"chr213_29003",-0.5,0,0
"chr214_29003",-0.5,0,0
"chr215_29003",-0.3,0,0
"chr217_29003",0,0,0
"chr218_29003",-0.5,0,0
"chr219_29003",0,0,0
"chr220_29003",-0.3,0,0
"chr222_29003",-0.5,0,0
"chr223_29003",-0.5,0,0
"chr224_29003",0,0,0
"chr225_29003",-0.3,0,0
"chr226_29003",-0.3,0,0
"chr227_29003",-0.5,0,0
"chr228_29003",-0.3,0,0
"chr229_29003",-0.5,0,0
"chr230_29003",-0.6,0,0
"chr231_29003",0,0,0
"chr232_29003",0.3,0,0
"chr233_29003",-0.5,0,0
"chr234_29003",0.3,0,0
"chr235_29003",-0.3,0,0
"chr237_29003",0,0,0
"chr239_29003",-0.6,0,0
"chr240_29003",-0.1,0,0
"chr241_29003",0.3,0,0
"chr242_29003",0.1,0,0
"chr301_29003",-0.3,0,0
"chr302_29003",-0.3,0,0
"chr303_29003",0.3,0,0
"chr304_29003",-0.3,0,0
"chr305_29003",-0.3,0,0
"chr306_29003",-0.3,0,0
"chr307_29003",0,0,0
"chr308_29003",-0.3,0,0
"chr309_29003",0,0,0
"chr310_29003",-0.3,0,0
"chr311_29003",-0.3,0,0
"chr312_29003",-0.3,0,0
"chr313_29003",0,0,0
"chr314_29003",0.3,0,0
"chr315_29003",-0.3,0,0
"chr316_29003",0.1,0,0
"chr317_29003",0.1,0,0
"chr320_29003",0.3,0,0
"chr321_29003",0.3,0,0
"chr322_29003",0.3,0,0
"chr325_29003",0.3,0,0
"chr326_29003",-0.3,0,0
"chr328_29003",-0.3,0,0
"chr338_29003",0,0,0
"chr341_29003",-0.3,0,0
"chr342_29003",-0.3,0,0
"chr343_29003",0.3,0,0
"chr344_29003",-0.3,0,0
"chr345_29003",-0.3,0,0
"chr346_29003",-0.5,0,0
"chr347_29003",-0.3,0,0
"chr348_29003",0.3,0,0
"chr349_29003",-0.5,0,0
"chr359_29003",0.3,0,0
"chr361_29003",0.3,0,0
"chr363_29003",-0.3,0,0
"chr364_29003",-0.5,0,0
"chr365_29003",-0.3,0,0
"chr367_29003",-0.3,0,0
"chr368_29003",-0.7,0,0
"chr369_29003",-0.3,0,0
"chr370_29003",-0.3,0,0
"chr371_29003",-0.3,0,0
"chr372_29003",-0.3,0,0
"chr373_29003",-0.3,0,0
"chr374_29003",0.3,0,0
"chr375_29003",0.3,0,0
"chr376_29003",-0.5,0,0
"chr377_29003",0,0,0
"chr378_29003",0,0,0
"chr379_29003",0,0,0
"chr380_29003",0.3,0,0
"chr382_29003",0,0,0
"chr383_29003",-0.3,0,0
"chr385_29003",-0.5,0,0
"chr387_29003",0.3,0,0
"chr388_29003",0.3,0,0
"chr389_29003",0.3,0,0
"chr390_29003",0.3,0,0
"chr391_29003",-0.3,0,0
"chr392_29003",0.3,0,0
"chr393_29003",0,0,0
"chr394_29003",-0.3,0,0
"chr395_29003",-0.3,0,0
"chr396_29003",-0.1,0,0
"chr397_29003",-0.3,0,0
"chr398_29003",-0.1,0,0
"chr399_29003",0.3,0,0
"chr400_29003",-0.5,0,0
"chr401_29003",-0.3,0,0
"chr402_29003",-0.3,0,0
"chr403_29003",0,0,0
"chr404_29003",-0.3,0,0
"chr405_29003",0,0,0
"chr406_29003",-0.3,0,0
"chr407_29003",-0.5,0,0
"chr408_29003",-0.5,0,0
"chr409_29003",0,0,0
"chr410_29003",0.3,0,0
"chr411_29003",0.3,0,0
"chr412_29003",0.3,0,0
"chr413_29003",0.3,0,0
"chr414_29003",-0.3,0,0
"chr416_29003",-0.5,0,0
"chr417_29003",-0.3,0,0
"chr419_29003",-0.3,0,0
"chr420_29003",-0.3,0,0
"chr421_29003",-0.3,0,0
"chr422_29003",-0.3,0,0
"chr423_29003",-0.3,0,0
"chr424_29003",-0.3,0,0
"chr425_29003",-0.3,0,0
"chr426_29003",-0.3,0,0
"chr427_29003",0,0,0
"chr428_29003",0,0,0
"chr429_29003",-0.3,0,0
"chr431_29003",-0.3,0,0
"chr434_29003",-0.3,0,0
"chr435_29003",-0.3,0,0
"chr437_29003",0.3,0,0
"chr438_29003",0.3,0,0
"chr439_29003",-0.3,0,0
"chr440_29003",-0.5,0,0
"chr449_29003",0,0,0
"chr450_29003",-0.3,0,0
"chr451_29003",-0.3,0,0
"chr452_29003",-0.3,0,0
"chr453_29003",-0.3,0,0
"chr454_29003",-0.3,0,0
"chr455_29003",0.3,0,0
"chr456_29003",0,0,0
"chr457_29003",0.3,0,0
"chr458_29003",0.3,0,0
"chr461_29003",-0.5,0,0
"chr463_29003",-0.3,0,0
"chr465_29003",-0.3,0,0
"chr466_29003",0.3,0,0
"chr474_29003",0,0,0
"chr479_29003",-0.7,0,0
"chr484_29003",-0.3,0,0
"chr489_29003",-0.3,0,0
"chr490_29003",-0.3,0,0
"chr491_29003",-0.5,0,0
"chr492_29003",-0.7,0,0
"chr494_29003",-0.3,0,0
"chr510_29003",0.3,0,0
"chr512_29003",0.3,0,0
"chr514_29003",0.3,0,0
"chr515_29003",0.3,0,0
"chr548_29003",0,0,0
"chr564_29003",0,0,0
"chr567_29003",0,0,0
"chr569_29003",0.3,0,0
"chr573_29003",0.3,0,0
"chr574_29003",0,0,0
"chr575_29003",-0.3,0,0
"chr576_29003",0,0,0
"chr577_29003",0,0,0
"chr578_29003",0,0,0
"chr579_29003",-0.3,0,0
"chr580_29003",-0.3,0,0
"chr582_29003",-0.3,0,0
"chr584_29003",0.3,0,0
"chr586_29003",0,0,0
"chr588_29003",-0.3,0,0
"chr590_29003",-0.3,0,0
"chr592_29003",-0.3,0,0
"chr594_29003",0,0,0
"chr595_29003",0.3,0,0
"chr596_29003",0.3,0,0
"chr597_29003",-0.2,0,0
"chr598_29003",-0.5,0,0
"chr600_29003",-0.3,0,0
"chr601_29003",-0.3,0,0
"chr602_29003",-0.3,0,0
"chr603_29003",-0.3,0,0
"chr604_29003",0,0,0
"chr605_29003",-0.3,0,0
"chr606_29003",-0.3,0,0
"chr607_29003",0.2,0,0
"chr609_29003",0.3,0,0
"chr610_29003",0,0,0
"chr611_29003",0.3,0,0
"chr613_29003",-0.3,0,0
"chr614_29003",-0.3,0,0
"chr615_29003",-0.3,0,0
"chr616_29003",-0.3,0,0
"chr617_29003",-0.3,0,0
"chr621_29003",-0.3,0,0
"chr622_29003",0.3,0,0
"chr623_29003",0.3,0,0
"chr626_29003",0.3,0,0
"chr627_29003",-0.5,0,0
"chr629_29003",0.3,0,0
