string2 0,string2 1,string2 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10
"d0106rock03Bc01","d0106rock03Bc01_LOD_1","d0106rock03Bc01_LOD_2","","","","","","","",""
"d0101rock01p","d0101rock01p_LOD_1","d0101rock01p_LOD_2","","","","","","","",""
"d0102rockCR1","d0102rockCR1_LOD_1","d0102rockCR1_LOD_2","","","","","","","",""
"d01addpipe01","d01addpipe01_LOD_1","d01addpipe01_LOD_2","","","","","","","",""
"d01addcriff05","d01addcriff05_LOD_1","d01addcriff05_LOD_2","","","","","","","",""
"d04branch01a","d04branch01a_LOD_1","d04branch01a_LOD_2","","","","","","","",""
"d04branch01b","d04branch01b_LOD_1","d04branch01b_LOD_2","","","","","","","",""
"d04branch01c","d04branch01c_LOD_1","d04branch01c_LOD_2","","","","","","","",""
"d04gearPillar01a","d04gearPillar01a_LOD_1","d04gearPillar01a_LOD_2","","","","","","","",""
"d04gearPillar02a","d04gearPillar02a_LOD_1","d04gearPillar02a_LOD_2","","","","","","","",""
"d04gearPillar03a","d04gearPillar03a_LOD_1","d04gearPillar03a_LOD_2","","","","","","","",""
"d04plant01a","d04plant01a_LOD_1","d04plant01a_LOD_2","","","","","","","",""
"d04plant01g","d04plant01g_LOD_1","d04plant01g_LOD_2","","","","","","","",""
"d04plant01r","d04plant01r_LOD_1","d04plant01r_LOD_2","","","","","","","",""
"d04treeLfar01a","d04treeLfar01a_LOD_1","d04treeLfar01a_LOD_2","","","","","","","",""
"d04treeLfar01b","d04treeLfar01b_LOD_1","d04treeLfar01b_LOD_2","","","","","","","",""
"d04zbranch01a","d04zbranch01a_LOD_1","d04zbranch01a_LOD_2","","","","","","","",""
"d04zbranch01b","d04zbranch01b_LOD_1","d04zbranch01b_LOD_2","","","","","","","",""
"d04zbranch01c","d04zbranch01c_LOD_1","d04zbranch01c_LOD_2","","","","","","","",""
"d04zgearPillar01a","d04zgearPillar01a_LOD_1","d04zgearPillar01a_LOD_2","","","","","","","",""
"d04zgearPillar02a","d04zgearPillar02a_LOD_1","d04zgearPillar02a_LOD_2","","","","","","","",""
"d04zgearPillar03a","d04zgearPillar03a_LOD_1","d04zgearPillar03a_LOD_2","","","","","","","",""
"d04zplant01a","d04zplant01a_LOD_1","d04zplant01a_LOD_2","","","","","","","",""
"d04zplant01g","d04zplant01g_LOD_1","d04zplant01g_LOD_2","","","","","","","",""
"d04zplant01r","d04zplant01r_LOD_1","d04zplant01r_LOD_2","","","","","","","",""
"d04tree01b","d04tree01b_LOD_1","d04tree01b_LOD_2","","","","","","","",""
"d04ztree01b","d04ztree01b_LOD_1","d04ztree01b_LOD_2","","","","","","","",""
"d04ztreeLfar01a","d04ztreeLfar01a_LOD_1","d04ztreeLfar01a_LOD_2","","","","","","","",""
"d04ztreeLfar01b","d04ztreeLfar01b_LOD_1","d04ztreeLfar01b_LOD_2","","","","","","","",""
"d04cliff02a","d04cliff02a_LOD_1","d04cliff02a_LOD_2","","","","","","","",""
"d04cliff02b","d04cliff02b_LOD_1","d04cliff02b_LOD_2","","","","","","","",""
"d04cliff02c","d04cliff02c_LOD_1","d04cliff02c_LOD_2","","","","","","","",""
"d04cliff02d","d04cliff02d_LOD_1","d04cliff02d_LOD_2","","","","","","","",""
"d04cliff03a","d04cliff03a_LOD_1","d04cliff03a_LOD_2","","","","","","","",""
"d04cliff03b","d04cliff03b_LOD_1","d04cliff03b_LOD_2","","","","","","","",""
"d04cliff03c","d04cliff03c_LOD_1","d04cliff03c_LOD_2","","","","","","","",""
"d04cliff03d","d04cliff03d_LOD_1","d04cliff03d_LOD_2","","","","","","","",""
"d04rootLfar01a","d04rootLfar01a_LOD_1","d04rootLfar01a_LOD_2","","","","","","","",""
"d04island01e","d04island01e_LOD_1","d04island01e_LOD_2","","","","","","","",""
"d04zisland01e","d04zisland01e_LOD_1","d04zisland01e_LOD_2","","","","","","","",""
"d04moss02a","d04moss02a_LOD_1","d04moss02a_LOD_2","","","","","","","",""
"d04zmoss02a","d04zmoss02a_LOD_1","d04zmoss02a_LOD_2","","","","","","","",""
"d04moss02b","d04moss02b_LOD_1","d04moss02b_LOD_2","","","","","","","",""
"d04zmoss02b","d04zmoss02b_LOD_1","d04zmoss02b_LOD_2","","","","","","","",""
"d04tree01a","d04tree01a_LOD_1","d04tree01a_LOD_2","","","","","","","",""
"d04ztree01a","d04ztree01a_LOD_1","d04ztree01a_LOD_2","","","","","","","",""
"d0405stairwood01","d0405stairwood01_LOD_1","d0405stairwood01_LOD_2","","","","","","","",""
"d02hut01b1","d02hut01b1_LOD_1","d02hut01b1_LOD_2","","","","","","","",""
"d02hut01b2","d02hut01b2_LOD_1","d02hut01b2_LOD_2","","","","","","","",""
"d02hut01c","d02hut01c_LOD_1","d02hut01c_LOD_2","","","","","","","",""
"d02hut01c1","d02hut01c1_LOD_1","d02hut01c1_LOD_2","","","","","","","",""
"d02hut01c2","d02hut01c2_LOD_1","d02hut01c2_LOD_2","","","","","","","",""
"d02hut01d","d02hut01d_LOD_1","d02hut01d_LOD_2","","","","","","","",""
"d02hut01d1","d02hut01d1_LOD_1","d02hut01d1_LOD_2","","","","","","","",""
"d02hut01d2","d02hut01d2_LOD_1","d02hut01d2_LOD_2","","","","","","","",""
"d02hut01e","d02hut01e_LOD_1","d02hut01e_LOD_2","","","","","","","",""
"d02hut01e1","d02hut01e1_LOD_1","d02hut01e1_LOD_2","","","","","","","",""
"d02hut01e2","d02hut01e2_LOD_1","d02hut01e2_LOD_2","","","","","","","",""
"d02hut01f","d02hut01f_LOD_1","d02hut01f_LOD_2","","","","","","","",""
"d02hut01f1","d02hut01f1_LOD_1","d02hut01f1_LOD_2","","","","","","","",""
"d02hut01f2","d02hut01f2_LOD_1","d02hut01f2_LOD_2","","","","","","","",""
"d02hut01g","d02hut01g_LOD_1","d02hut01g_LOD_2","","","","","","","",""
"d02hut01g1","d02hut01g1_LOD_1","d02hut01g1_LOD_2","","","","","","","",""
"d02hut01g2","d02hut01g2_LOD_1","d02hut01g2_LOD_2","","","","","","","",""
"d02hut01h","d02hut01h_LOD_1","d02hut01h_LOD_2","","","","","","","",""
"d02hut01h1","d02hut01h1_LOD_1","d02hut01h1_LOD_2","","","","","","","",""
"d02hut01h2","d02hut01h2_LOD_1","d02hut01h2_LOD_2","","","","","","","",""
"d02hut01i","d02hut01i_LOD_1","d02hut01i_LOD_2","","","","","","","",""
"d02hut01i1","d02hut01i1_LOD_1","d02hut01i1_LOD_2","","","","","","","",""
"d02hut01i2","d02hut01i2_LOD_1","d02hut01i2_LOD_2","","","","","","","",""
"d02hut01j","d02hut01j_LOD_1","d02hut01j_LOD_2","","","","","","","",""
"d02hut01j1","d02hut01j1_LOD_1","d02hut01j1_LOD_2","","","","","","","",""
"d02hut01j2","d02hut01j2_LOD_1","d02hut01j2_LOD_2","","","","","","","",""
"d02hut01k","d02hut01k_LOD_1","d02hut01k_LOD_2","","","","","","","",""
"d02hut01k1","d02hut01k1_LOD_1","d02hut01k1_LOD_2","","","","","","","",""
"d02hut01k2","d02hut01k2_LOD_1","d02hut01k2_LOD_2","","","","","","","",""
"d03station01","d03station01_LOD_1","d03station01_LOD_2","","","","","","","",""
"d0303dust01","d0303dust01_LOD_1","d0303dust01_LOD_2","","","","","","","",""
"d0303dust02","d0303dust02_LOD_1","d0303dust02_LOD_2","","","","","","","",""
"d03gearset01a","d03gearset01a_LOD_1","d03gearset01a_LOD_2","","","","","","","",""
"d03gearset01b","d03gearset01b_LOD_1","d03gearset01b_LOD_2","","","","","","","",""
"d03gearset01c","d03gearset01c_LOD_1","d03gearset01c_LOD_2","","","","","","","",""
"d03gearset01d","d03gearset01d_LOD_1","d03gearset01d_LOD_2","","","","","","","",""
"d03gearset01f","d03gearset01f_LOD_1","d03gearset01f_LOD_2","","","","","","","",""
"d03shellhouseA01","d03shellhouseA01_LOD_1","d03shellhouseA01_LOD_2","","","","","","","",""
"d03shellhouseB01","d03shellhouseB01_LOD_1","d03shellhouseB01_LOD_2","","","","","","","",""
"d03shellhouseC01","d03shellhouseC01_LOD_1","d03shellhouseC01_LOD_2","","","","","","","",""
"d03shellhouseD01","d03shellhouseD01_LOD_1","d03shellhouseD01_LOD_2","","","","","","","",""
"d03shellhouseB01brk","d03shellhouseB01brk_LOD_1","d03shellhouseB01brk_LOD_2","","","","","","","",""
"d03shellhouseC01brk","d03shellhouseC01brk_LOD_1","d03shellhouseC01brk_LOD_2","","","","","","","",""
"d03shellhouseD01brk","d03shellhouseD01brk_LOD_1","d03shellhouseD01brk_LOD_2","","","","","","","",""
"d03shellhouseB02brk","d03shellhouseB02brk_LOD_1","d03shellhouseB02brk_LOD_2","","","","","","","",""
"d03shellhouseC02brk","d03shellhouseC02brk_LOD_1","d03shellhouseC02brk_LOD_2","","","","","","","",""
"t01mob001fn01","t01mob001fn01_LOD_1","t01mob001fn01_LOD_2","","","","","","","",""
"t01mob003020101fn01","t01mob003020101fn01_LOD_1","t01mob003020101fn01_LOD_2","","","","","","","",""
"t01mob003fn01","t01mob003fn01_LOD_1","t01mob003fn01_LOD_2","","","","","","","",""
"t01mob004fn01","t01mob004fn01_LOD_1","t01mob004fn01_LOD_2","","","","","","","",""
"t01mob007020101fn02","t01mob007020101fn02_LOD_1","t01mob007020101fn02_LOD_2","","","","","","","",""
"t01mob007fn01","t01mob007fn01_LOD_1","t01mob007fn01_LOD_2","","","","","","","",""
"t01mob007fn02","t01mob007fn02_LOD_1","t01mob007fn02_LOD_2","","","","","","","",""
"t01mob008fn01","t01mob008fn01_LOD_1","t01mob008fn01_LOD_2","","","","","","","",""
"t01mob012fn01","t01mob012fn01_LOD_1","t01mob012fn01_LOD_2","","","","","","","",""
"t01mob013fn01","t01mob013fn01_LOD_1","t01mob013fn01_LOD_2","","","","","","","",""
"t01mob014fn01","t01mob014fn01_LOD_1","t01mob014fn01_LOD_2","","","","","","","",""
"t01mob015020101fn01","t01mob015020101fn01_LOD_1","t01mob015020101fn01_LOD_2","","","","","","","",""
"t01mob015fn01","t01mob015fn01_LOD_1","t01mob015fn01_LOD_2","","","","","","","",""
"t01mob015fn02","t01mob015fn02_LOD_1","t01mob015fn02_LOD_2","","","","","","","",""
"t01mob016020101fn08","t01mob016020101fn08_LOD_1","t01mob016020101fn08_LOD_2","","","","","","","",""
"t01mob016fn01","t01mob016fn01_LOD_1","t01mob016fn01_LOD_2","","","","","","","",""
"t01mob017020101fn01","t01mob017020101fn01_LOD_1","t01mob017020101fn01_LOD_2","","","","","","","",""
"t01mob017fn01","t01mob017fn01_LOD_1","t01mob017fn01_LOD_2","","","","","","","",""
"t01mob020fn01","t01mob020fn01_LOD_1","t01mob020fn01_LOD_2","","","","","","","",""
"t01mob021fn01","t01mob021fn01_LOD_1","t01mob021fn01_LOD_2","","","","","","","",""
"t01mob023fn01","t01mob023fn01_LOD_1","t01mob023fn01_LOD_2","","","","","","","",""
"t01mob024fn01","t01mob024fn01_LOD_1","t01mob024fn01_LOD_2","","","","","","","",""
"t01mob024fn02","t01mob024fn02_LOD_1","t01mob024fn02_LOD_2","","","","","","","",""
"t01mob027020101fn01","t01mob027020101fn01_LOD_1","t01mob027020101fn01_LOD_2","","","","","","","",""
"t01mob027fn01","t01mob027fn01_LOD_1","t01mob027fn01_LOD_2","","","","","","","",""
"t01mob028fn01","t01mob028fn01_LOD_1","t01mob028fn01_LOD_2","","","","","","","",""
"t01mob030fn01","t01mob030fn01_LOD_1","t01mob030fn01_LOD_2","","","","","","","",""
"t01mob031fn01","t01mob031fn01_LOD_1","t01mob031fn01_LOD_2","","","","","","","",""
"t01mob032fn01","t01mob032fn01_LOD_1","t01mob032fn01_LOD_2","","","","","","","",""
"t01mob033fn01","t01mob033fn01_LOD_1","t01mob033fn01_LOD_2","","","","","","","",""
"t01mob034020101fn01","t01mob034020101fn01_LOD_1","t01mob034020101fn01_LOD_2","","","","","","","",""
"t01mob034fn01","t01mob034fn01_LOD_1","t01mob034fn01_LOD_2","","","","","","","",""
"t01mob036020101fn01","t01mob036020101fn01_LOD_1","t01mob036020101fn01_LOD_2","","","","","","","",""
"t01mob036fn01","t01mob036fn01_LOD_1","t01mob036fn01_LOD_2","","","","","","","",""
"t01mob037fn02","t01mob037fn02_LOD_1","t01mob037fn02_LOD_2","","","","","","","",""
"t01mob040fn01","t01mob040fn01_LOD_1","t01mob040fn01_LOD_2","","","","","","","",""
"t01mob041020101fn09","t01mob041020101fn09_LOD_1","t01mob041020101fn09_LOD_2","","","","","","","",""
"t01mob041fn01","t01mob041fn01_LOD_1","t01mob041fn01_LOD_2","","","","","","","",""
"t01mob043fn01","t01mob043fn01_LOD_1","t01mob043fn01_LOD_2","","","","","","","",""
"t01mob047020101fn01","t01mob047020101fn01_LOD_1","t01mob047020101fn01_LOD_2","","","","","","","",""
"t01mob054020101fn01","t01mob054020101fn01_LOD_1","t01mob054020101fn01_LOD_2","","","","","","","",""
"t01mob054fn01","t01mob054fn01_LOD_1","t01mob054fn01_LOD_2","","","","","","","",""
"t01mob056fn01","t01mob056fn01_LOD_1","t01mob056fn01_LOD_2","","","","","","","",""
"t01mob056fn08","t01mob056fn08_LOD_1","t01mob056fn08_LOD_2","","","","","","","",""
"t01mob057020101fn02","t01mob057020101fn02_LOD_1","t01mob057020101fn02_LOD_2","","","","","","","",""
"t01mob061fn01","t01mob061fn01_LOD_1","t01mob061fn01_LOD_2","","","","","","","",""
"t01mob063020101fn01","t01mob063020101fn01_LOD_1","t01mob063020101fn01_LOD_2","","","","","","","",""
"t01mob063fn01","t01mob063fn01_LOD_1","t01mob063fn01_LOD_2","","","","","","","",""
"t01mob067020101fn02","t01mob067020101fn02_LOD_1","t01mob067020101fn02_LOD_2","","","","","","","",""
"t01mob067fn02","t01mob067fn02_LOD_1","t01mob067fn02_LOD_2","","","","","","","",""
"t01mob071020101fn01","t01mob071020101fn01_LOD_1","t01mob071020101fn01_LOD_2","","","","","","","",""
"t01mob071fn01","t01mob071fn01_LOD_1","t01mob071fn01_LOD_2","","","","","","","",""
"t01mob074020101fn01","t01mob074020101fn01_LOD_1","t01mob074020101fn01_LOD_2","","","","","","","",""
"t01mob074fn01","t01mob074fn01_LOD_1","t01mob074fn01_LOD_2","","","","","","","",""
"t01mob075020101fn01","t01mob075020101fn01_LOD_1","t01mob075020101fn01_LOD_2","","","","","","","",""
"t01mob075fn01","t01mob075fn01_LOD_1","t01mob075fn01_LOD_2","","","","","","","",""
"t01mob076fn02","t01mob076fn02_LOD_1","t01mob076fn02_LOD_2","","","","","","","",""
"t01mob081020101fn01","t01mob081020101fn01_LOD_1","t01mob081020101fn01_LOD_2","","","","","","","",""
"t01mob081fn01","t01mob081fn01_LOD_1","t01mob081fn01_LOD_2","","","","","","","",""
