int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11
0,0,0,0,-1,-1,"t0301","t0302","t0303","t0304","t03","last"
1000,0,100,0,1930,1935,"col_t0302_start_02_0","col_t0303_start_01_0","map_0001","evt_0004","t0100","last"
1001,0,100,1,-1,-1,"gim_0002","map_0002","col_t0302_start_01_0","evt_0004","t0100","last"
2000,0,200,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","t0200","last"
3010,0,301,0,-1,-1,"","col_t0301_start_02_0","col_t0302_start_01_0","evt_0004","","last"
3020,0,302,0,-1,-1,"col_t0302_start_02_0","","col_t0302_start_01_0","evt_0004","","last"
3030,0,303,0,-1,-1,"col_t0302_start_02_0","col_t0303_start_01_0","","evt_0003","","last"
3040,0,304,0,-1,-1,"","","","","","last"
4000,0,400,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","t0400","last"
101000,10000,100,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0100","last"
102000,10000,200,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0200","last"
103000,10000,300,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0300","last"
104000,10000,400,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0400","last"
105000,10000,500,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0500","last"
106000,10000,600,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0600","last"
107000,10000,700,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0700","last"
108000,10000,800,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0800","last"
109000,10000,900,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","map_0001","evt_0004","d0900","last"
110000,10000,1000,0,-1,-1,"","","","evt_0004","d1000","last"
111000,10000,1100,0,1640,1700,"","map_0002","map_0001","evt_0004","t0400","last"
111001,10000,1100,1,-1,-1,"","t0303","map_0002","evt_0004","t0303","last"
112000,10000,1200,0,-1,-1,"gim_0001
gim_0002
map_0001","map_0002","gim_9000","evt_0004","d1200","last"
