int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14,string2 15,string2 16,string2 17,string2 18,string2 19,string2 20,string2 21,string2 22,string2 23
0,0,0,0,-1,-1,"d0201","d0202","d0203","d0204","d0205","d0206","d0207","d0208","d0209","d0210","d0211","d0212","d0213","d0215","d0216","d0217","d02","last"
102010,10000,201,0,4495,6903,"","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102011,10000,201,1,-1,-1,"","col_d0201_start_05_0","change_0001","change_0001","col_d0202_start_06_0","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102020,10000,202,0,4466,4469,"col_d0202_start_05_0","","change_0001","change_0001","col_d0202_start_06_0","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102021,10000,202,1,4495,6903,"col_d0202_start_00_0","","change_0001","change_0001","col_d0202_start_06_0","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102022,10000,202,2,-1,-1,"col_d0202_start_00_0","","change_0001","change_0001","col_d0202_start_06_0","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102030,10000,203,0,4495,6903,"change_0004","col_d0201_start_05_0","","change_0001","change_0001","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102031,10000,203,1,-1,-1,"change_0004","col_d0201_start_05_0","","change_0001","change_0001","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102040,10000,204,0,2315,2317,"col_d0202_start_05_0","change_0001","change_0001","","change_0001","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102041,10000,204,1,2317,2320,"col_d0202_start_00_0
col_d0202_start_05_0","change_0001","change_0001","","change_0001","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102042,10000,204,2,4495,6903,"col_d0202_start_00_0","change_0001","change_0001","","change_0001","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102043,10000,204,3,-1,-1,"col_d0202_start_00_0","change_0001","change_0001","","change_0001","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","elv_0001","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
102050,10000,205,0,4495,6903,"col_d0205_start_02_0","ride_pegasmon","change_0001","change_0001","","elv_0001","elv_0001","col_d0207_start_01_0","elv_0001","access_brinp_01","change_0001","change_0001","change_0001","change_0001","instance_ladder8m02a_0","change_0001","","last"
