int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10
0,0,0,0,-1,-1,"d1001","d1002","d1003","d10","last"
1000,0,100,0,-1,-1,"","","col_t0107_start_01_0","d1003","last"
2000,0,200,0,-1,-1,"","","col_t0107_start_01_0","d1003","last"
4000,0,400,0,-1,-1,"","","col_t0107_start_01_0","d1003","last"
110010,10000,1001,0,-1,-1,"","col_d1001_start_01_0","col_d1001_start_00_0","","last"
110020,10000,1002,0,-1,-1,"col_d1002_start_00_0","","col_d1001_start_00_0","","last"
110030,10000,1003,0,-1,-1,"col_d1003_start_01_0","col_d1001_start_01_0","","","last"
111000,10000,1100,0,-1,-1,"shutter_access","","","d1001","last"
114000,10000,1400,0,-1,-1,"","col_d1401_start_00_0","","d1002","last"
114010,10000,1401,0,-1,-1,"","col_d1401_start_00_0","","","last"
203000,20000,300,0,-1,-1,"change_0001","","","d1001","last"
