int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11
0,0,0,0,-1,-1,"d1101","d1102","d1103","d1104","d11","last"
1000,0,100,0,3254,3267,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","col_t0105_start_02_0","","d1103","last"
1001,0,100,1,6626,-1,"","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1102","last"
1002,0,100,2,-1,-1,"instance_ladder10m02a_0","","","","d1101","last"
2000,0,200,0,6626,-1,"","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1102","last"
2001,0,200,1,-1,-1,"instance_ladder10m02a_0","","","","d1101","last"
3000,0,300,0,1715,1740,"instance_ladder10m02a_0","instance_ladder10m02a_0","","","d1101","last"
3001,0,300,1,1780,1782,"","col_t0303_start_02_0","","","d1102","last"
3002,0,300,2,3270,3278,"","col_t0303_start_02_0","","","d1102","last"
3003,0,300,3,6626,-1,"","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1102","last"
3004,0,300,4,-1,-1,"instance_ladder10m02a_0","","","","d1101","last"
4000,0,400,0,6626,-1,"","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1102","last"
4001,0,400,1,-1,-1,"instance_ladder10m02a_0","","col_d1101_start_01_0","","d1101","last"
30000,0,3000,0,6626,-1,"","theater_0001","theater_0001","theater_0001","t3000","last"
30001,0,3000,1,-1,-1,"instance_ladder10m02a_0","theater_0001","theater_0001","theater_0001","t3000","last"
101000,10000,100,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1101","last"
102000,10000,200,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1101","last"
103000,10000,300,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1101","last"
104000,10000,400,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1101","last"
105000,10000,500,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1101","last"
106000,10000,600,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1101","last"
107000,10000,700,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","","","d1101","last"
110000,10000,1000,0,3266,3275,"","col_d1103_start_02_0","col_t0105_start_02_0","","d1103","last"
110001,10000,1000,1,-1,-1,"","col_d1103_start_02_0","col_d1102_start_02_0","","d1103","last"
111010,10000,1101,0,1715,1740,"","instance_ladder10m02a_0","col_d1101_start_01_0","","","last"
111011,10000,1101,1,-1,-1,"","col_d1103_start_02_0","col_d1101_start_01_0","col_d1103_start_03_0","","last"
111020,10000,1102,0,3270,3277,"col_d1103_start_01_0","","col_d1102_start_02_0","col_d1103_start_03_0","","last"
111021,10000,1102,1,1990,-1,"instance_ladder10m02a_0","","col_d1102_start_02_0","col_d1103_start_03_0","","last"
111022,10000,1102,2,-1,-1,"col_d1103_start_01_0","","col_d1102_start_02_0","col_d1103_start_03_0","","last"
111030,10000,1103,0,-1,-1,"col_d1103_start_01_0","col_d1103_start_02_0","","col_d1103_start_03_0","","last"
111040,10000,1104,0,-1,-1,"col_d1103_start_01_0","col_d1103_start_02_0","col_d1104_start_00_0","","","last"
112000,10000,1200,0,-1,-1,"","","","","d1102","last"
113000,10000,1300,0,-1,-1,"instance_ladder10m02a_0","instance_ladder10m02a_0
col_t0303_start_02_0","col_d1101_start_01_0","col_d1103_start_03_0","d1101","last"
202000,20000,200,0,-1,-1,"","change_0001","","","d1102","last"
