int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13
0,0,0,0,-1,-1,"d1201","d1202","d1203","d1204","d1205","d1206","d12","last"
1000,0,100,0,-1,-1,"","col_d1204_start_00_0","","npc_0024","col_d1204_start_01_0","","d1204","last"
2000,0,200,0,-1,-1,"","col_d1204_start_00_0","","npc_0024","col_d1204_start_00_0","","d1204","last"
3000,0,300,0,-1,-1,"col_d1102_start_04_0","col_d1204_start_00_0","","","","","d1201","last"
4000,0,400,0,-1,-1,"","col_d1204_start_00_0","","npc_0024","col_d1204_start_01_0","","d1204","last"
101000,10000,100,0,-1,-1,"","","","change_0001","col_d1204_start_01_0","","d1204","last"
102000,10000,200,0,-1,-1,"","","","change_0001","","","d1204","last"
104000,10000,400,0,-1,-1,"","","","change_0001","","","d1204","last"
105000,10000,500,0,-1,-1,"","","","change_0001","","","d1204","last"
106000,10000,600,0,-1,-1,"","","","change_0001","","","d1204","last"
107000,10000,700,0,-1,-1,"","","","change_0001","","","d1204","last"
111000,10000,1100,0,-1,-1,"col_d1103_start_04_0","","","","","","d1201","last"
112010,10000,1201,0,-1,-1,"","col_d1201_start_01_0","","col_d1202_start_01_0","col_d1204_start_01_0","","","last"
112020,10000,1202,0,-1,-1,"col_d1202_start_00_0","","","col_d1202_start_01_0","col_d1204_start_01_0","","","last"
112030,10000,1203,0,-1,-1,"","","","","","","","last"
112040,10000,1204,0,-1,-1,"col_d1202_start_00_0","col_d1204_start_00_0","","","col_d1204_start_01_0","door","d1202","last"
112050,10000,1205,0,-1,-1,"col_d1202_start_00_0","col_d1204_start_00_0","","col_d1205_start_00_0","","","","last"
112060,10000,1206,0,-1,-1,"","col_d1204_start_00_0","","door","col_d1204_start_01_0","","d1204","last"
113000,10000,1300,0,4330,4370,"col_d1305_start_00_0","","","npc_0025","","","d1204","last"
113001,10000,1300,1,-1,-1,"col_d1305_start_00_0","","","","","","d1201","last"
