int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12
0,0,0,0,-1,-1,"d1301","d1302","d1303","d1304","d1305","d13","last"
2000,0,200,0,-1,-1,"col_d1302_start_00_1","elv_access","door_access","change_0002","","d1302","last"
110000,10000,1000,0,20330,20340,"col_d1302_start_00_1","elv_access","door_access","change_0002","","d1302","last"
110001,10000,1000,1,-1,-1,"col_d1302_start_00_1","elv_access","door_access","","","","last"
112000,10000,1200,0,-1,-1,"","","","duct_0002","","d1304","last"
113010,10000,1301,0,-1,-1,"","col_d1301_start_01_0","door_access","change_0002","change_0001","","last"
113020,10000,1302,0,-1,-1,"gim_0009","","door_access","change_0002","change_0001","","last"
113030,10000,1303,0,-1,-1,"gim_0009","door_access_02","","change_0002","change_0001","","last"
113040,10000,1304,0,-1,-1,"gim_0009","col_d1301_start_01_0","door_access","","change_0001","","last"
113050,10000,1305,0,-1,-1,"gim_0009","col_d1301_start_01_0","door_access","change_0001","","","last"
