int 0,int 1,int 2,int 3,int 4,int 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12,string2 13,string2 14
0,0,0,0,-1,-1,"d1401","d1402","d1403","d1404","d1405","d1406","d1407","d14","last"
110000,10000,1000,0,-1,-1,"col_d1002_start_01_0","","","","","","","d1401","last"
114010,10000,1401,0,-1,-1,"","col_d1401_start_01_0","gim_0002","change_0001","col_d1404_start_01_0","col_d1405_start_02_0","col_d1406_start_01_0","","last"
114020,10000,1402,0,-1,-1,"col_d1402_start_00_0","","gim_0002","change_0001","col_d1404_start_01_0","col_d1405_start_02_0","col_d1406_start_01_0","","last"
114030,10000,1403,0,1275,1400,"gim_0001","gim_0002","","col_d1403_start_01_0","col_d1404_start_01_0","col_d1405_start_02_0","col_d1406_start_01_0","","last"
114031,10000,1403,1,-1,-1,"gim_0001","gim_0002","","col_d1403_start_01_0","col_d1404_start_01_0","col_d1405_start_02_0","col_d1406_start_01_0","","last"
114040,10000,1404,0,-1,-1,"change_0001","gim_0002","col_d1404_start_00_0","","col_d1404_start_01_0","col_d1405_start_02_0","col_d1406_start_01_0","","last"
114050,10000,1405,0,-1,-1,"change_0001","gim_0002","ride_fall_0001","col_d1405_start_01_2","","col_d1405_start_02_0","col_d1406_start_01_0","","last"
114060,10000,1406,0,-1,-1,"change_0001","gim_0002","ride_fall_0001","col_d1405_start_01_2","col_d1406_start_00_0","","col_d1406_start_01_0","","last"
114070,10000,1407,0,-1,-1,"change_0001","gim_0002","ride_fall_0001","col_d1405_start_01_2","col_d1406_start_00_0","col_d1407_start_00_0","","","last"
