string3 0,string3 1,int32 2,string3 3,string3 4,string3 5,string3 6,empty 7
"*MalePlayer_0","*MalePlayer",0,"pc001aa010101","pc001ca010101","","pc001ca010101",
"*MalePlayer_1","*MalePlayer",1,"pc001ea010101","pc001fa010101","","pc001fa010101",
"*MalePlayer_2","*MalePlayer",2,"pc001ea020101","pc001fa020101","","pc001fa020101",
"*MalePlayer_3","*MalePlayer",3,"pc001ea030101","pc001fa030101","","pc001fa030101",
"*MalePlayer_5","*MalePlayer",5,"pc001ia010101","pc001ja010101","","pc001ja010101",
"*MalePlayer_6","*MalePlayer",6,"pc001ea040101","pc001fa040101","","pc001fa040101",
"*MalePlayer_7","*MalePlayer",7,"pc001ea050101","pc001fa050101","","pc001fa050101",
"*MalePlayer_8","*MalePlayer",8,"pc001ea060101","pc001fa060101","","pc001fa060101",
"*MalePlayer_9","*MalePlayer",9,"pc001ea070101","pc001fa070101","","pc001fa070101",
"*MalePlayer_10","*MalePlayer",10,"pc001ea080101","pc001fa080101","","pc001fa080101",
"*MalePlayer_11","*MalePlayer",11,"pc001ea090101","pc001fa090101","","pc001fa090101",
"*MalePlayer_12","*MalePlayer",12,"pc001ea100101","pc001fa100101","","pc001fa100101",
"*MalePlayer_13","*MalePlayer",13,"pc001ea110101","pc001fa110101","","pc001fa110101",
"*MalePlayer_14","*MalePlayer",14,"pc001ea120101","pc001fa120101","","pc001fa120101",
"*MalePlayer_15","*MalePlayer",15,"pc001ea130101","pc001fa130101","","pc001fa130101",
"*MalePlayer_16","*MalePlayer",16,"pc001ea140101","pc001fa140101","","pc001fa140101",
"*MalePlayer_17","*MalePlayer",17,"pc001ea150101","pc001fa150101","","pc001fa150101",
"*MalePlayer_18","*MalePlayer",18,"pc001ea160101","pc001fa160101","","pc001fa160101",
"*MalePlayer_19","*MalePlayer",19,"pc001ea170101","pc001fa170101","","pc001fa170101",
"*MalePlayer_20","*MalePlayer",20,"pc001ea180101","pc001fa180101","","pc001fa180101",
"*MalePlayer_21","*MalePlayer",21,"pc001ea190101","pc001fa190101","","pc001fa190101",
"*MalePlayer_22","*MalePlayer",22,"pc001ea200101","pc001fa200101","","pc001fa200101",
"*MalePlayer_24","*MalePlayer",24,"pc001na010101","pc001oa010101","","pc001oa010101",
"*MalePlayer_25","*MalePlayer",25,"pc001qa010101","pc001ra010101","","pc001ra010101",
"*MalePlayer_26","*MalePlayer",26,"pc001ta010101","pc001ua010101","","pc001ua010101",
"*MalePlayer_27","*MalePlayer",27,"pc001ea210101","pc001fa210101","","pc001fa210101",
"*MalePlayer_28","*MalePlayer",28,"pc001ea220101","pc001fa220101","","pc001fa220101",
"*MalePlayer_29","*MalePlayer",29,"pc001ea230101","pc001fa230101","","pc001fa230101",
"*MalePlayer_30","*MalePlayer",30,"pc001ea240101","pc001fa240101","","pc001fa240101",
"*MalePlayer_31","*MalePlayer",31,"pc001ea250101","pc001fa250101","","pc001fa250101",
"*MalePlayer_32","*MalePlayer",32,"pc001ea260101","pc001fa260101","","pc001fa260101",
"*MalePlayer_33","*MalePlayer",33,"pc001ea270101","pc001fa270101","","pc001fa270101",
"*FemalePlayer_0","*FemalePlayer",0,"pc002aa010101","pc002ca010101","","pc002ca010101",
"*FemalePlayer_1","*FemalePlayer",1,"pc002ea010101","pc002fa010101","","pc002fa010101",
"*FemalePlayer_2","*FemalePlayer",2,"pc002ea020101","pc002fa020101","","pc002fa020101",
"*FemalePlayer_3","*FemalePlayer",3,"pc002ea030101","pc002fa030101","","pc002fa030101",
"*FemalePlayer_5","*FemalePlayer",5,"pc002ia010101","pc002ja010101","","pc002ja010101",
"*FemalePlayer_6","*FemalePlayer",6,"pc002ea040101","pc002fa040101","","pc002fa040101",
"*FemalePlayer_7","*FemalePlayer",7,"pc002ea050101","pc002fa050101","","pc002fa050101",
"*FemalePlayer_8","*FemalePlayer",8,"pc002ea060101","pc002fa060101","","pc002fa060101",
"*FemalePlayer_9","*FemalePlayer",9,"pc002ea070101","pc002fa070101","","pc002fa070101",
"*FemalePlayer_10","*FemalePlayer",10,"pc002ea080101","pc002fa080101","","pc002fa080101",
"*FemalePlayer_11","*FemalePlayer",11,"pc002ea090101","pc002fa090101","","pc002fa090101",
"*FemalePlayer_12","*FemalePlayer",12,"pc002ea100101","pc002fa100101","","pc002fa100101",
"*FemalePlayer_13","*FemalePlayer",13,"pc002ea110101","pc002fa110101","","pc002fa110101",
"*FemalePlayer_14","*FemalePlayer",14,"pc002ea120101","pc002fa120101","","pc002fa120101",
"*FemalePlayer_15","*FemalePlayer",15,"pc002ea130101","pc002fa130101","","pc002fa130101",
"*FemalePlayer_16","*FemalePlayer",16,"pc002ea140101","pc002fa140101","","pc002fa140101",
"*FemalePlayer_17","*FemalePlayer",17,"pc002ea150101","pc002fa150101","","pc002fa150101",
"*FemalePlayer_18","*FemalePlayer",18,"pc002ea160101","pc002fa160101","","pc002fa160101",
"*FemalePlayer_19","*FemalePlayer",19,"pc002ea170101","pc002fa170101","","pc002fa170101",
"*FemalePlayer_20","*FemalePlayer",20,"pc002ea180101","pc002fa180101","","pc002fa180101",
"*FemalePlayer_21","*FemalePlayer",21,"pc002ea190101","pc002fa190101","","pc002fa190101",
"*FemalePlayer_22","*FemalePlayer",22,"pc002ea200101","pc002fa200101","","pc002fa200101",
"*FemalePlayer_24","*FemalePlayer",24,"pc002na010101","pc002oa010101","","pc002oa010101",
"*FemalePlayer_25","*FemalePlayer",25,"pc002qa010101","pc002ra010101","","pc002ra010101",
"*FemalePlayer_26","*FemalePlayer",26,"pc002ta010101","pc002ua010101","","pc002ua010101",
"*FemalePlayer_27","*FemalePlayer",27,"pc002ea210101","pc002fa210101","","pc002fa210101",
"*FemalePlayer_28","*FemalePlayer",28,"pc002ea220101","pc002fa220101","","pc002fa220101",
"*FemalePlayer_29","*FemalePlayer",29,"pc002ea230101","pc002fa230101","","pc002fa230101",
"*FemalePlayer_30","*FemalePlayer",30,"pc002ea240101","pc002fa240101","","pc002fa240101",
"*FemalePlayer_31","*FemalePlayer",31,"pc002ea250101","pc002fa250101","","pc002fa250101",
"*FemalePlayer_32","*FemalePlayer",32,"pc002ea260101","pc002fa260101","","pc002fa260101",
"*FemalePlayer_33","*FemalePlayer",33,"pc002ea270101","pc002fa270101","","pc002fa270101",
"*Heroine_0","*Heroine",0,"npc001aa010101","npc001ca010101","","npc001ca010101",
"*Heroine_24","*Heroine",24,"npc001na010101","npc001oa010101","","npc001oa010101",
"*Heroine_25","*Heroine",25,"npc001qa010101","npc001ra010101","","npc001ra010101",
"*Heroine_26","*Heroine",26,"npc001ta010101","npc001ua010101","","npc001ua010101",
"*FatherOfTheHeroine_0","*FatherOfTheHeroine",0,"npc002aa010101","npc002ca010101","","npc002ca010101",
"*FatherOfTheHeroineFuture_0","*FatherOfTheHeroineFuture",0,"npc052aa010101","npc052ca010101","","npc052ca010101",
"*Hiroko_0","*Hiroko",0,"npc003aa010101","npc003ca010101","","npc003ca010101",
