int32 0,empty 1,string3 2,float 3,float 4,float 5,float 6,float 7,int32 8,int32 9,float 10,int32 11,int32 12,float 13,bool 14
101,,"ef_dis_0200c",0.8,0.1,0.9,0.3,0.3,1,1,1,20,0,0,false
102,,"ef_dis_0200c",0.8,0.1,0.3,0.9,1,1,1,1,20,0,0,false
103,,"ef_dis_0200c",0.8,0.1,0.3,0.9,1,0,1,1,20,0,0,false
104,,"ef_dis_0200c",0.8,0.1,0.3,0.9,0.3,1,1,1,20,0,0,false
105,,"ef_dis_0200c",0.8,0.1,0.9,0.3,0.3,0,0,1,64,4,0,false
106,,"ef_dis_0600c",0.3,0.1,0.3,0.5,1,0,0,1,40,0,0,false
107,,"ef_dis_0600c",0.3,0.1,0.3,0.5,1,0,1,1,40,0,0,false
108,,"ef_dis_0600c",0.3,0.1,0.3,0.5,1,1,1,1,40,0,0,false
109,,"ef_dis_0600c",0.3,0.1,0.3,0.5,1,1,0,1,40,0,0,false
110,,"ef_dis_c",0.15,0.4,3,2.8,2.5,0,0,1,20,0,0,false
111,,"ef_dis_0600c",0.3,0.7,3,3,3,0,1,1,20,0,0,false
201,,"ef_dis_0200c",0.8,0.1,0.9,0.3,0.3,1,1,1,20,0,0,false
202,,"ef_dis_0200c",0.8,0.1,0.3,0.9,1,0,1,1,20,0,0,false
203,,"ef_dis_0200c",0.8,0.1,0.3,0.9,1,0,1,1,8,0,0,false
204,,"ef_dis_0200c",0.8,0.1,0.3,0.9,1,1,1,1,20,0,0,false
301,,"ef_dis_c",0.15,0.4,3,2.8,2.5,0,0,1,90,0,0.2,false
302,,"ef_dis_0600c",0.3,0.7,3,3,3,0,1,1,70,0,0.5,false
303,,"ef_dis_0600c",0.3,0.7,1,1,1,0,1,1,50,0,8.5,false
401,,"ef_dis_0600c",0.02,0.7,0.3,0.9,1,1,0,0.33,15,0,0,true
402,,"ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,0,0.33,15,0,0,false
403,,"ef_dis_0600c",0.02,0.7,0.3,0.9,1,1,0,0.38,15,0,0,true
404,,"ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,0,0.38,15,0,0,false
501,,"ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,1,1,15,0,0,true
502,,"ef_dis_0600c",0.02,0.7,0.3,0.9,1,0,1,1,45,0,0,true
503,,"ef_dis_0600c",0.02,0.7,0.3,0.9,1,1,1,1,10,0,0,true
601,,"ef_dis_c",0.15,0.4,3,2.8,2.5,1,1,1,150,0,0,false
602,,"ef_dis_0200c",0.8,0.5,0.6,0,0,1,1,1,200,0,0,true
603,,"ef_dis_0200c",0.8,0.5,0.6,0,0,1,1,0.4,100,0,0,true
604,,"ef_dis_0200c",0.8,0.5,0.6,0,0,1,0,1,145,0,0,true
605,,"ef_dis_0200c",0.3,0.5,0.15,1,0,0,1,1,60,0,0,false
606,,"ef_dis_0200c",0.001,0.1,0.3,0.9,1,0,1,1,50,0,0,true
607,,"ef_dis_0200c",0.01,0.1,0.3,0.9,1,1,1,1,50,0,0,true
