string2 0,float 1,float 2
"chr001",-0.004,-0.004
"chr002",-0.001,-0.001
"chr005",-0.005,-0.005
"chr012",-0.003,-0.003
"chr013",-0.004,-0.004
"chr014",-0.003,-0.003
"chr015",-0.003,-0.003
"chr016",-0.003,-0.003
"chr017",-0.003,-0.003
"chr019",-0.003,-0.003
"chr020",-0.001,-0.001
"chr021",-0.007,-0.007
"chr023",-0.005,-0.005
"chr024",-0.0012,-0.0012
"chr025",-0.004,-0.004
"chr027",-0.003,-0.005
"chr028",-0.0015,-0.002
"chr031",-0.003,-0.002
"chr033",-0.004,-0.004
"chr034",-0.001,-0.001
"chr035",-0.003,-0.003
"chr036",-0.004,-0.003
"chr037",-0.003,-0.003
"chr038",-0.0035,-0.0035
"chr039",-0.0015,-0.002
"chr040",-0.005,-0.005
"chr041",-0.003,-0.003
"chr042",-0.0017,-0.0017
"chr046",-0.003,-0.005
"chr049",-0.002,-0.003
"chr050",-0.0015,-0.0015
"chr051",-0.0025,-0.0025
"chr052",-0.0015,-0.0015
"chr053",-0.0007,-0.0007
"chr054",-0.003,-0.003
"chr061",-0.004,-0.004
"chr068",-0.005,-0.004
"chr069",-0.004,-0.004
"chr070",-0.004,-0.003
"chr071",-0.006,-0.004
"chr074",-0.004,-0.004
"chr078",-0.0035,-0.0035
"chr079",-0.004,-0.004
"chr080",-0.003,-0.002
"chr082",-0.003,-0.003
"chr083",-0.003,-0.003
"chr084",-0.005,-0.005
"chr086",-0.003,-0.003
"chr087",-0.001,-0.002
"chr091",-0.002,-0.005
"chr094",-0.004,-0.004
"chr095",-0.005,-0.005
"chr097",-0.004,-0.003
"chr098",-0.006,-0.006
"chr100",-0.002,-0.003
"chr101",-0.001,-0.002
"chr104",-0.0025,-0.004
"chr105",-0.002,-0.004
"chr106",-0.004,-0.004
"chr113",-0.004,-0.004
"chr115",-0.002,-0.004
"chr117",-0.004,-0.004
"chr126",-0.003,-0.006
"chr127",-0.0015,-0.002
"chr128",-0.003,-0.003
"chr129",-0.004,-0.004
"chr132",-0.005,-0.005
"chr133",-0.005,-0.005
"chr134",-0.008,-0.005
"chr135",-0.003,-0.003
"chr136",-0.001,-0.001
"chr139",-0.003,-0.003
"chr140",-0.004,-0.004
"chr141",-0.005,-0.005
"chr142",-0.003,-0.004
