string2 0,empty 1,string2 2,string2 3,string2 4,float 5,empty 6,empty 7,float 8,float 9,float 10,float 11,float 12,float 13,float 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,float 25,float 26,string2 27,string2 28,string2 29,string2 30,string2 31,string2 32,float 33,float 34,float 35,float 36,int 37,float 38,float 39,int 40,float 41,float 42,float 43,float 44,float 45,float 46,float 47,empty 48,empty 49,empty 50,float 51,string2 52,float 53,float 54,float 55,float 56,float 57,float 58,float 59,float 60,float 61,float 62,float 63,int 64,int 65,int 66,byte 67,byte 68,byte 69,byte 70,int 71,empty 72,int 73,int 74,byte 75,byte 76,byte 77,byte 78,string2 79,int 80,int 81
"chr045","","","","",1,"","",0.3,1.8,1.25,2.55,1.25,2.55,0.3,1.8,1.25,2.55,1.075,2.193,1.25,2.55,1.5,2.55,1.5,3,5,"fe02","","","","","",7.3,3.824,-1,0.32,1,1.8,0,180,2.8,4.3,5,0,0.5,0.5,0.55,"","","",0.25,"CP01",0,0.2,0,0.5,3.6,1,1,1,1,1,1,11,18,310010,0,-1,-1,-1,0,"",0,1,1,0,2,0,"CP01",0,0
"chr001","","","","",1,"","",0.3,1.8,1,3,1,3,0.3,1.8,1,3,0.9,2.7,1,3,1.2,3,1.5,3,5,"fe02","","","","","",7.3,1.504,-1,0.52,1,1.9,0,180,1,1.3,2.1,0,0.5,0.5,0.53,"","","",0.38,"CP01",0,0.2,0,1,1.6,0.9,0.9,1,1,1,1,17,18,310001,8,-1,-1,-1,2,"",0,1,1,0,0,2,"CP01",0,0
"chr002","","","","",1,"","",0.3,1.8,0.44,1.32,0.44,1.32,0.3,1.8,0.44,1.32,0.44,1.32,0.44,1.32,0.528,1.32,1.5,3,5,"fe02","","","","","",8.1,1.136,-1,0.56,1,1.2,0,180,1.2,1.4,2.2,0,0.5,0.5,0.25,"","","",0.25,"CP01",0,0.2,0,0.44,2,1,1,1,1,1,1,28,18,310008,20,-1,-1,-1,0,"",0,1,0,1,2,0,"CP01",1,0
"chr003","","","","",1,"","",0.3,1.8,0.9,2.8,0.9,2.8,0.3,1.8,0.9,2.8,0.9,2.8,0.9,2.8,1.08,2.8,1.5,3,5,"fe02","","","","","",7.3,1.504,-1,0.52,1,1.5,0,180,0.7,0.9,2.1,0,0.5,0.5,0.48,"","","",0.3,"CP01",0,0.2,0,1,1.8,0.9,0.9,1,1,1,1,19,18,310010,10,-1,-1,-1,0,"",0,1,0,1,2,0,"CP01",0,0
"chr004","","","","",1,"","",0.3,1.8,1.17,3.24,1.17,3,0.3,1.8,1.17,3,0.8424,2.3328,1.17,3.24,1.404,3,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,2.2,0,180,1.3,1.3,3.2,0,0.5,0.5,0.72,"","","",0.396,"CP01",0,0.2,0,0.9,1.6,0.72,0.72,1,1,1,1,17,18,310006,0,-1,-1,-1,0,"",0,1,0,1,2,0,"CP01",0,0
"chr005","","","","",1,"","",0.3,1.8,1.995,4.095,1.995,3,0.8,1.8,1.995,3,1.3566,2.7846,1.995,4.095,2.394,3,1.5,3,5,"fe02","","","","","",7.3,2.8,-1,0.4,1,2.9,0.2,180,1.6,2.2,3.2,0,0.5,0.5,0.84,"","","",0.609,"CP01",0,0.2,0,1.05,1.8,0.75,0.75,1,1,1,1,17,18,310014,0,-1,-1,-1,2,"",0,1,0,2,1,0,"CP01",0,0
"chr006","","","","",1,"","",0.3,1.8,1.43,4.29,1.43,3,0.3,1.8,1.43,3,0.858,2.574,1.43,4.29,1.716,3,1.5,3,5,"fe02","","","","","",7.3,2.8,-1,0.4,1,3.2,1.2,180,1.1,1.5,3,0,0.5,0.5,0.94,"","","",0.9152,"CP01",0,0.2,0,1.43,1.6,0.65,0.65,1,1,1,1,24,18,310011,15,-1,-1,-1,0,"",0,1,1,2,1,0,"CP01",0,0
"chr009","","","","",1,"","",0.3,1.8,0.456,1.292,0.456,1.292,0.3,1.8,0.456,1.292,0.456,1.292,0.456,1.292,0.5472,1.292,1.5,3,5,"fe02","","","","","",8.1,1.136,-1,0.56,0,1.2,0,180,1.3,1.6,2.2,0.5,0.5,0.5,0.21,"","","",0.25,"CP01",0,0.2,0,0.38,2,1,1,1,1,1,1,17,18,310009,8,-1,-1,-1,0,"",0,1,0,2,1,1,"CP01",0,0
"chr010","","","","",1,"","",0.3,1.8,0.54,1.98,0.54,1.98,0.3,1.8,0.54,1.98,0.54,1.98,0.54,1.98,0.648,1.98,1.5,3,5,"fe02","","","","","",7.3,1.904,-1,0.48,1,1.5,0,180,0.5,1.1,2.3,0,0.5,0.5,0.42,"","","",0.27,"CP01",0,0.2,0,0.9,1.8,0.95,0.95,1,1,1,1,20,18,310010,15,-1,-1,-1,0,"",0,1,1,0,0,2,"CP01",0,0
"chr011","","","","",1,"","",0.3,1.8,1.005,4.02,1.005,3,0.3,1.8,1.005,3,0.6432,2.5728,1.005,4.02,1.206,3,1.5,3,5,"fe02","","","","","",5.7,2.8,-1,0.4,1,2.3,1,180,2.7,3.2,6.2,0,0.5,0.5,0.91,"","","",0.3082,"CP01",0,0.2,0,0.67,1.6,0.6,0.6,1,1,1,1,19,18,310018,0,-1,-1,-1,0,"",0,1,1,0,2,2,"CP01",0,0
