string2 0,string2 1
"additional_action","battle"
"battle_buff","battle"
"battle_calculate","battle"
"battle_camera","battle"
"battle_direction_setting","battle"
"battle_effect","battle"
"battle_enemy","battle"
"battle_field_level","battle"
"battle_formation","battle"
"battle_map","battle"
"battle_motion","battle"
"battle_player_ai","battle"
"battle_skill","battle"
"battle_voice","battle"
"cross_arts","battle"
"digimon_growth","battle"
"digimon_status","battle"
"evolution","battle"
"generation","battle"
"gift_point","battle"
"guest_aegiomon","battle"
"guest_status","battle"
"healing","battle"
"personality","battle"
"battle_personality_ai","battle"
"personality_skill","battle"
"personality_category","battle"
"tamerrank","battle"
"aim_pattern","designer"
"aim_setup","designer"
"effect_belong_motion","designer"
"fix_front_of_joint","designer"
"anim_setting","designer"
"model_default_effect","designer"
"model_define","designer"
"model_dissolve","designer"
"model_setting","designer"
"model_outline","designer"
"union_model","designer"
"lod","designer"
"lod_chara","designer"
"mobility","designer"
"bone_physics_para","designer"
"phantom_shader_setting","designer"
"digitter",""
"quest_main","event"
"quest_sub","event"
"map_guide_route","event"
"model_attach_para","event"
"talk_auto_disp_time","event"
"event_float_message_para","event"
"speaker_model_link","event"
"prev_load_motion","event"
"time_travel","event"
"evolution_direction","event"
"talking_motion","event"
"char_info","event"
"field_analyze","field"
"field_anime","field"
"field_common","field"
"field_digimon_chat","field"
"field_map","field"
"field_map_define","field"
"field_treasure","field"
"field_item_table","field"
"field_effect_script_collision","field"
"field_expression","field"
"field_object_break_effect","field"
"field_object_flag","field"
"field_hazama_gate_flag","field"
"field_card_game","field"
"field_walk_setting","field"
"flag_list","flag"
"item","item"
"shop","item"
"help_window","ui"
"field_log_para","ui"
"multi_select_window","ui"
"tutorial_window","ui"
"yes_no_window","ui"
"explanation_define","ui"
"tamer_skill","ui"
"ui_define","ui"
"minimap_marker_help","ui"
"key_help_para","ui"
"difficulty","ui"
"bgm_setting","ui"
"common_message_format","ui"
"model_costume_change","system"
"player_model","system"
"system_define","system"
"unique_flag","system"
"system_format","system"
"system_time_travel","system"
"battle_union_model_face","auto"
"model_locator","auto"
"field_npc_d0201","field"
"field_npc_d0202","field"
"field_npc_d0204","field"
"field_npc_d0211","field"
"field_npc_d0212","field"
"field_npc_d0213","field"
"field_npc_d0215","field"
"field_npc_d0217","field"
"field_npc_d0801","field"
"field_npc_d0802","field"
"field_npc_d1001","field"
"field_npc_d1002","field"
"field_npc_d1003","field"
"field_npc_d1102","field"
"field_npc_d1401","field"
"field_npc_d1402","field"
"field_npc_d1403","field"
"field_npc_d1405","field"
"field_npc_d1407","field"
"field_npc_t0101","field"
"field_npc_t0102","field"
"field_npc_t0106","field"
"field_npc_t0107","field"
"field_npc_t0108","field"
"field_npc_t0302","field"
"field_npc_t0303","field"
"field_npc_t3002","field"
"field_npc_t3003","field"
"field_gimmick_t0101","field"
"field_gimmick_t0102","field"
"field_gimmick_t0106","field"
"field_gimmick_t0107","field"
"field_gimmick_t0108","field"
"field_gimmick_t0302","field"
"field_gimmick_t0303","field"
"field_gimmick_t3002","field"
"field_gimmick_t3003","field"
"field_gimmick_d0201","field"
"field_gimmick_d0202","field"
"field_gimmick_d0204","field"
"field_gimmick_d0211","field"
"field_gimmick_d0212","field"
"field_gimmick_d0213","field"
"field_gimmick_d0215","field"
"field_gimmick_d0217","field"
"field_gimmick_d0801","field"
"field_gimmick_d0802","field"
"field_gimmick_d1001","field"
"field_gimmick_d1002","field"
"field_gimmick_d1003","field"
"field_gimmick_d1102","field"
"field_gimmick_d1401","field"
"field_gimmick_d1402","field"
"field_gimmick_d1403","field"
"field_gimmick_d1404","field"
"field_gimmick_d1405","field"
"field_gimmick_d1406","field"
"field_gimmick_d1407","field"
"field_gimmick_e0001","field"
"field_mob_d0201","field"
"field_mob_d0202","field"
"field_mob_d0204","field"
"field_mob_d0212","field"
"field_mob_d0213","field"
"field_mob_d0217","field"
"field_mob_d1001","field"
"field_mob_d1102","field"
"field_mob_d1401","field"
"field_mob_d1406","field"
"field_mob_t0001","field"
"field_mob_t0101","field"
"field_mob_t0102","field"
"field_mob_t0106","field"
"field_mob_t0107","field"
"field_mob_t0108","field"
"field_mob_t0302","field"
"field_battle_d0201","field"
"field_battle_d0217","field"
"field_battle_d1001","field"
"field_battle_d1003","field"
"field_battle_d1004","field"
"field_battle_d1102","field"
"field_battle_d1401","field"
"field_battle_d1402","field"
"field_battle_d1403","field"
"field_battle_d1405","field"
"field_battle_d1406","field"
"field_talk_by_float_message_d0201","field"
"field_talk_by_float_message_d0202","field"
"field_talk_by_float_message_d0204","field"
"field_talk_by_float_message_d0212","field"
"field_talk_by_float_message_d0217","field"
"field_talk_by_float_message_d1001","field"
"field_talk_by_float_message_d1002","field"
"field_talk_by_float_message_d1102","field"
"field_talk_by_float_message_d1403","field"
"field_talk_by_float_message_t0101","field"
"field_talk_by_float_message_t0102","field"
"field_talk_by_float_message_t0107","field"
"field_talk_by_float_message_t0108","field"
"field_talk_by_float_message_t0302","field"
"field_talk_by_float_message_t0303","field"
"field_rumor_d0201","field"
"field_rumor_d0202","field"
"field_rumor_d0217","field"
"field_rumor_d1001","field"
"field_rumor_d1002","field"
"field_rumor_d1102","field"
"field_rumor_d1403","field"
"field_rumor_t0101","field"
"field_rumor_t0102","field"
"field_rumor_t0107","field"
"field_rumor_t0108","field"
"field_rumor_t0302","field"
"field_rumor_t0303","field"
