int 0,empty 1,empty 2,empty 3,empty 4,int 5,empty 6,int 7,empty 8,int 9,empty 10,int 11,empty 12,empty 13
1,"","","","",10,"",-1,"",-1,"",-1,"",""
2,"","","","",5,"",-1,"",-1,"",-1,"",""
3,"","","","",-1,"",-1,"",-1,"",-1,"",""
4,"","","","",-1,"",-1,"",-1,"",-1,"",""
5,"","","","",10,"",-1,"",-1,"",-1,"",""
6,"","","","",2,"",-1,"",-1,"",-1,"",""
7,"","","","",-1,"",-1,"",-1,"",-1,"",""
8,"","","","",-1,"",-1,"",-1,"",-1,"",""
9,"","","","",-1,"",-1,"",-1,"",-1,"",""
10,"","","","",50,"",30,"",10,"",-1,"",""
11,"","","","",-1,"",-1,"",-1,"",-1,"",""
12,"","","","",-1,"",-1,"",-1,"",-1,"",""
13,"","","","",5,"",-1,"",-1,"",-1,"",""
14,"","","","",50,"",5,"",-1,"",-1,"",""
15,"","","","",-1,"",-1,"",-1,"",-1,"",""
16,"","","","",-1,"",-1,"",-1,"",-1,"",""
17,"","","","",0,"",10,"",-1,"",-1,"",""
18,"","","","",0,"",5,"",10011,"",-1,"",""
19,"","","","",-1,"",-1,"",-1,"",-1,"",""
20,"","","","",-1,"",-1,"",-1,"",-1,"",""
21,"","","","",10,"",-1,"",-1,"",-1,"",""
22,"","","","",10,"",-1,"",-1,"",-1,"",""
23,"","","","",-1,"",-1,"",-1,"",-1,"",""
24,"","","","",-1,"",-1,"",-1,"",-1,"",""
25,"","","","",-1,"",-1,"",-1,"",-1,"",""
26,"","","","",2,"",-1,"",-1,"",-1,"",""
27,"","","","",-1,"",-1,"",-1,"",-1,"",""
28,"","","","",-1,"",-1,"",-1,"",-1,"",""
29,"","","","",10,"",30,"",50,"",-1,"",""
30,"","","","",-1,"",-1,"",-1,"",-1,"",""
31,"","","","",-1,"",-1,"",-1,"",-1,"",""
32,"","","","",-1,"",-1,"",-1,"",-1,"",""
33,"","","","",0,"",10,"",-1,"",-1,"",""
34,"","","","",50,"",-1,"",-1,"",-1,"",""
35,"","","","",-1,"",-1,"",-1,"",-1,"",""
36,"","","","",-1,"",-1,"",-1,"",-1,"",""
37,"","","","",-1,"",-1,"",-1,"",-1,"",""
38,"","","","",200,"",-1,"",-1,"",-1,"",""
39,"","","","",-1,"",-1,"",-1,"",-1,"",""
40,"","","","",-1,"",-1,"",-1,"",-1,"",""
41,"","","","",300041,"",1,"",-1,"",-1,"",""
42,"","","","",30,"",-1,"",-1,"",-1,"",""
43,"","","","",-1,"",-1,"",-1,"",-1,"",""
44,"","","","",-1,"",-1,"",-1,"",-1,"",""
45,"","","","",50,"",5,"",-1,"",-1,"",""
46,"","","","",2,"",-1,"",-1,"",-1,"",""
47,"","","","",-1,"",-1,"",-1,"",-1,"",""
48,"","","","",-1,"",-1,"",-1,"",-1,"",""
49,"","","","",2,"",-1,"",-1,"",-1,"",""
50,"","","","",5,"",-1,"",-1,"",-1,"",""
51,"","","","",-1,"",-1,"",-1,"",-1,"",""
52,"","","","",-1,"",-1,"",-1,"",-1,"",""
53,"","","","",5,"",-1,"",-1,"",-1,"",""
54,"","","","",300054,"",-1,"",-1,"",-1,"",""
55,"","","","",-1,"",-1,"",-1,"",-1,"",""
56,"","","","",-1,"",-1,"",-1,"",-1,"",""
57,"","","","",10,"",30,"",50,"",-1,"",""
58,"","","","",300058,"",1,"",-1,"",-1,"",""
59,"","","","",-1,"",-1,"",-1,"",-1,"",""
60,"","","","",-1,"",-1,"",-1,"",-1,"",""
61,"","","","",10,"",-1,"",-1,"",-1,"",""
62,"","","","",-1,"",-1,"",-1,"",-1,"",""
63,"","","","",-1,"",-1,"",-1,"",-1,"",""
64,"","","","",-1,"",-1,"",-1,"",-1,"",""
65,"","","","",0,"",10,"",-1,"",-1,"",""
66,"","","","",10,"",-1,"",-1,"",-1,"",""
67,"","","","",-1,"",-1,"",-1,"",-1,"",""
68,"","","","",-1,"",-1,"",-1,"",-1,"",""
69,"","","","",-1,"",-1,"",-1,"",-1,"",""
70,"","","","",2,"",-1,"",-1,"",-1,"",""
71,"","","","",-1,"",-1,"",-1,"",-1,"",""
72,"","","","",-1,"",-1,"",-1,"",-1,"",""
73,"","","","",20,"",-1,"",-1,"",-1,"",""
74,"","","","",50,"",30,"",10,"",-1,"",""
75,"","","","",-1,"",-1,"",-1,"",-1,"",""
76,"","","","",-1,"",-1,"",-1,"",-1,"",""
77,"","","","",50,"",5,"",-1,"",-1,"",""
78,"","","","",5,"",15,"",-1,"",-1,"",""
79,"","","","",-1,"",-1,"",-1,"",-1,"",""
80,"","","","",-1,"",-1,"",-1,"",-1,"",""
