int32 0,empty 1,int32 2,int32 3,int32 4,int32 5,int32 6,int32 7,int32 8,int32 9,int32 10,empty 11,int32 12,int32 13,empty 14,int32 15,int32 16,empty 17,int32 18,string2 19,string2 20,int32 21,int32 22,string2 23,int32 24,string2 25,string2 26,string2 27,string2 28,int32 29,int32 30,empty 31
1,,1,0,-1,1,1,1,1000,40,1007,,1,30311,,1,47,,3,"t0402","npc_0500",1,-1,"",0,"","","","FLAG_IS_CLEAR_S010_001",0,-1,
2,,2,0,-1,2,2,2,500,40,1058,,1,32131,,1,40,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S010_002",0,-1,
3,,3,0,-1,3,3,3,1000,40,30274,,1,10,,1,40,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S010_003",0,-1,
13,,13,0,-1,13,13,13,11000,50,363,,1,364,,1,46,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S020_013",0,-1,
18,,18,0,-1,18,18,18,3500,40,79,,1,11,,1,41,,2,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S020_018",0,-1,
19,,19,0,-1,19,19,19,9000,75,30133,,1,41,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S020_019",0,-1,
24,,24,0,-1,24,24,24,3500,50,73,,1,42,,1,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S030_024",0,-1,
29,,29,0,-1,29,29,29,10000,100,365,,1,45,,2,0,,0,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S030_029",0,-1,
30,,30,0,-1,30,30,30,8000,55,32121,,1,45,,2,0,,0,"d0404","sub030_001",1,-1,"",0,"","","","FLAG_IS_CLEAR_S030_030",0,-1,
31,,31,0,-1,31,31,31,12000,100,366,,1,72,,1,41,,3,"d0406","sub031_001",1,-1,"",0,"","","","FLAG_IS_CLEAR_S030_031",0,-1,
32,,32,0,-1,32,32,32,4500,65,1024,,1,46,,2,20620,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S040_032",0,-1,
33,,33,0,-1,33,33,33,8000,60,25,,2,43,,1,0,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S040_033",0,-1,
38,,38,0,-1,38,38,38,2000,50,32071,,1,40,,1,0,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S050_038",0,-1,
39,,39,0,-1,39,39,39,2500,40,30035,,1,41,,1,0,,1,"","",1,-1,"",0,"","","","FLAG_IS_CLEAR_S050_039",0,-1,
41,,41,0,-1,41,41,41,1500,40,65,,1,32201,,1,47,,4,"d0206","sub_050_041_01",1,-1,"",0,"","","","FLAG_IS_CLEAR_S050_041",0,-1,
