int32 0,empty 1,empty 2,empty 3,int32 4,int32 5,int32 6
920,,,,910000,-1,-1
921,,,,910000,-1,-1
922,,,,910000,-1,-1
923,,,,910000,-1,-1
930,,,,910004,-1,-1
931,,,,910005,-1,-1
932,,,,910006,-1,-1
933,,,,910007,-1,-1
945,,,,910000,910001,-1
946,,,,910000,910001,-1
947,,,,910000,910001,-1
948,,,,910000,910001,-1
950,,,,910003,910000,-1
951,,,,910003,910000,-1
952,,,,910003,910000,-1
953,,,,910003,910000,-1
980,,,,910000,-1,-1
981,,,,910000,-1,-1
982,,,,910000,-1,-1
983,,,,910000,-1,-1
960,,,,910000,-1,-1
961,,,,910000,-1,-1
962,,,,910000,-1,-1
963,,,,910000,-1,-1
