int32 0,int32 1,int32 2,string2 3,empty 4
1,9900001,1020101,"FLAG_SUB_SEEKHIROKO_01",
2,9900001,1050101,"FLAG_SUB_SEEKHIROKO_04",
3,9900001,1030201,"FLAG_SUB_SEEKHIROKO_02",
4,9900001,1040401,"FLAG_SUB_SEEKHIROKO_03",
5,9900001,1060601,"FLAG_SUB_SEEKHIROKO_05",
6,9900001,1020202,"FLAG_SUB_SEEKHIROKO_07",
7,9900001,1050102,"FLAG_SUB_SEEKHIROKO_10",
8,9900001,1060102,"FLAG_SUB_SEEKHIROKO_11",
9,9900001,1030202,"FLAG_SUB_SEEKHIROKO_08",
10,9900001,1040402,"FLAG_SUB_SEEKHIROKO_09",
11,9900001,1120402,"FLAG_SUB_SEEKHIROKO_13",
12,9900001,1070102,"FLAG_SUB_SEEKHIROKO_12",
13,9900001,1010102,"FLAG_SUB_SEEKHIROKO_06",
14,9900002,10901,"FLAG_IS_CLEAR_Sow_201",
15,9900003,10902,"FLAG_IS_CLEAR_Sow_202",
