int32 0,int32 1,empty 2,int32 3,empty 4,int32 5,int32 6,int32 7,string2 8,empty 9
100092,1,,92,,-1,-1,-1,"",
100093,1,,93,,-1,-1,-1,"",
100094,1,,94,,-1,-1,-1,"",
100095,1,,95,,-1,-1,-1,"",
100096,1,,96,,-1,-1,-1,"",
200101,2,,101,,-1,-1,-1,"",
200102,2,,102,,-1,-1,-1,"",
200103,2,,103,,-1,-1,-1,"",
200104,2,,104,,-1,-1,-1,"",
200002,2,,2,,-1,-1,-1,"FLAG_MAIN_11_009",
200005,2,,5,,-1,-1,-1,"FLAG_MAIN_11_009",
200008,2,,8,,-1,-1,-1,"FLAG_MAIN_11_009",
200011,2,,11,,-1,-1,-1,"FLAG_MAIN_11_009",
200110,2,,110,,-1,-1,-1,"",
200223,2,,223,,-1,-1,-1,"FLAG_MAIN_11_009",
500105,5,,105,,-1,-1,-1,"",
500106,5,,106,,-1,-1,-1,"",
500107,5,,107,,-1,-1,-1,"",
500108,5,,108,,-1,-1,-1,"",
500109,5,,109,,-1,-1,-1,"",
601001,6,,1001,,-1,-1,-1,"",
601002,6,,1002,,-1,-1,-1,"FLAG_MAIN_11_009",
601004,6,,1004,,-1,-1,-1,"",
601005,6,,1005,,-1,-1,-1,"FLAG_MAIN_11_009",
601007,6,,1007,,-1,-1,-1,"",
601008,6,,1008,,-1,-1,-1,"FLAG_MAIN_11_009",
601010,6,,1010,,-1,-1,-1,"",
601011,6,,1011,,-1,-1,-1,"FLAG_MAIN_11_009",
601013,6,,1013,,-1,-1,-1,"",
601014,6,,1014,,-1,-1,-1,"FLAG_MAIN_11_009",
601016,6,,1016,,-1,-1,-1,"",
601017,6,,1017,,-1,-1,-1,"FLAG_MAIN_11_009",
601019,6,,1019,,-1,-1,-1,"",
601020,6,,1020,,-1,-1,-1,"FLAG_MAIN_11_009",
601114,6,,1114,,-1,-1,-1,"FLAG_MAIN_11_009",
601115,6,,1115,,-1,-1,-1,"FLAG_MAIN_11_009",
601116,6,,1116,,-1,-1,-1,"FLAG_MAIN_11_009",
601117,6,,1117,,-1,-1,-1,"FLAG_MAIN_11_009",
601118,6,,1118,,-1,-1,-1,"FLAG_MAIN_11_009",
601091,6,,1091,,-1,-1,-1,"FLAG_MAIN_07_054",
601171,6,,1171,,-1,-1,-1,"FLAG_MAIN_08_043",
601092,6,,1092,,-1,-1,-1,"FLAG_MAIN_07_054",
601172,6,,1172,,-1,-1,-1,"FLAG_MAIN_08_043",
601093,6,,1093,,-1,-1,-1,"FLAG_MAIN_07_054",
601173,6,,1173,,-1,-1,-1,"FLAG_MAIN_08_043",
601094,6,,1094,,-1,-1,-1,"FLAG_MAIN_07_054",
601174,6,,1174,,-1,-1,-1,"FLAG_MAIN_08_043",
601095,6,,1095,,-1,-1,-1,"FLAG_MAIN_07_054",
601096,6,,1096,,-1,-1,-1,"FLAG_MAIN_07_054",
601097,6,,1097,,-1,-1,-1,"FLAG_MAIN_07_054",
730251,7,,30251,,-1,-1,-1,"",
730271,7,,30271,,-1,-1,-1,"",
730331,7,,30331,,-1,-1,-1,"",
731011,7,,31011,,-1,-1,-1,"",
731012,7,,31012,,-1,-1,-1,"FLAG_MAIN_11_009",
731021,7,,31021,,-1,-1,-1,"FLAG_MAIN_11_009",
731022,7,,31022,,-1,-1,-1,"FLAG_MAIN_11_009",
731031,7,,31031,,-1,-1,-1,"FLAG_MAIN_11_009",
731032,7,,31032,,-1,-1,-1,"FLAG_MAIN_11_009",
731041,7,,31041,,-1,-1,-1,"FLAG_MAIN_11_009",
731042,7,,31042,,-1,-1,-1,"FLAG_MAIN_11_009",
731051,7,,31051,,-1,-1,-1,"FLAG_MAIN_11_009",
731061,7,,31061,,-1,-1,-1,"FLAG_MAIN_11_009",
732011,7,,32011,,-1,-1,-1,"FLAG_MAIN_11_009",
732021,7,,32021,,-1,-1,-1,"FLAG_MAIN_11_009",
732031,7,,32031,,-1,-1,-1,"FLAG_MAIN_11_009",
732041,7,,32041,,-1,-1,-1,"FLAG_MAIN_11_009",
732051,7,,32051,,-1,-1,-1,"FLAG_MAIN_11_009",
732061,7,,32061,,-1,-1,-1,"FLAG_MAIN_11_009",
732071,7,,32071,,-1,-1,-1,"FLAG_MAIN_11_009",
732081,7,,32081,,-1,-1,-1,"FLAG_MAIN_11_009",
732091,7,,32091,,-1,-1,-1,"FLAG_MAIN_11_009",
732101,7,,32101,,-1,-1,-1,"FLAG_MAIN_11_009",
732111,7,,32111,,-1,-1,-1,"FLAG_MAIN_11_009",
732121,7,,32121,,-1,-1,-1,"FLAG_MAIN_11_009",
732131,7,,32131,,-1,-1,-1,"FLAG_MAIN_11_009",
732141,7,,32141,,-1,-1,-1,"FLAG_MAIN_11_009",
732151,7,,32151,,-1,-1,-1,"FLAG_MAIN_11_009",
732161,7,,32161,,-1,-1,-1,"FLAG_MAIN_11_009",
732171,7,,32171,,-1,-1,-1,"FLAG_MAIN_11_009",
732181,7,,32181,,-1,-1,-1,"FLAG_MAIN_11_009",
732191,7,,32191,,-1,-1,-1,"FLAG_MAIN_11_009",
732201,7,,32201,,-1,-1,-1,"FLAG_MAIN_11_009",
732211,7,,32211,,-1,-1,-1,"FLAG_MAIN_11_009",
732221,7,,32221,,-1,-1,-1,"FLAG_MAIN_11_009",
732231,7,,32231,,-1,-1,-1,"FLAG_MAIN_11_009",
732241,7,,32241,,-1,-1,-1,"FLAG_MAIN_11_009",
733011,7,,33011,,-1,-1,-1,"FLAG_MAIN_11_009",
733021,7,,33021,,-1,-1,-1,"FLAG_MAIN_11_009",
733031,7,,33031,,-1,-1,-1,"FLAG_MAIN_11_009",
733041,7,,33041,,-1,-1,-1,"FLAG_MAIN_11_009",
733051,7,,33051,,-1,-1,-1,"FLAG_MAIN_11_009",
733061,7,,33061,,-1,-1,-1,"FLAG_MAIN_11_009",
734011,7,,34011,,-1,-1,-1,"FLAG_MAIN_11_009",
734021,7,,34021,,-1,-1,-1,"FLAG_MAIN_11_009",
734031,7,,34031,,-1,-1,-1,"FLAG_MAIN_11_009",
900802,9,,802,,1,-1,-1,"",
900804,9,,804,,1,-1,-1,"FLAG_MAIN_08_000",
900807,9,,807,,1,-1,-1,"FLAG_MAIN_08_000",
