string3 0,string3 1,int 2,empty 3,int 4,empty 5,int 6,empty 7,int 8,empty 9,int 10,empty 11
"AEGIOMON","chr183aa010101",1183,"",0,"",0,"",0,"",0,""
"AEGIOMON_B","chr183ba010101",1183,"",0,"",0,"",0,"",0,""
"HERO","Player",2001,"",0,"",0,"",0,"",0,""
"HEROINE","npc001aa010101",3001,"",0,"",0,"",0,"",0,""
"TAKEMIYA","npc002aa010101",3002,"",3102,"",3202,"",0,"",0,""
"TAKEMIYA_8YEARSLATER","npc052aa010101",3002,"",3102,"",3202,"",0,"",0,""
"HIROKO","npc003aa010101",3003,"",3103,"",0,"",0,"",0,""
"HIROKO_8YEARSLATER","npc053aa010101",3003,"",3103,"",0,"",0,"",0,""
"SIMONS","npc004aa010101",3004,"",0,"",0,"",0,"",0,""
"KUREMI","npc005aa010101",3005,"",3105,"",3205,"",3305,"",3405,""
"KUREMI_8YEARSLATER","npc005ba010101",3005,"",3505,"",0,"",0,"",0,""
"SUMERAGI","npc006aa010101",3006,"",3106,"",3206,"",0,"",0,""
"SUMERAGI_8YEARSLATER","npc056aa010101",3006,"",3106,"",3206,"",3506,"",0,""
"TOUDOU","npc007aa010101",3007,"",3107,"",3207,"",3307,"",0,""
"TOUDO_8YEARSLATER","npc057aa010101",3007,"",3107,"",3207,"",3307,"",0,""
"KUREMIKYOKO","npc008aa010101",3008,"",0,"",0,"",0,"",0,""
"HOMEROS","npc009aa010101",3009,"",0,"",0,"",0,"",0,""
"YGGDRASILL","npc010aa010101",3010,"",0,"",0,"",0,"",0,""
"TOUHOU","npc011aa010101",3011,"",0,"",0,"",0,"",0,""
"MIREI","npc013aa010101",3012,"",3112,"",0,"",0,"",0,""
"SAWABE","npc105af010106",3014,"",3114,"",0,"",0,"",0,""
"MOB_BOY","npc105bb010101",5009,"",0,"",0,"",0,"",0,""
"DIGI_V-MON","chr114",1114,"",0,"",0,"",0,"",0,""
"DIGI_DORIMON","chr466",1466,"",0,"",0,"",0,"",0,""
"DIGI_COROMON","chr322",1322,"",0,"",0,"",0,"",0,""
"DIGI_MONODRAMON","chr458",1458,"",0,"",0,"",0,"",0,""
"DIGI_DRACOMON","chr208",1208,"",0,"",0,"",0,"",0,""
"DIGI_ELECMON","chr563",1564,"",4009,"",0,"",0,"",0,""
"DIGI_MINERVAMON","chr747",1747,"",0,"",0,"",0,"",0,""
"DIGI_CORONAMON","chr136",1136,"",0,"",0,"",0,"",0,""
"DIGI_LUNAMON","chr002",1002,"",0,"",0,"",0,"",0,""
