string2 0,string2 1,int 2,int 3
"Common","",0,2
"FirstPast","Past",0,0
"Past2","Past",1,0
"Past3","Past",2,0
"Past4","Past",3,0
"Past5","Past",4,0
"Past6","Past",5,0
"FinalPast","Past",1000,0
"FirstPresent","Present",0,1
"Present2","Present",1,1
"Present3","Present",2,1
"Present4","Present",3,1
"Present5","Present",4,1
"Present6","Present",5,1
"FinalPresent","Present",1000,1
"A2020_dbef_0","A2020_dbef",0,2
"A2020_dbef_10","A2020_dbef",10,2
"A2020_dbef_20","A2020_dbef",20,2
"A2020_dbef_30","A2020_dbef",30,2
"A2020_dbef_40","A2020_dbef",40,2
"A2020_dbef_50","A2020_dbef",50,2
"A2020_dbef_51","A2020_dbef",51,0
"A2020_dbef_60","A2020_dbef",60,0
"A2020_dbef_61","A2020_dbef",61,0
"A2020_dbef_70","A2020_dbef",70,0
"A2020_dbef_71","A2020_dbef",71,0
"A2020_dbef_80","A2020_dbef",80,0
"A2020_dbef_81","A2020_dbef",81,0
"A2020_dbef_82","A2020_dbef",82,0
"A2020_dbef_83","A2020_dbef",83,0
"A2020_dbef_90","A2020_dbef",90,0
"A2020_dbef_91","A2020_dbef",91,0
"A2020_dbef_100","A2020_dbef",100,0
"A2020_dbef_101","A2020_dbef",101,0
"A2020_dbef_110","A2020_dbef",110,0
"A2020_dbef_111","A2020_dbef",111,0
"A2020_dbef_119","A2020_dbef",119,0
"A2020_dbef_120","A2020_dbef",120,0
"A2020_dbef_130","A2020_dbef",130,0
"A2020_dbef_140","A2020_dbef",140,0
"A2020_dbef_141","A2020_dbef",141,0
"A2020_dbef_142","A2020_dbef",142,0
"A2020_dbef_150","A2020_dbef",150,0
"A2020_dbef_160","A2020_dbef",160,0
"A2020_dbef_170","A2020_dbef",170,0
"A2020_dbef_171","A2020_dbef",171,0
"A2020_dbef_172","A2020_dbef",172,0
"A2020_dbef_173","A2020_dbef",173,0
"A2020_dbef_180","A2020_dbef",180,0
"A2020_dbef_181","A2020_dbef",181,0
"A2020_dbef_182","A2020_dbef",182,0
"A2020_dbef_190","A2020_dbef",190,0
"A2020_dbef_199","A2020_dbef",199,0
"A2020_dbef_200","A2020_dbef",200,0
"A2020_dbef_201","A2020_dbef",201,0
"A2020_dbef_210","A2020_dbef",210,0
"A2020_dbef_220","A2020_dbef",220,0
"A2020_dbef_230","A2020_dbef",230,0
"A2020_dbef_240","A2020_dbef",240,0
"A2020_dbef_250","A2020_dbef",250,0
"A2020_dbef_260","A2020_dbef",260,0
"A2020_dbef_270","A2020_dbef",270,0
"A2020_dbef_280","A2020_dbef",280,0
"A2020_dbef_290","A2020_dbef",290,0
"A2020_dbef_300","A2020_dbef",300,0
"A2020_dbef_310","A2020_dbef",310,0
"A2020_dbef_320","A2020_dbef",320,0
"A2020_dbef_330","A2020_dbef",330,0
"A2020_dbef_340","A2020_dbef",340,0
"A2020_dbef_350","A2020_dbef",350,0
"A2020_dbef_360","A2020_dbef",360,0
"A2020_dbef_370","A2020_dbef",370,0
"A2020_dbef_380","A2020_dbef",380,0
"A2020_dbef_390","A2020_dbef",390,0
"A2020_dbef_400","A2020_dbef",400,0
"A2020_dbef_410","A2020_dbef",410,0
"A2020_dbef_420","A2020_dbef",420,0
"A2020_dbef_430","A2020_dbef",430,0
"A2020_dbef_440","A2020_dbef",440,0
"A2020_dbef_450","A2020_dbef",450,0
"A2020_dbef_460","A2020_dbef",460,0
"A2020_dbef_470","A2020_dbef",470,0
"A2020_dbef_480","A2020_dbef",480,0
"A2020_dbef_490","A2020_dbef",490,0
"A2020_dbef_10000","A2020_dbef",10000,0
"A2028_daft_0","A2028_daft",0,1
"A2028_daft_10","A2028_daft",10,1
"A2028_daft_20","A2028_daft",20,1
"A2028_daft_30","A2028_daft",30,1
"A2028_daft_40","A2028_daft",40,1
"A2028_daft_50","A2028_daft",50,1
"A2028_daft_60","A2028_daft",60,1
"A2028_daft_70","A2028_daft",70,1
"A2028_daft_80","A2028_daft",80,1
"A2028_daft_90","A2028_daft",90,1
"A2028_daft_100","A2028_daft",100,1
"A2028_daft_110","A2028_daft",110,1
"A2028_daft_120","A2028_daft",120,1
"A2028_daft_130","A2028_daft",130,1
"A2028_daft_140","A2028_daft",140,1
"A2028_daft_150","A2028_daft",150,1
"A2028_daft_160","A2028_daft",160,1
"A2028_daft_170","A2028_daft",170,1
"A2028_daft_180","A2028_daft",180,1
"A2028_daft_190","A2028_daft",190,1
"A2028_daft_200","A2028_daft",200,1
"A2028_daft_210","A2028_daft",210,1
"A2028_daft_220","A2028_daft",220,1
"A2028_daft_230","A2028_daft",230,1
