int 0,int 1,empty 2
1,256,""
50,1,""
51,2,""
52,3,""
53,5,""
100,5,""
101,3,""
102,101,""
103,201,""
104,201,""
105,301,""
106,301,""
200,201,""
201,-1,""
300,-1,""
301,-1,""
302,-1,""
303,-1,""
400,-5,""
401,5,""
1000,100023,""
1001,101007,""
1002,300016,""
1003,300017,""
1100,500008,""
1101,500009,""
1102,500015,""
1103,500016,""
1104,500008,""
1105,500009,""
1106,500015,""
1107,500016,""
1108,500010,""
1109,500011,""
1200,112001,""
1201,112018,""
1202,112019,""
1203,112020,""
1204,112002,""
1205,112002,""
1206,112006,""
1207,112007,""
1208,112009,""
1209,112010,""
1210,112012,""
1211,112013,""
1212,112005,""
1213,112016,""
1214,112017,""
1215,100002,""
1216,100003,""
1217,100004,""
1218,100005,""
1219,100006,""
2000,3,""
9000,1,""
9001,1,""
9002,1,""
9003,1,""
9004,1,""
