int 0,string 1,empty 2
1,"gim_",""
2,"ride_",""
3,"elv_",""
4,"npc_",""
5,"change_",""
6,"map_",""
7,"theater_",""
8,"ladder",""
9,"start_",""
10,"col_",""
11,"floor_col_",""
12,"fa_",""
13,"mapborder_",""
50,"elvU",""
51,"up",""
52,"down",""
100,"_1",""
101,"_2",""
102,"_3",""
103,"_4",""
500,"A",""
501,"B",""
502,"C",""
503,"D",""
700,"char_DIGIVICE",""
1000,"FLAG_MAIN_03_037",""
1001,"FLAG_MAIN_01_235",""
1002,"FLAG_MAIN_01_184",""
1003,"FLAG_MAIN_01_184",""
1004,"FLAG_MAIN_03_050",""
1005,"",""
1006,"FLAG_MAIN_03_125",""
1007,"",""
1008,"FLAG_MAIN_03_260",""
2000,"FLAG_IS_GAME_CLEAR",""
3000,"ui_cmn_black",""
9000,"m010_010",""
