int32 0,empty 1,int32 2,int32 3,empty 4,int32 5,string2 6,string2 7,empty 8,bool 9,string2 10,int32 11,string2 12,int32 13,string2 14,empty 15
101,,1,101,,100,"PLACE_OPEN_E_SHINJUKU_STATION","PLACE_CLOSE_E_SHINJUKU_STATION",,true,"",0,"t",101,"start_25",
102,,1,102,,102,"PLACE_OPEN_ROAD_MENUKI","PLACE_CLOSE_ROAD_MENUKI",,true,"",0,"t",102,"start_00",
103,,1,103,,104,"PLACE_OPEN_ALTA","PLACE_CLOSE_ALTA",,true,"",0,"t",103,"start_00",
151,,1,151,,101,"PLACE_OPEN_SHINJUKU_ST_EAST","PLACE_CLOSE_SHINJUKU_ST_EAST",,true,"",0,"t",101,"start_22",
152,,1,152,,103,"PLACE_OPEN_CROSS_ROAD","PLACE_CLOSE_CROSS_ROAD",,true,"",0,"t",102,"start_20",
153,,1,153,,105,"PLACE_OPEN_GUARD","PLACE_CLOSE_GUARD",,true,"",0,"t",108,"start_20",
201,,2,201,,201,"PLACE_OPEN_AKIBA_STATION","PLACE_CLOSE_AKIBA_STATION",,true,"",0,"t",201,"start_00",
250,,2,250,,202,"PLACE_OPEN_AKIBA_CROSS_ROAD","PLACE_CLOSE_AKIBA_CROSS_ROAD",,true,"",0,"t",201,"start_20",
301,,3,301,,301,"PLACE_OPEN_METROPOLITAN_GOVERNMENT","PLACE_CLOSE_METROPOLITAN_GOVERNMENT",,true,"",0,"t",301,"start_00",
302,,3,302,,302,"PLACE_OPEN_SHINJUKU_PARK","PLACE_CLOSE_SHINJUKU_PARK",,true,"",0,"t",302,"start_00",
351,,3,351,,303,"PLACE_OPEN_GUARD_WEST","PLACE_CLOSE_GUARD_WEST",,true,"",0,"t",108,"start_21",
352,,3,352,,304,"PLACE_OPEN_HOPE_WALL","PLACE_CLOSE_HOPE_WALL",,true,"",0,"t",107,"start_00",
401,,4,401,,401,"PLACE_OPEN_SHOPPING_STREET","PLACE_CLOSE_SHOPPING_STREET",,true,"",0,"t",401,"start_00",
404,,4,404,,404,"PLACE_OPEN_PLAYER_ROOM","PLACE_CLOSE_PLAYER_ROOM",,true,"",0,"t",404,"start_00",
155,,4,155,,406,"PLACE_OPEN_ROAD_SHINJUKU_BACK_STREET","PLACE_CLOSE_ROAD_SHINJUKU_BACK_STREET",,true,"",0,"t",109,"start_21",
405,,4,405,,405,"PLACE_OPEN_ROOFTOP","PLACE_CLOSE_ROOFTOP",,true,"",0,"t",408,"start_00",
