int32 0,string2 1,empty 2,int32 3,string2 4,string2 5,string2 6,int32 7,string2 8,string2 9,int32 10,empty 11
10901,"910901",,100,"","","t",109,"start_50","A2020_dbef_119",1,
1020101,"91020201",,200,"","","d",202,"start_50","A2020_dbef_199",1,
1050101,"91050101",,201,"","","d",501,"start_51","A2020_dbef_199",1,
1030201,"91030201",,202,"","","d",302,"start_50","A2020_dbef_199",2,
1040401,"91040401",,203,"","","d",404,"start_50","A2020_dbef_199",1,
1060601,"91060601",,204,"","","d",606,"start_50","A2020_dbef_199",1,
10902,"910902",,300,"","","t",109,"start_50","A2028_daft_419",1,
1020202,"91020202",,400,"","","d",202,"start_50","A2028_daft_419",2,
1050102,"91050102",,401,"","","d",501,"start_51","A2028_daft_419",1,
1060102,"91060602",,402,"","","d",606,"start_50","A2028_daft_419",1,
1030202,"91030202",,403,"","","d",302,"start_50","A2028_daft_419",1,
1040402,"91040402",,404,"","","d",404,"start_50","A2028_daft_419",1,
1120402,"91120402",,301,"","","d",1204,"start_50","A2028_daft_419",1,
1070102,"91070102",,406,"","","d",701,"start_50","A2028_daft_419",1,
1010102,"91010102",,407,"","","d",101,"start_50","A2028_daft_419",1,
