string2 0,string 1
"0","None"
"1","Puppet"
"2","Mammal"
"3","Beast Man"
"4","Wizard"
"5","Mineral"
"6","Undead"
"9","Machine"
"10","Fire"
"11","Mythical Beast"
"12","Beast"
"13","Ghost"
"14","Mutant"
"15","Giant Bird"
"16","Dragon Man"
"17","Beast Man"
"19","Beast Dragon"
"20","Beast"
"21","Sea Animal"
"23","Mutant"
"24","Pixie"
"25","Android"
"26","Warrior"
"27","Dragon Man"
"28","Mutant"
"30","Dark Beast"
"31","Undead"
"32","Dark Beast"
"33","Ceratopsian"
"34","Evil King"
"35","Evil King"
"36","Evil King"
"37","Evil King"
"38","Evil King"
"39","Evil King"
"40","Evil King"
"41","Puppet"
"42","Insectoid"
"43","Dark Beast"
"44","Mutant"
"45","Bird Man"
"46","Dragon Man"
"47","Evil Dragon"
"48","Holy Dragon"
"49","Beast Man"
"50","Reptile"
"51","Android"
"52","Android"
"53","Holy Beast"
"54","Dinosaur"
"55","Beast"
"56","Vegetation"
"57","Pixie"
"58","Vegetation"
"59","Android"
"60","Android"
"61","Puppet"
"68","Beast"
"69","Mutant"
"70","Mollusk"
"71","Android"
"72","Beast Man"
"73","Pixie"
"74","Android"
"75","Deity"
"76","Wizard"
"77","Holy Beast"
"78","Dark Dragon"
"79","Mutant"
"80","Deity"
"81","Little Devil"
"82","Mythical Beast"
"83","Mythical Beast"
"84","Holy Beast"
"85","Undead"
"86","Holy Knight"
"87","Angel"
"88","Holy Knight"
"90","Reptile"
"91","Insectoid"
"92","Holy Beast"
"93","Dark Angel"
"94","Shining Dragon"
"95","Beast Knight"
"96","Mammal"
"97","Little Devil"
"98","Android"
"100","Beast Man"
"101","High Angel"
"102","Beast Man"
"103","Crustacean"
"104","Deity"
"105","Holy Knight"
"106","Unidentified"
"107","Dark Angel"
"111","Demon"
"112","Beast"
"113","Mutant"
"114","Mini Dragon"
"115","Dinosaur"
"116","Dragon Man"
"117","Holy Bird"
"118","Unique"
"126","Holy Knight"
"127","Puppet"
"128","Insectoid"
"129","Aquatic Beast Man"
"130","Ancient Fish"
"132","Aquatic"
"133","Aquatic"
