string2 0,string 1
"digimon_0001_profile","A Puppet Digimon that has concealed itself inside 
a stuffed animal shaped like Tyrannomon. Why 
exactly this mysterious Digimon chose a stuffed
Tyrannomon is unclear, but it probably just hid 
inside whatever plush toy was nearby. Whatever 
the explanation, this stuffed Tyrannomon has all 
the offensive and defensive power of Monzaemon, 
meaning no ordinary Digimon can stand up to it.
However, just like Monzaemon, it's nothing more 
than an ornament without someone to pull its 
strings. Its special move is Pretty Attack, which
emanates from its adorable body."
"digimon_0002_profile","A Mammal Digimon resembling a rabbit, born from 
the fusion of moon observation data. Its large ears 
can recognize sounds from any distance. Although 
timid, Lunamon often gets lonely and easily grows 
attached to others. It uses its special move 
Tearing Shot to concentrate power into the antenna 
on its forehead to shoot a beautiful orb of water at 
the enemy."
"digimon_0003_profile","A Beast Man Digimon with astounding jumping 
capabilities that likes to toy with its foes using 
speedy movements. Lekismon's nature is as 
ephemeral as the phases of the moon, and its 
appearance is somewhat mystical. It uses its 
special move Moon Night Bomb to hurl hypnotic
water bubbles generated from the Moon Gloves 
on its hands and put the enemy to sleep."
"digimon_0004_profile","A Wizard Digimon with a flexible body, enabling it 
to dispatch foes with graceful movements. It
specializes in highly fluid fighting styles, and is 
said to double in power when bathed in the light of
the moon. Its special move, Lunatic Dance, entrances
opponents with rhythmic steps, allowing it to close
in and deliver a two-handed slash with its weapons
Nova Luna."
"digimon_0005_profile","A Rock/Mineral Digimon discovered when 
performing digital analysis of an ancient curse. It 
has forbidden incantations in an archaic script
signifying ""plague,"" ""curse"" and ""evil"" inscribed on
its back, apparently meant to safeguard it from
the gas it emits. Approximately 90% of its body is
composed of rock data, and it survives by binding
up its limbs. An emotionless Digimon that doesn't
act unless so ordered."
"digimon_0006_profile","The decrepit ruins of what was once a Dark Angel 
Digimon that fell into the Dark Area in its pursuit of 
strength and destruction. There, SkullSatamon's 
wicked nature intensified, and its dark powers are
now unfathomable. Its DigiCore, concentrated with 
these dark powers, has transformed into a DarkCore,
something only possessed by Evil-species Digimon.
SkullSatamon's special move Nail Bone is a horrifying
technique that unleashes an intense light from the
jewel on the tip of its staff, disrupting and
obliterating its opponent's data."
"digimon_0009_profile","A mutant Machine Digimon shaped like a gear. 
There are also countless other gears built into its 
body that are constantly turning. If even one gear 
is removed, all of the others stop spinning and 
Hagurumon ceases to function. Hagurumon possesses
the ability to infect foes with a computer virus that
allows it to control them. Thus, Digimon of wicked
intent often seek to exploit Hagurumon's powers.
But since it lacks any sense of self, it has no way
of knowing it's being used for evil. Its special move
is Cog Crusher, which implants a black gear
loaded with a computer virus into its opponent's
body, causing them to go berserk."
"digimon_0010_profile","A Fire Digimon whose body is cloaked in crimson 
flames. Generated of the Firewall built to defend 
against illegal intrusions from the Internet, this 
Digimon has a violent temperament that reflects 
its blazing appearance and seeks to incinerate
anything it touches. Its flames burn more intensely 
than those of its kindred on File Island, making it
an extremely difficult Digimon to tame. But even if 
tamed, there's no telling when Meramon will turn 
on its master. Meramon uses its special move 
Burning Fist to cause its arms to flare up before 
punching its foe."
"digimon_0011_profile","A Mythical Beast Digimon with gigantic wings. 
Airdramon is an exceptionally valuable monster,
thought to be near in stature to a god. It specializes
in aerial combat, invoking storms with its roar and
creating colossal whirlwinds by flapping its wings.
Though quite vicious by nature, Airdramon is also
very intelligent. Nevertheless, any average Tamer
would find it nearly impossible to control. Airdramon
beats its huge wings to unleash a cutting vacuum
blade with its special move Spinning Needle."
"digimon_0012_profile","A wolf-like Beast Digimon with a pale silver pelt. 
Garurumon's fur is said to be as hard as the 
legendary rare metal Mithril, and the blades
extending from its shoulders are sharp enough to 
slice through anything they touch. Possessed of a
physique honed in the frozen tundra and a fierce 
instinct for conflict, Garurumon is feared by other 
Digimon for its predatory agility and unerring 
accuracy in bringing down its prey. However, it's 
also incredibly intelligent and steadfastly loyal to 
any it acknowledges as its leader. Garurumon uses 
its special move Fox Fire to breathe out a stream 
of intense blue flames."
"digimon_0013_profile","A Ghost Digimon with a cloth draped over it. 
Bakemon is a wicked being born of darkness, and 
is said to instantly destroy the systems of any 
computers it possesses. What lies beneath the 
cloth is a complete mystery, and there are theories 
that the shadow cast under its body is a black hole. 
Bakemon lacks combat power and thus prefers not 
to attack its foes directly. Its special move 
Death Charm casts a powerful curse. Those lacking 
strong mental fortitude die in a matter of seconds 
under its effect."
"digimon_0014_profile","A star-shaped Digimon discovered by chance in 
planetary analysis software at a space development
center. Starmon is a space warrior with stellar armor,
wearing gloves and boots emblazoned with stars. Its
tattered yellow scarf speaks to the many battles it's
survived, and its eyes burn with fighting spirit. Its
eyes can even be used in a more advanced manner
to hypnotize opponents. This hot-blooded Digimon
has a fierce admiration for the brave Leomon.
Starmon's special move Meteor Shower rains down
small meteors upon the heads of its foes."
"digimon_0015_profile","A Giant Bird Digimon with a pair of enormous horns 
on its head. Known as the ""Great Eagle of the Desert,""
Aquilamon soars through the sky at Mach speed and
can spot distant foes with its keen eyesight. Its horns
display tremendous force when Aquilamon swoops
down to ram into enemies. While many Bird Digimon
are savagely brutal, Aquilamon values decorum and
obeys those it pledges allegiance to without fail.
It slams into foes from above with its special move
Glide Horn."
