string2 0,string 1
"ed_lyrics_jp_0010","For just a moment, could we wind back the clock"
"ed_lyrics_jp_0020","The fragments of memories paint the night sky"
"ed_lyrics_jp_0030","The loneliness that slowly dissipates"
"ed_lyrics_jp_0040","I'd rather count it as pain and leave it all behind"
"ed_lyrics_jp_0050","But don't dwell on what you have lost"
"ed_lyrics_jp_0060","Would you tell me now, did you find joy with me"
"ed_lyrics_jp_0070","Even if you forget the reason for every tear"
"ed_lyrics_jp_0080","The road that they have paved will always be here"
"ed_lyrics_jp_0090","Wherever you are, if I never see you again"
"ed_lyrics_jp_0100","Wherever you are, would I still smile"
"ed_lyrics_jp_0110","Our bonds entwined, stronger than we know"
"ed_lyrics_jp_0120","They drew something divine, something only we know"
"ed_lyrics_jp_0130","And when you're on your knees, alone in the darkest of nights"
"ed_lyrics_jp_0140","If you look up to the sky, I know one thing is for sure"
"ed_lyrics_jp_0150","A billion stars will shimmer even in sorrow"
"ed_lyrics_jp_0160","They will draw close to you, embrace you and whisper that"
"ed_lyrics_jp_0170","Wherever you are, even if we won't meet again, I'll always be here"
"ed_lyrics_jp_0180","Even if you forget the reason for every tear"
"ed_lyrics_jp_0190","The road that they have paved will always be here"
"ed_lyrics_jp_0200","Wherever you are, if I never see you again"
"ed_lyrics_jp_0210","Wherever you are, I'll keep smiling"
"ed_lyrics_jp_0220","And if there is only one tomorrow for us"
"ed_lyrics_jp_0230","If we can find it together then I would embrace it"
"ed_lyrics_jp_0240","Wherever you are, I know I have to leave"
"ed_lyrics_jp_0250","wherever you are..."
"ed_lyrics_en_0010","For just a moment, could we wind back the clock"
"ed_lyrics_en_0020","The fragments of memories paint the night sky"
"ed_lyrics_en_0030","The loneliness that slowly dissipates"
"ed_lyrics_en_0040","I'd rather count it as pain and leave it all behind"
"ed_lyrics_en_0050","But don't dwell on what you have lost"
"ed_lyrics_en_0060","Would you tell me now, did you find joy with me"
"ed_lyrics_en_0070","Even if you forget the reason for every tear"
"ed_lyrics_en_0080","The road that they have paved will always be here"
"ed_lyrics_en_0090","Wherever you are, if I never see you again"
"ed_lyrics_en_0100","Wherever you are, would I still smile"
"ed_lyrics_en_0110","Our bonds entwined, stronger than we know"
"ed_lyrics_en_0120","They drew something divine, something only we know"
"ed_lyrics_en_0130","And when you're on your knees, alone in the darkest of nights"
"ed_lyrics_en_0140","If you look up to the sky, I know one thing is for sure"
"ed_lyrics_en_0150","A billion stars will shimmer even in sorrow"
"ed_lyrics_en_0160","They will draw close to you, embrace you and whisper that"
"ed_lyrics_en_0170","Wherever you are, even if we won't meet again"
"ed_lyrics_en_0180","I'll always be here"
"ed_lyrics_en_0190","Even if you forget the reason for every tear"
"ed_lyrics_en_0200","The road that they have paved will always be here"
"ed_lyrics_en_0210","Wherever you are, if I never see you again"
"ed_lyrics_en_0220","Wherever you are, I'll keep smiling"
"ed_lyrics_en_0230","And if there is only one tomorrow for us"
"ed_lyrics_en_0240","If we can find it together then I would embrace it"
"ed_lyrics_en_0250","Wherever you are, I know I have to leave"
"ed_lyrics_en_0260","Wherever you are"
