string2 0,string 1
"10101","Higashi-Shinjuku: Vision Square"
"10102","Higashi-Shinjuku: Koshu-Kaido Intersection"
"10106","Nakazawa Gourmet Coffee"
"10107","Wall of Hope"
"10108","Seibu-Shinjuku: Overbridge Intersection"
"10302","Shinjuku Park: Waterfall Plaza"
"10303","Shinjuku Park: Community Forest"
"13001","The In-Between Theater"
"13002","The In-Between Theater: Theater"
"13003","VIP Room"
"13004","Elevator Hall"
"20201","Central Town"
"20202","Central Town: Downtown"
"20204","Warrior's Watering Hole"
"20211","Central Town: Shanty"
"20212","Central Town: Shanty"
"20213","Central Town: Shanty"
"20215","Central Town: Shanty"
"20217","Central Town: Spiral Waterway"
"20801","Temple of Beginnings: Upper Level"
"20802","Temple of Beginnings: Shrine Room"
"21001","Forgotten Rails"
"21002","Giant Pit"
"21003","Forgotten Rails"
"21102","Shinjuku Underground Waterway: South Block"
"21401","Tokyo Metropolitan Government Building: Entrance"
"21402","Tokyo Metropolitan Government Building: B1F"
"21403","Tokyo Metropolitan Government Building: 36F North Tower"
"21404","Tokyo Metropolitan Government Building: 24F North Wing"
"21405","Tokyo Metropolitan Government Building: 24F South Wing"
"21406","Tokyo Metropolitan Government Building: 36F South Tower"
"21407","Tokyo Metropolitan Government Building: Roof"
"40001","Location Data Undefined"
"40002","Location Data Undefined"
"40006","???"
"40007","???"
"40008","???"
"99999","???"
