string2 0,string 1
"ui_textext_digivice_0010","BATTLE MEMBERS"
"ui_textext_digivice_0020","RESERVE MEMBERS"
"ui_textext_digivice_0030","DIGIMON"
"ui_textext_digivice_0040","ITEM"
"ui_textext_digivice_0050","AGENT"
"ui_textext_digivice_0060","SYSTEM"
"ui_textext_digivice_0070","DIGILINE"
"ui_textext_digivice_0080","MISSION"
"ui_textext_battle_0010","Guard"
"ui_textext_battle_0020","Skills"
"ui_textext_battle_0030","Change"
"ui_textext_battle_0040","Items"
"ui_textext_battle_0050","X-Arts"
"ui_textext_battle_0060","Attack"
"ui_textext_battle_0070","Digivolution"
"ui_textext_battle_0100","RESIST"
"ui_textext_battle_0110","BLOCK"
"ui_textext_battle_0120","MISS"
"ui_textext_battle_0130","GOOD!"
"ui_textext_battle_0140","GREAT!!"
"ui_textext_battle_0150","EXCELLENT!!!"
"ui_textext_battle_0160","BREAK"
"ui_textext_battle_0170","CP"
