string2 0,string 1
"1","HP Capsule I"
"2","HP Capsule II"
"3","HP Capsule III"
"4","HP Spray I"
"5","HP Spray II"
"6","HP Spray III"
"7","SP Capsule I"
"8","SP Capsule II"
"9","SP Capsule III"
"10","SP Spray I"
"11","SP Spray II"
"12","SP Spray III"
"13","Medical Spray"
"14","Medical Spray DX"
"15","Poison Recovery"
"16","Panic Recovery"
"17","Paralysis Recovery"
"18","Sleep Recovery"
"19","Sprite Recovery"
"20","Bug Recovery"
"21","Pain Recovery"
"22","Sickness Recovery"
"23","Stat Recovery"
"24","Multi-Recovery"
"25","Multi-Recovery DX"
"26","Revival Capsule"
"27","Revival Capsule DX"
"28","Courage Revival"
"29","Full Revival Spray"
"30","ATK Boost"
"31","DEF Boost"
"32","INT Boost"
"33","SPI Boost"
"34","SPD Boost"
"35","ACU Boost"
"36","EVA Boost"
"37","CRT Boost"
"38","Multi-Boost α"
"39","Multi-Boost β"
"40","Courage Point I"
"41","Courage Point II"
"42","Courage Point III"
"43","Courage Point IV"
"44","Courage Point V"
"45","Friendship"
"46","Friendship DX"
"47","Friendship S"
"48",""
"59","Talent Awakening Booster"
"60","Talent Awakening Booster DX"
"61","HP Augment Chip I"
"62","HP Augment Chip II"
"63","HP Augment Chip III"
"64","SP Augment Chip I"
"65","SP Augment Chip II"
"66","SP Augment Chip III"
"67","ATK Augment Chip I"
"68","ATK Augment Chip II"
"69","ATK Augment Chip III"
"70","DEF Augment Chip I"
"71","DEF Augment Chip II"
"72","DEF Augment Chip III"
"73","INT Augment Chip I"
"74","INT Augment Chip II"
"75","INT Augment Chip III"
"76","SPI Augment Chip I"
"77","SPI Augment Chip II"
"78","SPI Augment Chip III"
"79","SPD Augment Chip I"
"80","SPD Augment Chip II"
"81","SPD Augment Chip III"
"82","Topaz"
"83","Pearl"
"84","Aquamarine"
"85","Jade"
"86","Alexandrite"
"87","Ruby"
"88","Sapphire"
"89","Emerald"
"90","Diamond"
"91","Digi-Jewel"
"92","Meat-Wrapped Rice Ball"
"93","Barbeque Skewer Set"
"94","Strawberry Parfait"
"95","Fruit Tart"
"96","Medical Aid Drink"
"101","Disinfectant"
"102","Sedative"
"103","Vitamins"
"104","Wake-Up Drink"
"105","Processed Meat"
"106","Fresh Fish"
"107","Apple"
"108","Carrot"
"109","Banana"
"110","Supplement"
"203","Digimeat"
"210","DigiApple"
"211","DigiCarrot"
"213","DigiBanana"
"222","DigiFish"
"223","DigiProtein"
"301","Gravel Dataset"
"302","Rock Model Fragment"
"303","Mineral Texture"
"311","Cylindrical Model"
"312","Rusty Iron Texture"
"313","Iron Texture"
"321","Crystalline Structure Model"
"322","Spherical Model"
"323","Clear Sky-blue Texture"
"331","Liquid Model"
"332","Fluid Animation Data"
"333","Blackish Texture"
"341","Brown Texture"
"342","Gray Texture"
"343","Arched Model"
"351","Woodgrain Texture"
"352","Tree Model"
"353","Leaf Model"
"354","Immortal Egg"
"361","Fragment Memory: Merukimon"
"362","Fragment Memory: Vulcanusmon"
"363","Fragment Memory: Neptunemon"
"364","Fragment Memory: Venusmon"
"365","Fragment Memory: Bacchusmon"
"366","Fragment Memory: Ceresmon"
"367","Fragment Memory: Marsmon"
"368","Fragment Memory: Junomon"
"369","Fragment Memory: Plutomon"
"370","Fragment Memory: Apollomon"
"371","Fragment Memory: Dianamon"
"372","Fragment Memory: Minervamon"
"373","Fragment Memory: Jupitermon"
"721","Mini EM-Barrier Generator"
"723","Crimson Dragon Data Fragment"
"724","Emerald Arbor Data Fragment"
"725","Blue Steel Data Fragment"
"726","Holy Light Data Fragment"
"727","Battery"
"728","Coveweed"
"729","Conch"
"730","Coral Fragment"
"731","Fruit of Karpos Hulē"
"732","Kokuwamon Coupon"
"733","Perpetual Passport"
"734","Special Repair Tool"
"750","Digifuse"
"759","Dainty Bottle"
"760","Suit Material"
"761","Devidramon Venom"
"762","Neptunemon's Ring"
"763","Venusmon's Cure"
"764","Cell Key"
"765","Parrotmon's Feather"
"766","Factory Keycard"
"767","PlatinumNumemon's Jewelry"
"768","Green Aquatic Plant"
"769","Pink Aquatic Plant"
"770","Yellow Aquatic Plant"
"771","Purple Aquatic Plant"
"772","Melodious Melon"
"773","Spirit Seed"
"774","Chrondigizoit Metal"
"775","Trash"
"776","Exhibition Participation Certificate"
"777","Gun Parts"
"778","Motorcycle Parts"
"779","Insulation Material"
"780","Heater"
"781","Brown Digizoid"
"782","Action Figure Hand Part"
"783","Action Figure Receipt"
"784","Poseable Action Figure"
"785","Vulcanusmon's Fanzine"
"786","Vulcanusmon's Action Figure A"
"787","Vulcanusmon's Action Figure B"
"788","Stolen Part"
"789","Neptunemon's Scarf"
"790","Wine of Peace"
"791","Heat Seed"
"792","Chill Seed"
"793","Storage Device with Supervisor's ID"
"794","Lab ID"
"795","Special Battery"
"796","Special Battery B"
"797","Hiroko Sagisaka's Moniker"
"798","Etemon's Soul Bit"
"799","Dr. Kuga's Core Dump"
"800","Blank Card"
"801","Default"
"802","Plain T-shirt"
"803","ADAMAS Colored T-shirt"
"804","Digimon Pixel Art T-shirt (Agumon)"
"805","Uniform of a Certain School"
"806","Public Safety Suit"
"807","Digimon Pixel Art T-shirt (Gabumon)"
"808","Digimon Pixel Art T-shirt (Gomamon)"
"809","Digimon Pixel Art T-shirt (Gatomon)"
"810","Digimon Pixel Art T-shirt (Tentomon)"
