string2 0,string 1
"minimap_marker_name_0010","Objective"
"minimap_marker_name_0020","Current Location"
"minimap_marker_name_0021","Enemy"
"minimap_marker_name_0030","Mission"
"minimap_marker_name_0031","Mission"
"minimap_marker_name_0032","Mission"
"minimap_marker_name_0040","Shop"
"minimap_marker_name_0041","Farm Item Shop"
"minimap_marker_name_0042","Skill Disc Shop"
"minimap_marker_name_0043","Item Shop"
"minimap_marker_name_0044","Equipment Shop"
"minimap_marker_name_0045","Card Shop"
"minimap_marker_name_0046","Costume Shop"
"minimap_marker_name_0047","Crafting Shop"
"minimap_marker_name_0048","Download Shop"
"minimap_marker_name_0050","Card Battle"
"minimap_marker_name_0051","Card Battle (Won)"
"minimap_marker_name_0060","Closet"
"minimap_marker_name_0070","Taxi Stand"
"minimap_marker_name_0080","Locomon Station"
"minimap_marker_name_0090","Blimpmon Port"
"minimap_marker_name_0100","Change Areas"
"minimap_marker_name_0110","Flying Digimon Port"
"minimap_marker_name_0120","DigiCo-Op"
"minimap_marker_name_0130","Ladder"
"minimap_marker_name_0140","Elevator"
"minimap_marker_name_0150","Door"
"minimap_marker_name_0160","In-Between Theater"
"minimap_marker_name_0170","Outer Dungeon"
"minimap_marker_name_0175","Outer Dungeon (Cleared)"
"minimap_marker_name_0180","Change Floors"
"minimap_marker_name_0190","Change Locations"
"minimap_marker_name_0200","Base"
"minimap_marker_name_0210","Train"
"minimap_marker_name_0220","Mirei"
"minimap_marker_name_0221","Door of Truth"
"minimap_marker_name_0230","Arena"
