string2 0,string 1
"1","T-shirts are going missing! Is this an anomalous 
phenomenon? Come to Inori's pop's office, and I'll fill 
you in!"
"2","I received a mysterious message, and I'm trying to 
figure it out. Come to Inori's pop's office to help me!"
"3","There's information about a mysterious phenomenon 
in Shinjuku Park! Let's meet up at the Waterfall Plaza
in the park!"
"11","So the sea was purified... But I wonder how our friends fare now..."
"12","Unused"
"13","I still have some Blue Chrondigizoit Metal left over, and
there is a favor I would like to ask of you. Could you
come to the throne?"
"14","Unused"
"15","Unused"
"16","Unused"
"18","I'm here all alone now. I'm having trouble with 
something, so can you come to Abyss Beach to help?"
"19","Help! Me trapped in Abyss Sanctuary prison! 
Me hope somebody gets this!"
"24","Ouch... I've been attacked by bees... What a day! I'll be
waiting for you at Shade Tree Pier. Can you come talk?"
"26","Unused text"
"27","Unused text"
"29","Having a band would make the party more lively. 
I need your help. I'll be waiting for you in Gear Forest
village."
"30","Gear Forest may be in danger because of those bees! 
Please, come to the village!"
"31","There seems to be a lot of fun hustle and bustle in
Gear Forest Village these days, but I cannot leave the
sanctuary, so I fear I am missing out..."
"32","We're protectin' the peace of the forest! We're gonna 
start our patrol from the Floating Island Plains!"
"33","Us brothers are gonna make the forest peaceful again!
Those leftover Titans are as good as gone from the
Floating Rock Islands!"
"38","I've got a big favor to ask you. Could you stop by the 
shop when you're in Central Town?"
"39","My precious hammer is in trouble... My hammer is 
my life! Come to the shop in Central Town. I'm 
begging you!"
"40","Unused text"
"41","My friend who looks after Central Tower hasn't come 
back. We were supposed to meet downtown. Are they
slacking off or something?"
"42","I can't get a Parrotmon plume because the Titans are in
the way! Maybe I should go downtown and rethink the
plan."
"43","We're gonna get PlatinumNumemon's jewelry this time
fer sure! If anybody wants to come with us, meet us
downtown in Central Town!"
"44","Unused text"
"45","Unused text"
"46","Unused text"
"47","Unused text"
"48","Unused text"
"49","Unused text"
"50","Unused text"
"52","Unused text"
"53","Unused text"
"55","Hmm... Can love really change a person, I wonder...?
Hey, can you come and talk for a bit? I'll be at my place
in downtown Central Town."
"56","Hmm... I still don't get it... I wanna talk about it some
more, so come to Rebellion Village."
"57","This feeling... I have to do something about it. Come
meet me in Rebellion Village."
"59","I want to go on a trip with Blimpmon. I can't stay in 
Central Town forever!"
"60","I can't go on like this...! I think I need your advice.
I'll be waiting in Central Town."
"61","Unused text"
"62","Unused text"
"63","Unused text"
"70","Unused text"
"71","Unused text"
"72","I was able to get a reservation with that famous fortune 
teller. Let's go together! Hurry to the coffee shop at the 
Koshu-Kaido Intersection!"
"73","Unused text"
"74","Unused text"
"77","Factorial Town's production line is inoperative... We're
short of materials and Chrondigizoit..."
"78","BLIMPMON CRASHED IN FACTORIAL TOWN AND NEEDS
REPAIR."
"82","I obtained a part for a most excellent action figure, 
but I need some advice about it. Come see me in the 
Factorial Core."
"83","Unused text"
"84","Unused text"
"87","I know they're not used to this world, but I didn't think 
we'd have to get the help of humans... Ah, well. Please 
come to the theater VIP room."
"88","Can you stop by the VIP room? I need to ask you a 
favor. It shouldn't be a bad deal for you, either."
"89","The helpers I brought are in the Paradise Colosseum. 
You should go see them and remind them of their role."
"90","I've confirmed an anomalous phenomenon! But I have a 
feeling it's a little complicated. I'm in the back alleys of 
Akihabara. Come find me!"
"91","We were running away from something scary, but my
friend didn't make it! I'm in Central Town. Please help!"
"92","I managed to arrive at Central Tower on time... but
everyone in this world is so strong that I'm feeling a
bit unsure of myself."
"93","I'll defeat the immortal steed of the Dark Garden, and in
so doing reclaim my confidence as a knight!"
"94","Something strange is going on in Lord Plutomon's castle,
but I'm too scared to investigate... Someone, please help!"
"98","Hey, come to Central Tower! I wanna show you all the
Royal Knights gathered here."
"99","I, Gallantmon, came to Factorial Town to fix my 
equipment, but I did not expect to be stopped here... 
Hmm."
"100","I'm with WereGarurumon in the sanctuary of the Gear
Forest. I wonder why he hates humans so much..."
"101","I have come all this way to Factorial Town, but I cannot
get my armor fixed. I need your help!"
"102","I came to the Abyss Sanctuary to repair my armor, but
how do I get a meeting with Neptunemon?"
"103","I got a tip about something sus going on! Something
about phase electron lifeform sightings... The tip sounds
kinda sus, too. I'll give you the deets at the office!"
"104","I encountered an unidentified flying object in 
Akihabara. Can you lend me a hand? I'll be waiting at 
the Electric Town South Exit."
"105","Here I am at Central Tower, yet LordKnightmon is 
nowhere to be found. Most worrisome..."
"106","Dynasmon and LordKnightmon are having an argument in 
Central Tower and the noise is driving me mad. Would 
you try speaking to them?"
"108","To think that not a single one of them could notice
me... This is a first. And here I have come all this way
to Central Tower!"
"109","I was just relaxing in the Shaded Woods, and then 
this really strong-looking guy showed up!"
"111","Ugh, how boring. Where the heck has Jesmon wandered
off to? Didn't I say to meet at the Paradise Colosseum?"
"112","I am in line at Yaro-kei Ramen in Akihabara, but no matter
what I say, I always end up with the wrong order...."
"113","My friend is in a real fix! Come see me in the back alley in
Akihabara! Ya know the one!"
"114","Unused text"
"116","Unused text"
"117","Unused text"
"146","Another person has taken leave. We're severely lacking
manpower. The next site is the Electric Town South Exit...
Can someone give me an energy drink?"
"147","I heard a cosplayer went missing in Shinjuku Park. I
wanna investigate, so let's meet up at the Waterfall
Plaza."
"148","There are a few Digimon that are really afraid of humans.
I'll go to your house in Central Town to tell you all about it."
"150","I came all the way to Abyss Beach and no one is here... 
I wanna have fun with everyone in the ocean."
"149","Can you come here quick? I got a super creepy Digiline. 
Let's meet up at Vision Square in Higashi-Shinjuku!"
"151","Unused text"
"152","There's something I want to do and I need your help. 
I'll be waiting for you in downtown Central Town."
"153","Unused text"
"154","Unused text"
"155","Unused text"
