string2 0,string 1
"1","[Target: 1 enemy]"
"2","[Target: 1 ally]"
"3","[Target: 1 ally excluding user]"
"4","[Target: 1 enemy or ally]"
"5","[Target: All enemies]"
"6","[Target: All allies]"
"7","[Target: All allies excluding user]"
"8","[Target: All enemies or allies]"
"9","[Target: All]"
"10","[Target: User]"
"11","[Target: Random enemy]"
"12","[Target: Random ally]"
"13","[Target: Random]"
"14",""
"15",""
"16",""
"1014"," 
Performs {d1} physical attack at power {d0}{d2}."
"1015"," 
Performs {d1} magic attack at power {d0}{d2}."
"1016"," 
Performs {d1} speed attack at power {d0}{d2}."
"17",""
"18","{d1}% reduction to {d0}."
"19",""
"20",""
"21"," 
Recovers HP based on user's SPI."
"22","
Recovers {d1} by {d0}."
"23","
Recovers {d1} by {d0}%."
"24","({d0} element"
"25"," x {d0} hits"
"26"," x {d0}～{d1} hits"
"27","Always hits."
"28","{d0}% ACU."
"29","{d0}% CRT Rate."
"30","Recovers HP equal to {d0}% of damage dealt."
"31","Recovers SP equal to {d0}% of damage dealt."
"32","Recovers HP/SP equal to {d0}% of damage dealt."
"33","Receives {d0}% HP damage from attack recoil."
"34","Causes KO from attack recoil."
"35","The lower the user's {d0}, the greater the damage."
"36","The lower all allies' {d0}, the greater the damage."
"37","The lower the user's {d0}, the lower the damage."
"38","The lower all allies' {d0}, the lower the damage."
"39","The more battle members are KO'd, the greater the damage."
"40","The more allies are KO'd, the greater the damage."
"41","The more it's used, the greater the damage."
"42","The more rounds have passed, the greater the damage."
"43","The greater the user's stat buffs, the greater the damage."
"44","Revives from KO and recovers HP by {d0}%."
"45","Nullifies unfavorable compatibility."
"46","Inverts all stat changes of the target."
"47","Steals all stat changes from the target."
"48","Recovers beyond the target's Max HP."
"49","Consumes all SP."
"50","Nullifies unfavorable attribute compatibility."
"51","Attack treated as {d0}."
"52","If user is {d0}:"
"53","If target is affected by {d0}:"
"54","{d0} state"
"55","If target is {d0}:"
"56","If target is {d0} element:"
"57","If target's Generation is greater than user's:"
"58","If target's Generation is lesser than user's:"
"59","If target has already acted:"
"60","If target has yet to act:"
"61","If target's HP is {d0}% or higher:"
"62","If target's HP is {d0}% or less:"
"63","If target's SP is {d0}% or higher:"
"64","If target's SP is {d0}% or less:"
"65","If target is KO'd:"
"66","+{d0}% damage."
"67","Increased damage."
"68","{d0}% CRT Rate."
"69","Recovers user's HP by {d0}%."
"70","Recovers user's SP by {d0}%."
"71","Recovers user's HP/SP by {d0}%."
"72","Reduces target's SP by {d0}%."
"73","{d2} chance to apply {d1}."
"74","{d2} chance of {d1}."
"75","{d1}"
"76","Removes {d1}."
"77","Target"
"78","User"
"79","{d0} resistance"
"80","{d0} power"
"81","physical damage"
"82","magic damage"
"83","physical damage dealt"
"84","magic damage dealt"
"85","{n0}% boost to {d0} for {n1} turn(s)"
"86","{n0}% reduction to {d0} for {n1} turn(s)"
"87","{n0}% reduction to {d0}"
"88","boost to {d0}"
"89","reduction to {d0}"
"90","reduction to {d0}"
"91","stat changes"
"92","{n0}%"
"93",""
"94","{d0} {d1}"
"95","{fc9Causes Mode Change.}"
"96","HP"
"97","SP"
"98","HP/SP"
"99"," "
"100","/"
"102","Increased damage to targets with {d0} Trait."
