string2 0,string 1
"30011","Wolkenapalm I"
"30012","Wolkenapalm II"
"30013","Wolkenapalm III"
"30021","Burst Flame I"
"30022","Burst Flame II"
"30023","Burst Flame III"
"30031","Magma Fall I"
"30032","Magma Fall II"
"30033","Magma Fall III"
"30034","Ignition Flare I"
"30035","Ignition Flare II"
"30036","Ignition Flare III"
"30041","Aqua Pressure I"
"30042","Aqua Pressure II"
"30043","Aqua Pressure III"
"30051","Hydro Water I"
"30052","Hydro Water II"
"30053","Hydro Water III"
"30061","Ocean Wave I"
"30062","Ocean Wave II"
"30063","Ocean Wave III"
"30064","Tidal Stream I"
"30065","Tidal Stream II"
"30066","Tidal Stream III"
"30071","Crescent Leaf I"
"30072","Crescent Leaf II"
"30073","Crescent Leaf III"
"30081","Thron Strike I"
"30082","Thron Strike II"
"30083","Thron Strike III"
"30091","Rune Forest I"
"30092","Rune Forest II"
"30093","Rune Forest III"
"30094","Needle Plant I"
"30095","Needle Plant II"
"30096","Needle Plant III"
"30101","Icicle Edge I"
"30102","Icicle Edge II"
"30103","Icicle Edge III"
"30111","Frozen Bullet I"
"30112","Frozen Bullet II"
"30113","Frozen Bullet III"
"30121","Lethal Blizzard I"
"30122","Lethal Blizzard II"
"30123","Lethal Blizzard III"
"30124","Diamond Dust I"
"30125","Diamond Dust II"
"30126","Diamond Dust III"
"30131","Nanomachine Break I"
"30132","Nanomachine Break II"
"30133","Nanomachine Break III"
"30141","Shock Plasma I"
"30142","Shock Plasma II"
"30143","Shock Plasma III"
"30151","Thunder Fall I"
"30152","Thunder Fall II"
"30153","Thunder Fall III"
"30154","Lightning Claw I"
"30155","Lightning Claw II"
"30156","Lightning Claw III"
"30161","Comet Hammer I"
"30162","Comet Hammer II"
"30163","Comet Hammer III"
"30171","Gaia Blaster I"
"30172","Gaia Blaster II"
"30173","Gaia Blaster III"
"30181","Awesome Quake I"
"30182","Awesome Quake II"
"30183","Awesome Quake III"
"30184","Stone Cleave I"
"30185","Stone Cleave II"
"30186","Stone Cleave III"
"30191","Wind Claw I"
"30192","Wind Claw II"
"30193","Wind Claw III"
"30201","Sonic Shot I"
"30202","Sonic Shot II"
"30203","Sonic Shot III"
"30211","Gale Storm I"
"30212","Gale Storm II"
"30213","Gale Storm III"
"30214","Tempest I"
"30215","Tempest II"
"30216","Tempest III"
"30221","Crush Blade I"
"30222","Crush Blade II"
"30223","Crush Blade III"
"30231","Thruster Metal I"
"30232","Thruster Metal II"
"30233","Thruster Metal III"
"30241","Full Metal Pile I"
"30242","Full Metal Pile II"
"30243","Full Metal Pile III"
"30244","Iron Fist I"
"30245","Iron Fist II"
"30246","Iron Fist III"
"30251","Saint Knuckle I"
"30252","Saint Knuckle II"
"30253","Saint Knuckle III"
"30261","Holy Light I"
"30262","Holy Light II"
"30263","Holy Light III"
"30271","Shine Burst I"
"30272","Shine Burst II"
"30273","Shine Burst III"
"30274","Angel Ladder I"
"30275","Angel Ladder II"
"30276","Angel Ladder III"
"30281","Shadow Fang I"
"30282","Shadow Fang II"
"30283","Shadow Fang III"
"30291","Nightmare I"
"30292","Nightmare II"
"30293","Nightmare III"
"30301","Hell Crusher I"
"30302","Hell Crusher II"
"30303","Hell Crusher III"
"30304","Soul Fear I"
"30305","Soul Fear II"
"30306","Soul Fear III"
"30311","Heavy Strike I"
"30312","Heavy Strike II"
"30313","Heavy Strike III"
"30321","Power Energy I"
"30322","Power Energy II"
"30323","Power Energy III"
"30331","Void Ray I"
"30332","Void Ray II"
"30333","Void Ray III"
"30334","Lunatic Gate I"
"30335","Lunatic Gate II"
"30336","Lunatic Gate III"
"31011","Heal"
"31012","X-Heal"
"31021","Aura"
"31022","X-Aura"
"31031","Revive"
"31032","X-Revive"
"31041","Meditator"
"31042","Normalize"
"31051","Dispel"
"31061","Restore"
"32011","Attack Charge"
"32021","Guard Charge"
"32031","Magic Charge"
"32041","Mental Charge"
"32051","Speed Charge"
"32061","Critical Charge"
"32071","Attack Field"
"32081","Guard Field"
"32091","Magic Field"
"32101","Spirit Field"
"32111","Speed Field"
"32121","Critical Field"
"32131","Attack Bind"
"32141","Guard Bind"
"32151","Magic Bind"
"32161","Spirit Bind"
"32171","Speed Bind"
"32181","Critical Bind"
"32191","Attack Break"
"32201","Guard Break"
"32211","Magic Break"
"32221","Mental Break"
"32231","Speed Break"
"32241","Critical Break"
"33011","Venom Trap"
"33021","Panic Wisp"
"33031","Ripping Net"
"33041","Idle Bubble"
"33051","Texture Blow"
"33061","Character Reversal"
"34011","Hate Charge"
"34021","Acceleration Boost"
"34031","Spell Boost"
"34041","Reset Body"
"34051","Attack Reflect"
"34061","Magic Reflect"
"34071","Curse Barrier"
"34081","Status Barrier"
"34091","Safety Guard"
