string2 0,string 1
"1","Unlocks Valor-based bonds with your Digimon, allowing you to
enhance Brave, Zealous, Daring, and Reckless Digimon."
"2","Boosts the SPD of Brave, Zealous, Daring, and Reckless Digimon by
{d6}%."
"3","Boosts the SPD of Brave, Zealous, Daring, and Reckless Digimon by
{d6}%."
"4","Boosts the SPD of Brave, Zealous, Daring, and Reckless Digimon by
{d6}%."
"5","Boosts the EXP gained in battle by Brave, Zealous, Daring, and
Reckless battle and reserve Digimon by {d0}% for each Agent Rank."
"6","Boosts the appearance rate of rare Personality Skills for Brave,
Zealous, Daring, and Reckless Digimon when changing Personalities."
"7","Boosts ATK-augmenting equipment effects on Reckless Digimon by
{d0}%."
"8","Boosts the SP of Brave, Zealous, Daring, and Reckless Digimon by
{d1}%."
"9","Boosts the SP of Brave, Zealous, Daring, and Reckless Digimon by
{d1}%."
"10","When Digivolving Brave, Zealous, Daring, and Reckless Digimon,
reduces required stat values by {d0}% if current Personality and
Digivolution target's Base Personality match."
"11","Boosts the SPI of Brave, Zealous, Daring, and Reckless Digimon by
{d5}%."
"12","Boosts the initial Talent of each Generation when Converting Brave,
Zealous, Daring, and Reckless Digimon by {d0}."
"13","Boosts the SP of Brave, Zealous, Daring, and Reckless Digimon by
{d1}%."
"14","Boosts the SP/SPD of Reckless Digimon by {d1}%."
"15","Boosts the DEF of Brave, Zealous, Daring, and Reckless Digimon by
{d3}%."
"16","Reduces the training time of Brave, Zealous, Daring, and Reckless
Digimon by {d0}%."
"17","Boosts the damage dealt by Extra Strikes of Brave, Zealous, Daring,
and Reckless Digimon by {d0}%."
"18","When Digivolving Brave, Zealous, Daring, and Reckless Digimon,
reduces required stat values by {d0}% if current Personality and
Digivolution target's Base Personality match."
"19","Boosts the EXP gained in battle by Brave, Zealous, Daring, and
Reckless battle and reserve Digimon by {d0}% for each Agent Rank."
"20","Boosts the DEF of Brave, Zealous, Daring, and Reckless Digimon by
{d3}%."
"21","Zealous Digimon recover HP by {d0}% when Guarding."
"22","Boosts the DEF of Brave, Zealous, Daring, and Reckless Digimon by
{d3}%."
"23","Boosts the HP of Brave, Zealous, Daring, and Reckless Digimon by
{d0}%."
"24","Reduces the skill SP cost of Brave, Zealous, Daring, and Reckless
Digimon by {d0}% for each Agent Rank."
"25","Boosts the HP of Brave, Zealous, Daring, and Reckless Digimon by
{d0}%."
