string2 0,string 1
"trophy_name_001","My Very First Battle"
"trophy_name_002","The Secrets of Conversion"
"trophy_name_003","Signs of an Anomaly"
"trophy_name_004","The Shinjuku Inferno"
"trophy_name_005","The Time Stranger"
"trophy_name_006","Welcome to the In-Between Theater"
"trophy_name_007","Visitor from the Digital World"
"trophy_name_008","The World Where Digimon Live"
"trophy_name_009","A Moment's Respite"
"trophy_name_010","Power Uninterrupted"
"trophy_name_011","The Lonely Warrior"
"trophy_name_012","The Great Guardian"
"trophy_name_013","Back to the Real World...?"
"trophy_name_014","A Token of Peace"
"trophy_name_015","Peace on the High Seas"
"trophy_name_016","Breath of the Great Tree"
"trophy_name_017","SDGP Champion"
"trophy_name_018","PCGT Champion"
"trophy_name_019","Central Town Reclaimed!"
"trophy_name_020","Historical Truths"
"trophy_name_021","Action Figures FTW"
"trophy_name_022","A Bond Restored"
"trophy_name_023","The Final Light"
"trophy_name_024","Aegiomon's Vow"
"trophy_name_025","To a World Far, Far Away"
"trophy_name_026","The Pinnacle of Existence"
"trophy_name_027","A Mighty Blow"
"trophy_name_028","Unrivaled Strength"
"trophy_name_029","Initial Digivolution"
"trophy_name_030","Maiden De-Digivolution"
"trophy_name_031","Hard Work Pays Off"
"trophy_name_032","Card Battle Debut"
"trophy_name_033","A Card of Legend"
"trophy_name_034","Darkness Awakens"
"trophy_name_035","Beyond Digivolution"
"trophy_name_036","An Agent's Proclivities"
"trophy_name_037","Elite Agent"
"trophy_name_038","Grand Slam"
"trophy_name_039","Gajillionaire"
"trophy_name_040","Dreams or Reality?"
"trophy_name_041","All Eyes on Me!"
"trophy_name_042","Silent Envy"
"trophy_name_043","Royal Knights, Assemble!"
"trophy_name_044","The In-Between Explorer"
"trophy_name_045","Problem Solver"
"trophy_name_046","Agent of Perfection"
"trophy_explanation_001","Defeat an enemy for the first time."
"trophy_explanation_002","Convert a Digimon with a Scan Rate of 200%."
"trophy_explanation_003","Witness signs of an anomaly."
"trophy_explanation_004","Get caught in the Tokyo Metropolitan Government Building explosion."
"trophy_explanation_005","Travel through time into the past."
"trophy_explanation_006","Visit the special dimension that exists between space-time worlds known as the In-Between."
"trophy_explanation_007","Befriend Minervamon."
"trophy_explanation_008","Visit the Digital World."
"trophy_explanation_009","Reclaim Central Tower."
"trophy_explanation_010","Restore the reactor located in the Factorial Area."
"trophy_explanation_011","Drive the Titans from the Abyss Area."
"trophy_explanation_012","Digivolve into Aegiochusmon."
"trophy_explanation_013","Return to Shinjuku eight years in the future."
"trophy_explanation_014","Deliver the wine to Neptunemon."
"trophy_explanation_015","Rewrite the Abyss Area's destiny."
"trophy_explanation_016","Rewrite the Gear Forest's destiny."
"trophy_explanation_017","Become the SDGP Champion."
"trophy_explanation_018","Become the PCGT Champion."
"trophy_explanation_019","Reclaim Central Town."
"trophy_explanation_020","Get the truth from Plutomon."
"trophy_explanation_021","Rescue Vulcanusmon."
"trophy_explanation_022","Free Junomon from the spell."
"trophy_explanation_023","Light the light clock's final light."
"trophy_explanation_024","Renew the vow that Aegiomon pledged under the starry sky."
"trophy_explanation_025","Bring an end to the story."
"trophy_explanation_026","Complete the game on Mega + difficulty."
"trophy_explanation_027","Achieve a rating of ""EXCELLENT!!!"" when attacking an enemy's weak point."
"trophy_explanation_028","Defeat an enemy of Ultimate or greater Generation with a single DigiAttack."
"trophy_explanation_029","Digivolve a Digimon for the first time."
"trophy_explanation_030","De-Digivolve a Digimon for the first time."
"trophy_explanation_031","Train Digimon on the Digifarm 30 times."
"trophy_explanation_032","Win a card battle."
"trophy_explanation_033","Obtain a legendary card."
"trophy_explanation_034","Digivolve into Aegiochusmon: Dark."
"trophy_explanation_035","Register Chronomon: Destroy Mode in the Field Guide."
"trophy_explanation_036","Collect ten or more costumes."
"trophy_explanation_037","Raise your Agent Rank to the maximum level."
"trophy_explanation_038","Become champion of The Greatest OMNI Carnival."
"trophy_explanation_039","Spend 1,000,000 YEN in shops."
"trophy_explanation_040","Collect all of Hiroko Sagisaka's Monikers."
"trophy_explanation_041","Collect all of Etemon's Soul Bits."
"trophy_explanation_042","Collect all of Dr. Kuga's Core Dumps."
"trophy_explanation_043","Summon all of the Royal Knights to Central Tower."
"trophy_explanation_044","Discover all of the Outer Dungeons."
"trophy_explanation_045","Solve all of the Outer Dungeons' mysteries."
"trophy_explanation_046","Obtain all of the trophies."
"trophy_explanation_047","Obtain all of the achievements."
"trophy_explanation_048","Obtain all of the achievements."
"activity_001","Solve the anomalous phenomena."
"Subcategory_Name_001","Main Story"
