string2 0,string 1
"tutorial_exp_debug",""
"tutorial_exp_notext_01_001",""
"tutorial_exp_AdditionalAttack_01_001","{fc9Attacking and using Skills against the enemy sometimes results in a
chance for a follow-up attack. Press {decision} to trigger Extra Strikes.}

High Bond and attack favorability increase its probability rate."
"tutorial_exp_AdditionalAttack_01_002","When Extra Strikes triggers, a circle will appear on the HUD.

{fc9Press {decision} when the circle reaches the center to cause a ""Strike Effect.""}"
"tutorial_exp_AdditionalAttack_01_003","Strike Effects have a variety of additional effects such as healing allies
or inflicting status abnormalities on enemies.

{fc9The effects vary depending on Digimon attribute and Personality.}
Try out different combinations to use in battle."
"tutorial_exp_Compatibility_01_001","Damage is calculated based on Attribute compatibility {fc9(the
compatibility matrix of {is28}{image(ui_icon_type_000)} Vaccine > {is28}{image(ui_icon_type_040)} Virus > {is28}{image(ui_icon_type_020)} Data)}
as well as Elemental Resistances and Traits."
"tutorial_exp_Compatibility_01_002","Attack compatibility can be confirmed during target selection,
where {fc9damage output in %} will be displayed along with
{fc9corresponding arrow icons} to indicate effects based on Attributes,
Elements, and Traits."
"tutorial_exp_Compatibility_01_003","You can also view an enemy's compatibility details via {fc9{l2} Analyze}.

When facing enemies with unfavorable compatibility, consider
switching to Digimon with favorable compatibility."
"tutorial_exp_Compatibility_01_004","Detailed information on Attributes, Elements, and Traits can be
found via Digivice > System > Tutorials > Battle, under:
{fc9 - Attribute Compatibility
 - Elements
 - Traits}"
"tutorial_exp_BattleCrossarts_01_001","A battle action which can be employed by agents.

By consuming a massive amount of energy, the agent can unleash 
powerful Cross Arts capable of changing the course of battle."
"tutorial_exp_BattleCrossarts_01_002","{fc9When CP (Critical Points) charge to max during battle, 
you will enter a ""Cross Art Standby"" state. 
Press {r2} to pull the trigger and fire off the Cross Art.}"
"tutorial_exp_Escape_01_001","{fc9Press {r1} in battle to flee from hostile Digimon.}
There is no shame for an agent to exercise discretion in the course
of a mission.

However, fleeing constantly will gain you nothing. And there may be
enemies that you can't escape from. That is why it is also important
to gain experience for such occasions.

Balance your decisions carefully."
"tutorial_exp_Guard_01_001","A battle command. Hold {up} to command your partner Digimon to guard on their turn.
{fc9Guarding greatly reduces damage until their next turn.}

Guarding is effective when you can't avoid attacks from an enemy
with unfavorable compatibility or powerful Special Skills."
"tutorial_exp_Analysis_01_001","A battle command that allows you to view enemy Digimon's stats.

{fc9Information such as Attribute, Element and Traits should provide
hints for determining favorable or unfavorable compatibility.}

Put Analyze to good use when planning your battle strategies."
"tutorial_exp_CpAdd_01_001","{fc9In order to use Cross Arts, you must charge your CP (Critical Points) to the max.}

When charged to the max, you will enter a ""Cross Art Standby"" state."
"tutorial_exp_CpFluctuation_01_001","CP (Critical Points) increase when you perform actions in battle,
such as attack or heal.

{fc9The best way to earn CP is to strike an enemy's weak point.}"
"tutorial_exp_CpFluctuation_01_002","Selecting your Digimon and skills with compatibilities between 
Attributes and Elements in mind will make it easier to charge CP.

{fc9Any CP you have charged will carry over to the next battle.}"
"tutorial_exp_Dead_01_001","This occurs when HP reaches zero. Digimon that have been
KO'd are incapable of combat, so you must attend to them as
soon as possible.

- Use a revival item/skill to revive the ally.
- Replace the KO'd ally with a reserved member.

KO'd Digimon are revived after the battle with only 1 HP, so
remember to heal them before proceeding."
"tutorial_exp_AttackCategory_01_001","There are two types of attacks: ""physical"" and ""magic"".

{fc9Physical attacks are effective against foes with low DEF.
For enemies with low SPI, you'll want to use magic attacks.}

Some Digimon are resistant to both physical and magic attacks.
Be sure to check your foes' characteristics as you fight.

{is28}{image(ui_icon_btlStatus_044)}: Reduces physical damage.
{is28}{image(ui_icon_btlStatus_045)}: Reduces magic damage."
"tutorial_exp_Status_01_001","Make sure to carefully review the data of your partner Digimon.

Not only will you be better able to understand their hidden powers,
but you're bound to find hints on how to better train them as well.

You might even find inspiration for some new strategies.

{fc9Digimon can also be enhanced by changing their Attachment Skills
or equipment. If you obtain any Skill Discs or equipment, be sure to
equip them.}"
"tutorial_exp_Status_02_001","ATK: Affects how much {fc9{is28}{image(ui_icon_tab_0001)} physical damage} is dealt to enemies.
DEF: Affects how much {fc9{is28}{image(ui_icon_tab_0001)} damage from enemy physical attacks} is
reduced.
INT: Affects how much {fc9{is28}{image(ui_icon_tab_0002)} magic damage} is dealt to enemies.
SPI: Affects how much {fc9{is28}{image(ui_icon_tab_0002)} damage from enemy magic attacks} is
reduced and how much {fc9{is28}{image(ui_icon_tab_0003)} HP recovery skills heal}.
SPD: Affects {fc9turn order} in battle.
CRT Rate: Affects the rate at which {fc9critical hits (1.3x damage)} occur."
"tutorial_exp_Status_03_001","{fc9{is28}{image(ui_icon_type_000)} Vaccine}
{fc9{is28}{image(ui_icon_type_020)} Data}
{fc9{is28}{image(ui_icon_type_040)} Virus}
{fc9{is28}{image(ui_icon_type_060)} Free}
{fc9{is28}{image(ui_icon_type_080)} Variable}
{fc9{is28}{image(ui_icon_type_100)} Unknown}
In-Training I and II Digimon are {fc9{is28}{image(ui_icon_type_120)} No Data}.

You can confirm a Digimon's Attribute via their stats screen."
"tutorial_exp_Status_04_001"," - Favorable compatibility:{fc9 2x damage}
 - Unfavorable compatibility:{fc9 0.5x damage}
 - {is28}{image(ui_icon_type_120)} {fc9No Data}, {is28}{image(ui_icon_type_060)} {fc9Free}, {is28}{image(ui_icon_type_080)} {fc9Variable}, and {is28}{image(ui_icon_type_100)} {fc9Unknown} have no
favorability toward other Attributes."
"tutorial_exp_Convert_01_001","Create new partner Digimon based on battle data.

{fc9Digimon can be Converted once their Scan Rate is between 
100% to 200% (the maximum).}"
"tutorial_exp_Convert_01_002","Defeating a Digimon in battle increases the Scan Rate of that Digimon.
When you find a Digimon you are looking for, keep on battling it.
You can check the Scan Rate of each Digimon on your 
Digivice under ""Digimon > Convert.""

{fc9The closer the Scan Rate is to 200% at the time of Conversion, 
the higher the new Digimon's Talent and max HP will be.}"
"tutorial_exp_Change_01_001","Digimon that participate in battle are split into three categories:

{fc9Battle Members}: Digimon which enter combat at the start of battle
{fc9Reserve Members}: Digimon which you can substitue battle members
for during battle
{fc9Guest Members}: Digimon which have temporarily joined your party
and conduct battle independently

{fc9Strategize and change between battle and reserve members in order
to make effective use of enemy weaknesses.}"
"tutorial_exp_Evolution_01_001","As Digimon gain experience, they can undergo significant changes 
to their appearance and nature that make them even stronger. 
These sudden transformations are referred to as ""Digivolution."""
"tutorial_exp_Evolution_01_002","{fc9There are certain conditions for Digivolution:
- Meet the required stats (excluding increases from equipment).
- Meet the required Agent Rank}.

Collect data on as many Digimon as possible and use it to uncover 
new Digivolution results."
"tutorial_exp_Evolution_01_003","Conversely, the process of compressing a 
Digimon's data is referred to as ""De-Digivolution.""
This is an effective means of Digivolving a 
particular Digimon into a different specimen."
"tutorial_exp_Evolution_01_004","{fc9One of the following conditions must be met in 
order to De-Digivolve a Digimon:
- The resulting De-Digivolution Digimon is 
registered in your Field Guide, or
- The resulting De-Digivolution Digimon is 
of the same Personality.}"
"tutorial_exp_Evolution_01_005","There are secret techniques for Digivolution and De-Digivolution.

Navigate to System > Tutorial > Training on your Digivice to view:
{fc9Digivolution Technique 1: Talent,
Digivolution Technique 2: Cumulative Value, and
Digivolution Technique 3: Bond.}"
"tutorial_exp_SkillChange_01_001","Your partner Digimon are capable of equipping ""Attachment Skills,""
allowing you to change their abilities at will.

{fc9Up to 4 skills can be equipped using ""Skill Discs.""}

Skill Discs can be obtained in a variety of ways, such as purchasing
them in shops, finding them in treasure chests, or gaining them
when your Digimon level up."
"tutorial_exp_SkillChange_01_002","Set your Digimon's Attachment Skills by navigating your Digivice
to Digimon > Setup > {sub2} Show Stats/Skills, then selecting a slot
under Attachment Skills.

{fc9Attachment Skills (Skills Discs) can be removed and re-equipped
to other Digimon.}

Use Attachment Skills to compensate for weaknesses, to further
enhance strengths, or to counter compatibility issues."
"tutorial_exp_EquipmentChange_01_001","""Equipment"" consists of upgrade patches which enhance your
Digimon's capabilities.

Set your Digimon's Equipment by navigating your Digivice to
Digimon > Setup > {sub2} Show Stats/Skills, then selecting a slot
under Equipment.

{fc9Equipment can be removed and re-equipped to other Digimon.}

Equipment can be obtained in a variety of ways, such as purchasing
them in shops or finding them in treasure chests. There are also
rumors of equipment that can only be obtained from particular
Digimon."
"tutorial_exp_Personality_01_001","This is an important factor that determines a Digimon's development.
Personality type determines which stats are more likely to receive
an increase.

Valor: {fc9ATK} increases easily, physical attacker type.
Amicability: {fc9DEF} increases easily, supporter type.
Philanthropy: {fc9SPI} increases easily, healer type.
Wisdom: {fc9INT} increases easily, magic attacker type.

{fc9To check Personality, display ""Digimon Personality Type"" using
{sub2} Toggle Info while the Digimon's status is open.}"
"tutorial_exp_Personality_01_002","Personality type influences a Digimon in several ways.

{fc9- It makes certain stats grow more.
- It changes the types of Personality Skills.
- It changes the impact of Strike Effect.}

Decide your Digimon's Personality type according to the direction
you wish to develop it in."
"tutorial_exp_Personality_01_003","A Digimon's initial Personality type is determined when it's Converted.

Which Personality type a Digimon will be born with is unknown, but
there seems to be a certain trend for each Digimon type.

{fc9Personality types can also be changed afterward.}
Every Digimon has a unique Personality."
"tutorial_exp_PersonalityChange_01_001","{fc9The Personality type of partner Digimon can be changed.}

Personality will change bit by bit via training on the Digifarm, or
depending on the content of your conversations or Digiline
interactions with the partner Digimon.

Though this takes time, your active communication is essential when
aiming to change Personalities."
"tutorial_exp_PersonalitySkill_01_001","Personality Skills are passive skills tied to the partner Digimon's
Personality type.

Some Personality Skills bring about various effects depending on
Personality type.

{fc9You can check a partner Digimon's Personality Skill in its stats.}"
"tutorial_exp_PersonalitySkillChange_01_001","Partner Digimon are capable of changing their Personality Skill.

In this situation, the partner Digimon will get an idea for a Personality
Skill and ask if it should make a change.

{fc9You should decide whether the Digimon keeps its current Personality
Skill or changes to the new one that it has suggested.}"
"tutorial_exp_DataReturn_01_001","Unfortunately, there will be times when you must say farewell
to your partner Digimon.

In order to do so, select ""Return to Data"" to return the Digimon
to its underlying data and convert it into funds.

{fc9Note that you'll permanently lose any Digimon that you
return to data.} Make sure to be careful when using this feature."
"tutorial_exp_Synthetic_01_001","This feature allows you to transfer one Digimon's data to another
through synthesis.

{fc9The resource data (material) Digimon will be converted into EXP to
be absorbed by the base data Digimon. A portion of its Talent and
cumulative stats will also be inherited.}

The source Digimon will be converted into data to be passed on to
the next Digimon."
"tutorial_exp_Friendship_01_001","Bond is a numerical representation of your relationship with your
partner Digimon.

Bond increases slightly over the course of your adventures with
the Digimon.

{fc9The higher a Digimon's Bond, the more times it is able to
inherit a cumulative stat when Digivolving and De-Digivolving,
thereby boosting its stats (up to 100 times max). Additionally,
Bond does not decrease with De-Digivolution.}"
"tutorial_exp_Friendship_01_002","How to Increase a Digimon's Bond

- Participate in battles.
- Talk to partner Digimon.
- Feed the Digimon at the farm."
"tutorial_exp_Talent_01_001","Talent is a numerical representation of a Digimon's level limit.

{fc9A Digimon's Talent increases upon Digivolving, and increases
even further when frequently participating in battle. Furthermore,
Talent does not decrease when Digivolving or De-Digivolving.}

Therefore, it is possible to develop even more powerful Digimon
through repeated Digivolution and De-Digivolution."
