string2 0,string 1
"tutorial_title_BattleBasic_01","Battle Basics"
"tutorial_title_AdditionalAttack_01","Extra Strikes"
"tutorial_title_Compatibility_01","Compatibility & Damage Calculation"
"tutorial_title_BattleCrossarts_01","Cross Arts"
"tutorial_title_Escape_01","Escape (Battle Command)"
"tutorial_title_Guard_01","Guard (Battle Command)"
"tutorial_title_Analysis_01","Analyze (Battle Command)"
"tutorial_title_OutoBattle_01",""
"tutorial_title_HighSpeedMode_01",""
"tutorial_title_Boss_01","Enemy CP"
"tutorial_title_Boss_02","Charging (Enemy Status Change)"
"tutorial_title_CpAdd_01","Critical Points (CP)"
"tutorial_title_CpFluctuation_01","Gaining CP"
"tutorial_title_Danger_01",""
"tutorial_title_Dead_01","KO"
"tutorial_title_Zombi_01","Reaper's Mist (Reduces Max HP)"
"tutorial_title_AttackCategory_01","Physical & Magic Attacks"
"tutorial_title_DigimonBasic_01",""
"tutorial_title_Status_01","Stats, Skills & Equipment"
"tutorial_title_Status_02","ATK/DEF/INT/SPI/SPD/CRT Rate"
"tutorial_title_Status_03","Attributes"
"tutorial_title_Status_04","Attribute Compatibility"
"tutorial_title_Convert_01","Conversion & Scan Rate"
"tutorial_title_Change_01","Battle Members & Reserve Members"
"tutorial_title_Evolution_01","Digivolution & De-Digivolution"
"tutorial_title_SkillChange_01","Attachment Skills"
"tutorial_title_EquipmentChange_01","Equipment"
"tutorial_title_Personality_01","Personality Types"
"tutorial_title_PersonalityChange_01","Changes in Personality Type"
"tutorial_title_PersonalitySkill_01","Personality Skills"
"tutorial_title_PersonalitySkillChange_01","Changes in Personality Skill"
"tutorial_title_DataReturn_01","Returning Digimon to Data"
"tutorial_title_Synthetic_01","Load Enhancements"
"tutorial_title_PartyAegiomon_01",""
"tutorial_title_PartyAegiomon_02","Aegiomon: Digivolution"
"tutorial_title_Friendship_01","Digivolution Technique 3: Bond"
"tutorial_title_Talent_01","Digivolution Technique 1: Talent"
"tutorial_title_BondsPoint_01","Anomaly Points"
"tutorial_title_BondsSkill_01","Agent Skills"
"tutorial_title_AgentLevel_01","Agent Rank"
"tutorial_title_CrossArtsChange_01","Unlocking & Changing Cross Arts"
"tutorial_title_Encounter_01","Encounters"
"tutorial_title_FieldAttack_01","DigiAttacks"
"tutorial_title_FieldAttack_02","Element-Specific DigiAttacks"
"tutorial_title_BackAttack_01",""
"tutorial_title_Convert_02",""
"tutorial_title_Treasurechest_01","Treasure Chests & Materials"
