string2 0,string 1
"101","Higashi-Shinjuku: Vision Square"
"102","Higashi-Shinjuku: Second Avenue"
"103","Shinjuku: Kabukicho, Theater Square"
"104","Shinjuku Underground Town: Subroad"
"105","Marunonaka Line: Shinjuku Station"
"106","Nakazawa Gourmet Coffee"
"107","Wall of Hope"
"108","Seibu-Shinjuku: Overbridge Intersection"
"109","Shinjuku: A Certain Back Alley"
"110","Shinjuku Station: East Gate"
"111","Shinjuku Underground: Promenade"
"151","Shinjuku Station: East Exit"
"152","Shinjuku Station: Jubancho Intersection"
"153","Seibu-Shinjuku: Overbridge East"
"155","Shinjuku Back Alley: In-Between Theater"
"201","Akihabara Station: Electric Town South Exit"
"203","Akihabara: A Certain Back Alley"
"250","Intersection beneath the Overpass"
"301","Tokyo Metropolitan Government Building: Exterior"
"302","Shinjuku Park: Waterfall Plaza"
"304","Nishi-Shinjuku: Tocho Chuo-dori Avenue"
"351","Nishi-Shinjuku: Nishi-Kaido Overbridge"
"352","Wall of Hope"
"401","Shinjuku: East Shopping District"
"402","Misono Detective Agency"
"403","Misono Home: Living Room"
"404","Misono Home: Attic"
"405","Misono Home: Roof"
"409","Misono Home: Back Alley"
"1003","Forgotten Rails 2"
"1001","Forgotten Rails"
"1002","Giant Pit"
"1101","Shinjuku Underground Waterway: North Block"
"1102","Shinjuku Underground Waterway: South Block"
"1103","Shinjuku Underground Reservoir"
"1104","Shinjuku Underground Waterway: Depths"
"1201","Shinjuku Underground Utility Conduit"
"1202","Shinjuku Underground Waterway: Lower Level"
"1203","Underground Passage 3"
"1204","Rebellion Village"
"1205","Rebellion Village: Merukimon's Room"
"1301","Special Forces Underground Base: Research Division"
"1302","Special Forces Underground Base: Restricted Area"
"1303","Special Forces Underground Base: Laboratory"
"1304","Special Forces Underground Base: Gantry"
"1305","Underground Cable Maintenance Conduit"
"1401","Tokyo Metropolitan Government Building: Entrance"
"1402","Tokyo Metropolitan Government Building: B1F"
"1403","Tokyo Metropolitan Government Building: 36F North Tower"
"1404","Tokyo Metropolitan Government Building: 24F North Wing"
"1405","Tokyo Metropolitan Government Building: 24F South Wing"
"1406","Tokyo Metropolitan Government Building: 36F South Tower"
"1407","Tokyo Metropolitan Government Building: Roof"
"10101","Cosmic Terminal"
"10102","Heat Cosmic: Redflame Area"
"10103","Heat Cosmic: Yellowflame Area"
"10104","Heat Cosmic: Whiteflame Area"
"10105","Heat Cosmic: Throne Room"
"10106","Chill Cosmic: New Moon Area"
"10107","Chill Cosmic: Crescent Moon Area"
"10108","Chill Cosmic: Half Moon Area"
"10109","Chill Cosmic: Throne Room"
"10201","Central Town: Station"
"10202","Central Town: Downtown"
"10203","Central Town: Shanty"
"10204","Warrior's Watering Hole"
"10205","Central Isle"
"10206","Central Tower: Entrance"
"10207","Central Tower: Steel Maze"
"10208","Central Tower: Steel Periphery"
"10209","Central Tower: Steel Maze"
"10210","Central Tower: Steel Point"
"10211","Central Town: Blimpmon Landing"
"10212","Central Tower: Steel Point"
"10217","Central Town: Spiral Waterway"
"10301","Abyss Surface"
"10302","Abyss Beach: Station"
"10303","Abyss Depths"
"10304","Abyss Sanctuary"
"10305","Abyss Sanctuary: Throne Room"
"10306","MasterBlimpmon: Gondola"
"10307",""
"10308","Lagoon House"
"10312","Abyss Beach: Village"
"10401","Gear Forest: Station"
"10402","Gear Forest: Floating Rock Islands"
"10403","Gear Forest: Shade Tree Pier"
"10404","Gear Forest Village"
"10405","Gear Forest: Shade Tree Pier"
"10406","Gear Forest: Sanctuary"
"10407","Gear Forest: Deep Woods"
"10412","Gear Forest: Floating Rock Islands"
"10501","Factorial Town: Station"
"10502","Factorial Area"
"10503","Factorial Tunnel: Mines"
"10504","Factorial Tunnel: Mines near Core"
"10505","Factorial Core"
"10506","Paradise Colosseum"
"10507","Paradise Colosseum: First Ring"
"10509","Paradise Colosseum: Second Ring"
"10511","Paradise Colosseum: Accessway"
"10513","Paradise Colosseum: Finals Ring"
"10521","Factorial Town: Station"
"10601","Terminal Otherside"
"10602","Palace Otherside"
"10603","Palace Otherside: West Passage"
"10604","Palace Otherside: East Passage"
"10605","Palace Otherside: Throne Room"
"10606","Guardian Terminal"
"10607","Guardian Terminal"
"10608","Guardian Palace"
"10609","Guardian Palace: Throne Room"
"10701","Dark Crevasse"
"10702","Dark Garden"
"10703","Dark Castle"
"10801","Temple of Beginnings"
"910901","Higashi-Shinjuku: Back Alley (8 Years Ago)"
"91020201","Digital World: Central Town (8 Years Ago)"
"91050101","Digital World: Factorial Town (8 Years Ago)"
"91030201","Digital World: Abyss Beach (8 Years Ago)"
"91040401","Digital World: Gear Forest Village (8 Years Ago)"
"91060601","Digital World: Guardian Palace (8 Years Ago)"
"910902","Higashi-Shinjuku: Back Alley (Present Day)"
"91010102","Digital World: Cosmic Terminal (Present Day)"
"91020202","Digital World: Central Town (Present Day)"
"91050102","Digital World: Factorial Town (Present Day)"
"91060602","Digital World: Guardian Palace (Present Day)"
"91030202","Digital World: Abyss Beach (Present Day)"
"91040402","Digital World: Gear Forest Village (Present Day)"
"91120402","Rebellion Village (Present Day)"
"91070102","Digital World: Dark Crevasse (Present Day)"
"99999","Entrance"
