int 0,int 1,empty 2,int 3,empty 4,int 5,int 6,int 7,int 8,int 9,int 10
2001,631,"",143,"",0,-1,-1,-1,-1,-1
2002,143,"",16,"",0,-1,-1,-1,-1,-1
2003,143,"",598,"",0,-1,-1,-1,-1,-1
2004,143,"",93,"",0,-1,-1,-1,-1,-1
2005,143,"",218,"",0,-1,-1,-1,-1,-1
2006,143,"",712,"",0,-1,-1,-1,-1,-1
2007,90,"",712,"",0,-1,-1,-1,-1,-1
2008,97,"",712,"",0,-1,-1,-1,-1,-1
2009,712,"",210,"",0,-1,-1,-1,-1,-1
2010,712,"",239,"",0,-1,-1,-1,-1,-1
2011,712,"",327,"",0,-1,-1,-1,-1,-1
2012,396,"",327,"",0,-1,-1,-1,-1,-1
2013,397,"",327,"",0,-1,-1,-1,-1,-1
2014,327,"",175,"",0,-1,-1,-1,-1,-1
2015,327,"",771,"",0,-1,-1,-1,-1,-1
2016,327,"",774,"",0,-1,-1,-1,-1,-1
2017,138,"",175,"",0,-1,-1,-1,-1,-1
2018,175,"",757,"",0,-1,-1,-1,-1,-1
2019,631,"",713,"",0,-1,-1,-1,-1,-1
2020,713,"",17,"",0,-1,-1,-1,-1,-1
2021,713,"",43,"",0,-1,-1,-1,-1,-1
2022,713,"",222,"",0,-1,-1,-1,-1,-1
2023,713,"",396,"",0,-1,-1,-1,-1,-1
2024,713,"",579,"",0,-1,-1,-1,-1,-1
2025,713,"",714,"",0,-1,-1,-1,-1,-1
2026,391,"",714,"",0,-1,-1,-1,-1,-1
2027,234,"",714,"",0,-1,-1,-1,-1,-1
2028,714,"",6,"",0,-1,-1,-1,-1,-1
2029,714,"",41,"",0,-1,-1,-1,-1,-1
2030,714,"",715,"",0,-1,-1,-1,-1,-1
2031,30,"",715,"",0,-1,-1,-1,-1,-1
2032,43,"",715,"",0,-1,-1,-1,-1,-1
2033,715,"",60,"",0,-1,-1,-1,-1,-1
2034,715,"",182,"",0,-1,-1,-1,-1,-1
2035,182,"",757,"",0,-1,-1,-1,-1,-1
2036,44,"",182,"",0,-1,-1,-1,-1,-1
2037,223,"",182,"",0,-1,-1,-1,-1,-1
2038,224,"",182,"",0,-1,-1,-1,-1,-1
