int 0,int 1,int 2,int 3,int 4,int 5,int 6,empty 7,int 8,empty 9,int 10,empty 11,empty 12,int 13,empty 14,empty 15,int 16,empty 17,empty 18,int 19,empty 20,empty 21,int 22,bool 23,bool 24,int 25,int 26,int 27,int 28,int 29,int 30,int 31,empty 32
1,0,-1,-1,-1,0,1,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,1,0,0,""
2,3,100,1000,-1,1,2,"",-1,"",0,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
3,1,10,310,0,2,3,"",10003,"",10034,"","",10134,"","",-1,"","",0,"","",12003,1,0,0,0,-1,-1,2,6,0,""
5,1,20,308,2,4,5,"",10005,"",10037,"","",10137,"","",-1,"","",0,"","",12005,1,1,0,2,3,5,0,40,0,""
6,1,30,307,3,5,6,"",10006,"",10036,"","",10136,"","",-1,"","",0,"","",12006,1,1,0,2,3,5,2,40,0,""
7,1,20,306,4,6,7,"",10007,"",10035,"","",10135,"","",-1,"","",0,"","",12007,1,1,0,2,1,3,3,50,0,""
8,1,50,210,5,2,8,"",10008,"",10034,"","",10134,"","",-1,"","",0,"","",12003,1,0,0,0,-1,-1,2,12,0,""
10,1,60,208,7,4,10,"",10010,"",10037,"","",10137,"","",-1,"","",0,"","",12005,1,1,0,2,2,3,0,100,0,""
11,1,70,207,8,5,11,"",10011,"",10036,"","",10136,"","",-1,"","",0,"","",12006,1,1,0,2,2,3,2,100,0,""
12,1,60,206,9,6,12,"",10012,"",10035,"","",10135,"","",-1,"","",0,"","",12007,1,0,0,0,-1,-1,3,100,0,""
13,1,90,35,10,8,13,"",10013,"",10038,"","",0,"","",-1,"","",0,"","",-1,1,1,0,2,4,4,4,0,0,""
14,10,-1,34,11,9,14,"",10014,"",33071,"","",0,"","",-1,"","",0,"","",-1,1,0,0,0,-1,-1,0,0,0,""
19,4,-1,20,32,22,19,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
20,10,-1,10,33,32,21,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
21,4,-1,20,34,23,20,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
22,10,-1,10,35,33,22,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,100,2,3,3,0,0,0,""
23,4,-1,31,14,12,23,"",-1,"",31011,"","",0,"","",-1,"","",0,"","",12023,0,1,100,1,3,3,0,0,0,""
24,4,-1,30,15,13,24,"",-1,"",31011,"","",0,"","",-1,"","",0,"","",12024,0,1,100,1,3,3,0,0,0,""
25,4,-1,20,16,14,25,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
26,4,-1,20,18,15,26,"",-1,"",32021,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
27,4,-1,20,20,16,27,"",-1,"",32031,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
28,4,-1,20,22,17,28,"",-1,"",32041,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
29,4,-1,20,24,18,29,"",-1,"",32051,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
30,4,-1,20,26,19,30,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
31,4,-1,20,28,20,31,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
32,4,-1,20,30,21,32,"",-1,"",32061,"","",0,"","",-1,"","",0,"","",-1,0,1,60,2,3,3,0,0,0,""
33,5,-1,10,17,24,33,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
34,5,-1,10,19,25,34,"",-1,"",32141,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
35,5,-1,10,21,26,35,"",-1,"",32151,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
36,5,-1,10,23,27,36,"",-1,"",32161,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
37,5,-1,10,25,28,37,"",-1,"",32171,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
38,5,-1,10,27,29,38,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
39,5,-1,10,29,30,39,"",-1,"",32131,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
40,5,-1,10,31,31,40,"",-1,"",32181,"","",0,"","",-1,"","",0,"","",-1,1,1,60,2,3,3,0,0,0,""
41,4,-1,20,59,0,41,"",-1,"",32011,"","",0,"","",-1,"","",0,"","",-1,0,1,100,2,3,3,0,0,0,""
