int 0,empty 1,empty 2,int 3
1,"","",10
2,"","",30
3,"","",10021
4,"","",10
5,"","",6
6,"","",30
7,"","",10022
8,"","",10016
9,"","",10017
10,"","",700
11,"","",10070
12,"","",214
13,"","",10050
14,"","",10051
15,"","",10052
16,"","",3
17,"","",5
18,"","",6
19,"","",30
20,"","",10060
21,"","",10061
22,"","",32011
23,"","",10080
24,"","",10081
25,"","",31041
26,"","",31011
27,"","",31013
28,"","",31011
29,"","",31011
30,"","",31013
31,"","",31011
32,"","",300001
33,"","",300002
34,"","",300027
35,"","",300003
36,"","",300007
37,"","",300015
38,"","",300016
39,"","",300017
40,"","",300018
41,"","",300019
42,"","",300020
43,"","",300021
44,"","",300022
45,"","",300023
46,"","",300024
47,"","",-1
48,"","",300027
49,"","",300028
50,"","",300102
51,"","",300106
52,"","",300107
53,"","",-1
54,"","",300110
55,"","",300120
56,"","",300121
57,"","",300225
