int 0,empty 1,int 2,empty 3,empty 4,int 5,empty 6,bool 7,bool 8,bool 9,int 10,int 11,float 12,float 13,string2 14,int 15,int 16,int 17,int 18,int 19,int 20,int 21,int 22,int 23,int 24,int 25,int 26,int 27,int 28,int 29,int 30,empty 31,int 32,int 33,int 34,int 35,int 36,int 37,empty 38,int 39,int 40,empty 41,int 42,int 43
101,"",1,"","",101,"",0,1,0,0,20,-1,0.05,"",0,0,2590,850,1040,890,1110,890,490,50,80,210,50,210,50,160,"",0,264,8,160,16,22133,"",100,0,"",0,0
201,"",2,"","",201,"",0,1,0,0,20,-1,0.1,"",0,0,780,370,200,130,400,220,240,30,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,20
301,"",3,"","",301,"",0,1,0,0,20,-1,0.05,"",0,0,1000,520,290,140,410,190,460,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
401,"",4,"","",401,"",0,1,0,0,20,-1,0.05,"",0,0,1510,780,790,400,1370,530,760,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
501,"",5,"","",501,"",0,1,0,0,20,-1,0.05,"",0,0,1870,340,380,300,190,210,140,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
502,"",5,"","",501,"",0,1,0,0,20,-1,0.05,"",0,0,1870,340,380,300,190,210,140,40,60,130,60,130,60,130,"",0,84,6,80,8,0,"",0,0,"",0,15
601,"",6,"","",601,"",0,1,0,0,20,-1,0.05,"",0,0,1870,590,1060,490,1200,660,660,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
602,"",6,"","",601,"",0,1,1,0,20,-1,0.05,"",0,0,1870,590,1060,490,1200,660,660,0,80,0,0,0,0,0,"",0,264,8,160,16,0,"",0,0,"",0,10
603,"",6,"","",601,"",0,1,0,0,20,-1,0.05,"",0,0,1870,590,1060,490,1200,660,660,0,80,0,0,0,0,0,"",0,264,8,160,16,0,"",0,0,"",0,10
901,"",9,"","",901,"",0,1,0,0,20,-1,0.1,"",0,0,970,340,320,310,330,270,200,30,50,120,20,120,20,100,"",0,24,6,40,4,0,"",0,0,"",0,20
1001,"",10,"","",1001,"",0,1,0,0,20,-1,0.05,"",0,0,2010,260,1990,880,1830,820,1290,40,60,170,40,170,40,130,"",0,484,6,80,8,0,"",0,0,"",0,15
1002,"",10,"","",1001,"",0,1,0,0,20,-1,0.05,"",0,0,1,260,490,220,330,230,290,0,0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,"",0,0
1003,"",10,"","",1001,"",0,1,0,0,20,-1,0.05,"",0,0,5020,260,1990,880,1830,820,1290,0,0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,"",0,0
1101,"",11,"","",1101,"",0,1,0,0,20,-1,0.05,"",0,0,1020,330,410,170,380,200,400,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1102,"",11,"","",1101,"",0,1,0,0,20,-1,0.05,"",0,0,1020,330,410,170,380,200,400,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1201,"",12,"","",1201,"",0,1,0,0,20,-1,0.05,"",0,0,1000,480,330,180,360,200,430,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1202,"",12,"","",1202,"",0,1,0,0,20,-1,0.05,"",0,0,2000,480,580,180,360,340,430,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1301,"",13,"","",1301,"",0,1,0,0,20,-1,0.05,"",0,0,1000,740,160,160,610,310,400,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1302,"",13,"","",1302,"",0,1,0,0,20,-1,0.05,"",0,0,1000,740,460,460,910,610,400,40,60,170,40,170,40,130,"",0,84,6,80,8,22140,"",100,0,"",0,0
1303,"",13,"","",1302,"",0,1,0,0,20,-1,0.05,"",0,0,500,740,1660,640,2110,1220,800,0,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,0
1401,"",14,"","",1401,"",0,1,0,0,20,-1,0.05,"",0,0,1210,390,360,240,340,220,280,40,60,170,40,170,40,130,"",0,384,6,80,8,0,"",0,0,"",0,15
1501,"",15,"","",1501,"",0,1,0,0,20,-1,0.05,"",0,0,880,480,590,320,330,360,460,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1502,"",15,"","",1501,"",0,1,0,0,20,-1,0.05,"",0,0,440,480,590,320,330,360,460,0,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,0
1601,"",16,"","",1601,"",0,1,0,0,20,-1,0.05,"",0,0,1250,240,570,170,230,220,350,40,60,170,40,170,40,130,"",0,384,6,80,8,0,"",0,0,"",0,15
1701,"",17,"","",1701,"",0,0,1,0,20,-1,0.05,"",0,0,3500,290,1100,500,230,380,260,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1702,"",17,"","",1702,"",0,1,0,0,20,-1,0.05,"",0,0,6000,290,2200,2030,230,990,280,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1703,"",17,"","",1701,"",0,1,0,0,20,-1,0.05,"",0,0,1640,290,530,260,230,160,260,40,60,130,60,130,60,130,"",0,84,6,80,8,0,"",0,0,"",0,15
1901,"",19,"","",1901,"",0,1,0,0,20,-1,0.05,"",0,0,3360,460,1870,620,420,500,950,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
2001,"",20,"","",2001,"",0,1,0,0,20,-1,0.1,"",0,0,780,340,270,110,330,120,300,40,50,130,30,130,30,100,"",0,12,2,40,2,0,"",0,0,"",0,20
2002,"",20,"","",2002,"",0,1,0,0,20,-1,0.1,"",0,0,1280,340,1230,610,560,620,600,40,50,130,30,130,30,100,"",0,12,2,40,2,22128,"",100,0,"",0,0
2003,"",20,"","",2001,"",0,1,0,0,20,-1,0.1,"",0,0,1280,340,1230,610,560,620,600,40,50,130,30,130,30,100,"",0,12,2,40,2,0,"",0,0,"",0,20
2101,"",21,"","",2101,"",0,1,0,0,20,-1,0.05,"",0,0,12880,580,2810,2500,3580,2510,1570,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,0
2301,"",23,"","",2301,"",0,1,0,0,20,-1,0.05,"",0,0,2060,590,1500,520,590,440,760,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
2401,"",24,"","",2401,"",0,1,0,0,20,-1,0.05,"",0,0,2340,1470,280,310,1960,900,940,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
2501,"",25,"","",2501,"",0,1,0,0,20,-1,0.05,"",0,0,1320,220,900,630,480,540,320,40,60,170,40,170,40,130,"",0,84,6,80,8,22137,"",100,0,"",0,0
2601,"",26,"","",2601,"",0,1,0,0,20,-1,0.05,"",0,0,2200,570,1320,320,600,400,970,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
2602,"",26,"","",2601,"",0,1,0,0,20,-1,0.05,"",0,0,8230,570,4320,1820,3600,2400,1970,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,0
2701,"",27,"","",2701,"",0,1,0,0,20,-1,0.05,"",0,0,3070,640,1460,720,840,590,900,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
2801,"",28,"","",2801,"",0,1,0,0,20,-1,0.05,"",0,0,3610,500,890,1020,980,590,480,50,80,210,50,210,50,160,"",0,264,8,160,16,22147,"",100,0,"",0,0
2802,"",28,"","",2801,"",0,1,0,0,20,-1,0.05,"",0,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,"",0,0,0,0,0,0,"",0,0,"",0,0
3001,"",30,"","",3001,"",0,1,0,0,20,-1,0.05,"",0,0,1910,360,1460,450,1330,630,750,40,60,170,40,170,40,130,"",0,464,8,80,8,1172,"",5,0,"",0,15
3002,"",30,"","",3001,"",0,1,1,0,20,-1,0.05,"",0,0,1210,360,460,150,330,210,350,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
3101,"",31,"","",3101,"",0,1,0,0,20,-1,0.05,"",0,0,2330,590,3440,1850,2790,2140,1020,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
3102,"",31,"","",3102,"",0,1,0,0,20,-1,0.05,"",0,0,2330,590,1390,760,1090,970,1020,50,80,210,50,210,50,160,"",0,264,8,160,16,22146,"",100,0,"",0,0
3103,"",31,"","",3103,"",0,1,0,0,20,-1,0.05,"",0,0,3330,590,3590,2180,2790,2470,1020,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
3201,"",32,"","",3201,"",0,1,0,0,20,-1,0.05,"",0,0,2520,860,1400,450,1680,660,870,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
3301,"",33,"","",3301,"",0,1,0,0,20,-1,0.05,"",0,0,1650,590,980,780,790,580,510,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
3302,"",33,"","",3301,"",0,1,1,0,20,-1,0.05,"",0,0,1650,590,980,780,790,580,510,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
3401,"",34,"","",3401,"",0,1,0,0,20,-1,0.05,"",0,0,1970,1050,670,410,2180,720,1050,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
3402,"",34,"","",3401,"",0,0,0,0,20,-1,0.05,"",0,0,17000,1050,3670,2210,4250,2720,1050,60,100,260,90,260,90,200,"",0,6640,10,3200,64,0,"",0,0,"",0,5
3501,"",35,"","",3501,"",0,1,0,0,20,-1,0.05,"",0,0,3210,760,3850,1520,2840,1480,1090,60,100,260,90,260,90,200,"",0,664,10,320,32,22105,"",100,0,"",0,0
3502,"",35,"","",3501,"",0,1,0,0,20,-1,0.05,"",0,0,3210,760,1850,520,840,480,1090,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,3
3601,"",36,"","",3601,"",0,1,0,0,20,-1,0.05,"",0,0,16000,1000,440,530,2380,840,210,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
3701,"",37,"","",3701,"",0,1,0,0,20,-1,0.05,"",0,0,3210,820,1350,760,1200,640,820,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
3801,"",38,"","",3801,"",0,1,0,0,20,-1,0.05,"",0,0,2780,720,1400,480,1690,580,850,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
3901,"",39,"","",3901,"",0,1,0,0,20,-1,0.05,"",0,0,2480,820,1030,500,1950,700,910,50,80,210,50,210,50,160,"",0,264,8,160,16,0,"",0,0,"",0,10
4001,"",40,"","",4001,"",0,1,0,0,20,-1,0.05,"",0,0,4240,600,2440,900,900,730,1010,60,100,260,90,260,90,200,"",0,1364,12,350,35,0,"",0,0,"",0,5
4101,"",41,"","",4101,"",0,1,0,0,20,-1,0.05,"",0,0,1650,650,1140,840,1140,740,590,50,80,210,50,210,50,160,"",0,264,8,160,16,22132,"",100,0,"",0,0
4201,"",42,"","",4201,"",0,1,0,0,20,-1,0.1,"",0,0,730,270,290,170,310,170,310,30,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,20
4202,"",42,"","",4201,"",0,1,0,0,20,-1,0.1,"",0,0,1730,270,2290,1170,2310,1170,1310,30,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,20
4203,"",42,"","",4202,"",0,1,0,0,20,-1,0.1,"",0,0,2730,270,2290,3170,2310,1170,1310,30,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,0
4301,"",43,"","",4301,"",0,1,0,0,20,-1,0.05,"",0,0,1100,610,420,200,570,310,230,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
4302,"",43,"","",4302,"",0,1,0,0,20,-1,0.05,"",0,0,2500,610,530,200,620,430,250,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
4401,"",44,"","",4401,"",0,1,0,0,20,-1,0.05,"",0,0,2550,710,1500,840,1060,770,560,50,80,210,50,210,50,160,"",0,264,8,160,16,22116,"",100,0,"",0,0
4501,"",45,"","",4501,"",0,1,0,0,20,-1,0.05,"",0,0,2340,1250,670,480,1760,890,850,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
4601,"",46,"","",4601,"",0,1,0,0,20,-1,0.05,"",0,0,2340,1250,2070,640,710,430,870,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
4701,"",47,"","",4701,"",0,1,0,0,20,-1,0.05,"",0,0,3050,730,2680,1140,1840,910,890,60,100,260,90,260,90,200,"",0,1064,10,320,32,0,"",0,0,"",0,5
4702,"",47,"","",4702,"",0,1,0,0,20,-1,0.05,"",0,0,7800,730,4680,3570,3840,3510,2890,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,0
4703,"",47,"","",4701,"",0,1,0,0,20,-1,0.05,"",0,0,5650,730,3180,1640,2340,1210,890,60,100,260,90,260,90,200,"",0,1064,10,320,32,0,"",0,0,"",0,5
4801,"",48,"","",4801,"",0,1,1,0,20,-1,0.05,"",0,0,3210,600,1270,720,1330,720,790,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,5
4802,"",48,"","",4801,"",0,1,0,0,20,-1,0.05,"",0,0,5210,600,3270,2220,3330,2220,1290,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,0
4901,"",49,"","",4901,"",0,1,0,0,20,-1,0.05,"",0,0,3070,490,2460,1100,1580,810,880,60,100,260,90,260,90,200,"",0,664,10,320,32,0,"",0,0,"",0,0
5001,"",50,"","",5001,"",0,1,0,0,20,-1,0.1,"",0,0,950,180,2990,1200,2640,1120,1240,30,50,120,20,120,20,100,"",0,24,4,40,4,10050,"",5,0,"",0,0
5101,"",51,"","",5101,"",0,1,0,0,20,-1,0.05,"",0,0,1140,460,410,240,440,240,360,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,15
5201,"",52,"","",5201,"",0,1,0,0,20,-1,0.1,"",0,0,930,260,320,330,180,280,160,30,50,120,20,120,20,100,"",0,24,6,40,4,0,"",0,0,"",0,20
5202,"",52,"","",5202,"",0,1,0,0,20,-1,0.1,"",0,0,310,260,660,460,540,360,160,0,50,100,50,100,50,100,"",0,24,4,40,4,0,"",0,0,"",0,0
5301,"",53,"","",5301,"",0,1,0,0,20,-1,0.1,"",0,0,770,420,100,180,460,220,300,30,50,120,20,120,20,100,"",0,24,4,40,4,1173,"",5,0,"",0,20
5401,"",54,"","",5401,"",0,1,0,0,20,-1,0.05,"",0,0,1700,390,1300,560,600,540,350,40,60,170,40,170,40,130,"",0,84,6,80,8,0,"",0,0,"",0,0
5501,"",55,"","",5501,"",0,1,0,0,20,-1,0.1,"",0,0,315,220,400,130,250,120,280,0,50,120,20,120,20,100,"",0,24,4,40,4,0,"",0,0,"",0,0
