int 0,int 1,int 2,int 3,int 4,int 5,int 6,empty 7,empty 8,empty 9,int 10,int 11,int 12,int 13,int 14,int 15,empty 16,empty 17,empty 18,int 19,int 20,int 21,int 22,int 23,int 24,empty 25,empty 26,empty 27,int 28,int 29,int 30,int 31,int 32,int 33,empty 34,empty 35,empty 36,int 37,int 38,int 39,empty 40,empty 41
2,2,501,-1,0,50,1,"","","",2,501,-1,0,60,3,"","","",6,314,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,314,1,"",""
3,2,501,-1,0,50,1,"","","",2,501,-1,0,60,3,"","","",6,376,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,376,1,"",""
4,2,501,-1,0,50,1,"","","",2,501,-1,0,60,3,"","","",6,301,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,301,1,"",""
5,2,501,-1,0,50,1,"","","",2,501,-1,0,60,3,"","","",6,375,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,375,1,"",""
6,2,501,-1,0,50,1,"","","",2,501,-1,0,60,2,"","","",6,301,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,301,1,"",""
7,2,501,-1,0,50,1,"","","",2,501,-1,0,60,2,"","","",6,375,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,375,1,"",""
8,2,501,-1,0,50,1,"","","",6,301,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,301,1,"",""
9,2,501,-1,0,50,1,"","","",6,375,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,375,1,"",""
11,3,-1,-1,-1,-1,2,"","","",6,302,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,302,1,"",""
12,3,-1,-1,-1,-1,1,"","","",6,302,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,302,1,"",""
15,12,352,401,-1,-1,1,"","","",6,303,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",3,303,1,"",""
16,1,502,-1,50,101,-1,"","","",5,-1,-1,-1,-1,2,"","","",6,335,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",7,335,-1,"",""
17,1,502,-1,50,101,-1,"","","",6,334,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",7,334,-1,"",""
18,1,501,-1,0,30,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",2,-1,-1,"",""
19,-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",-1,-1,-1,-1,-1,-1,"","","",1,-1,-1,"",""
