int 0,int 1,int 2,bool 3,empty 4,empty 5,int 6,int 7,int 8,int 9,empty 10,int 11,int 12,int 13,int 14,empty 15,int 16,int 17,int 18,int 19,empty 20,int 21,int 22,int 23,int 24,empty 25,int 26,int 27,int 28,int 29,empty 30,int 31,int 32,int 33,int 34,empty 35,int 36,int 37,int 38,int 39,empty 40,int 41,int 42,int 43,int 44,empty 45,int 46,int 47,int 48,int 49,empty 50,int 51,int 52,int 53,int 54,empty 55,int 56,int 57,int 58,int 59
0,-1,0,0,"","",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11035,200001,3,0,"","",25,20,10,2,"",26,20,10,2,"",27,20,10,2,"",28,20,10,2,"",29,20,10,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11036,-1,3,0,"","",25,20,30,2,"",26,20,30,2,"",27,20,30,2,"",28,20,30,2,"",29,20,30,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11037,-1,3,0,"","",33,20,30,2,"",34,20,30,2,"",35,20,30,2,"",36,20,30,2,"",37,20,30,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11038,200001,3,0,"","",25,20,15,2,"",26,20,15,2,"",27,20,15,2,"",28,20,15,2,"",29,20,15,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11039,200002,3,0,"","",33,20,15,2,"",34,20,15,2,"",35,20,15,2,"",36,20,15,2,"",37,20,15,2,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11040,200008,3,0,"","",64,10,25,2,"",65,10,25,2,"",66,10,25,2,"",67,10,25,2,"",68,10,25,2,"",69,10,25,2,"",70,10,25,2,"",71,10,25,2,"",72,10,25,2,"",73,10,25,2,"",63,10,25,2
11041,200007,3,0,"","",42,10,25,2,"",43,10,25,2,"",44,10,25,2,"",45,10,25,2,"",46,10,25,2,"",47,10,25,2,"",48,10,25,2,"",49,10,25,2,"",50,10,25,2,"",51,10,25,2,"",41,10,25,2
11042,200010,3,0,"","",3,20,0,-1,"",5,20,0,5,"",6,20,0,5,"",7,20,0,5,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11044,-1,3,0,"","",3,80,0,-1,"",8,20,0,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11045,-1,3,0,"","",5,80,0,5,"",10,20,0,3,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11046,-1,3,0,"","",6,85,0,5,"",11,15,0,3,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
11047,-1,3,0,"","",7,80,0,5,"",12,20,0,-1,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20051,-1,0,0,"","",34,100,10,0,"",6,50,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20221,-1,0,0,"","",114,0,0,0,"",112,0,0,0,"",113,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20242,-1,0,0,"","",114,0,0,0,"",115,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20281,20281,0,0,"","",20,100,20,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20341,-1,0,0,"","",8,100,0,0,"",118,100,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
20362,-1,0,0,"","",10,80,0,0,"",36,100,30,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0,"",0,0,0,0
