int 0,int 1,int 2,string2 3,string2 4,string2 5,string2 6,string2 7,string2 8,string2 9,string2 10,string2 11,string2 12
0,1,2,"vo_mpc184_Order_002","vo_mpc184_preparation_001","","","","","","","",""
1,2,2,"vo_mpc184_Order_002","vo_mpc184_preparation_001","","","","","","","",""
2,3,2,"vo_mpc184_Order_002","vo_mpc184_preparation_001","","","","","","","",""
3,4,1,"vo_mpc184_special_001","","","","","","","","",""
4,5,1,"vo_mpc184_Frustrating_001","","","","","","","","",""
5,6,1,"vo_mpc184_Joy_001","","","","","","","","",""
6,7,1,"vo_mpc184_special_001","","","","","","","","",""
7,8,1,"vo_mpc184_special_001","","","","","","","","",""
8,9,1,"vo_mpc184_special_001","","","","","","","","",""
9,10,1,"vo_mpc184_special_001","","","","","","","","",""
10,11,1,"vo_mpc184_special_001","","","","","","","","",""
11,12,1,"vo_mpc184_special_001","","","","","","","","",""
12,13,1,"vo_mpc184_special_001","","","","","","","","",""
13,14,1,"vo_mpc184_special_001","","","","","","","","",""
14,15,1,"vo_mpc184_Order_002","","","","","","","","",""
15,16,2,"vo_mpc184_Frustrating_001","vo_mpc184_Sadness_001","","","","","","","",""
16,17,1,"vo_mpc184_special_001","","","","","","","","",""
17,18,1,"vo_mpc184_special_001","","","","","","","","",""
18,19,1,"vo_mpc184_special_001","","","","","","","","",""
19,20,1,"vo_mpc184_special_001","","","","","","","","",""
20,21,1,"vo_mpc184_special_001","","","","","","","","",""
21,22,1,"vo_mpc184_special_001","","","","","","","","",""
22,23,1,"vo_mpc184_special_001","","","","","","","","",""
23,24,1,"vo_mpc184_Joy_001","","","","","","","","",""
24,25,1,"vo_mpc184_special_001","","","","","","","","",""
25,26,1,"vo_mpc184_Accept_001","","","","","","","","",""
26,27,1,"vo_mpc184_Joy_001","","","","","","","","",""
27,28,1,"vo_mpc184_Accept_001","","","","","","","","",""
28,29,1,"vo_mpc184_special_001","","","","","","","","",""
29,30,1,"vo_mpc184_special_001","","","","","","","","",""
30,31,1,"vo_mpc184_special_001","","","","","","","","",""
31,32,1,"vo_mpc184_special_001","","","","","","","","",""
32,33,1,"vo_mpc184_special_001","","","","","","","","",""
33,34,1,"vo_mpc184_special_001","","","","","","","","",""
34,35,1,"vo_mpc184_special_001","","","","","","","","",""
35,36,1,"vo_mpc184_special_001","","","","","","","","",""
36,37,1,"vo_mpc184_special_001","","","","","","","","",""
37,38,1,"vo_mpc184_special_001","","","","","","","","",""
38,39,1,"vo_mpc184_special_001","","","","","","","","",""
39,40,1,"vo_mpc184_special_001","","","","","","","","",""
40,41,1,"vo_mpc184_special_001","","","","","","","","",""
41,42,1,"vo_mpc184_special_001","","","","","","","","",""
42,43,1,"vo_mpc184_special_001","","","","","","","","",""
43,44,1,"vo_mpc184_special_001","","","","","","","","",""
44,45,1,"vo_mpc184_special_001","","","","","","","","",""
45,67,1,"vo_mpc184_special_001","","","","","","","","",""
